test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n,tau
2012,expanding,9,85.6,198,0.5505050505050505,0.8080808080808081,0.8636363636363636,0.08585858585858586,0.24242424242424243,0.6531986531986531,1.2939711709059545,0.013328643152371882,0.12215912855607185,0.005642015789425176,8712,0.48484848484848486,0.6262626262626263,1.1364068589462208,1.4326642262185412,0.047853535353535356,0.12626262626262627,676,0.7635499566623764,1.52281872377903,6.832141690000964e-17,0.756365342965995,10.612903225806452,3,False,0.3333333333333333,3,0.8,5,0.8,10,2.210144384917594
2013,expanding,10,95.2,198,0.5505050505050505,0.7525252525252525,0.8535353535353535,0.07575757575757576,0.20707070707070707,0.6531986531986531,1.3166670845832944,0.012817795523574326,0.1221243718622535,0.004241553995430355,8712,0.48484848484848486,0.6188131313131312,1.173507533270074,1.471042766000463,0.04040404040404041,0.11376262626262615,677,0.7814401809139155,1.5282738269243294,2.6238653462337524e-17,0.7632218861503764,11.029411764705882,1,True,1.0,3,0.6,5,0.6,10,2.2998250713298005
2014,expanding,11,94.1,198,0.6060606060606061,0.7727272727272727,0.8737373737373737,0.10101010101010101,0.2828282828282828,0.696969696969697,1.208963001338,0.012304723815934426,0.1109445580936826,0.0039424897044673555,8712,0.5377525252525253,0.6693181818181817,1.0859924256960902,1.3529198442772477,0.06060606060606061,0.1390151515151514,663,0.6859608260715951,1.3352235179510945,-1.3664283380001927e-16,0.764832182962662,9.266666666666667,5,False,0.5,4,0.75,8,0.7,10,2.3164509226520407
2015,expanding,12,103.8,197,0.5989847715736041,0.7461928934010152,0.8578680203045685,0.09644670050761421,0.25380710659898476,0.6785109983079527,1.251831769082334,0.012677679816330382,0.11241869917130728,0.002762814822745612,8668,0.5303299492385787,0.6700507614213198,1.106401616491427,1.4195724425599106,0.06091370558375635,0.13972081218274102,665,0.6813898843587672,1.4274046894665666,5.342426584662408e-18,0.7687457408540149,13.647058823529411,2,False,0.6666666666666666,3,1.0,5,0.7,10,2.462095999266065
2016,expanding,13,119.2,198,0.6161616161616161,0.7878787878787878,0.8838383838383839,0.08080808080808081,0.21717171717171718,0.6683501683501684,1.182115616317717,0.012296718392287919,0.11288608635048748,0.004334920950591803,8712,0.5478535353535353,0.6767676767676768,1.0540447731516343,1.3122850447537275,0.047853535353535356,0.11616161616161616,656,0.7925362974071567,1.6429578526554287,7.582010899879118e-17,0.7569642317447434,11.222222222222221,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5833333333333334,12,2.3502902836058484
2017,expanding,14,132.0,198,0.6313131313131313,0.8080808080808081,0.8787878787878788,0.13131313131313133,0.26262626262626265,0.7053872053872055,1.1459319786357098,0.011969461235897576,0.10949045879274101,0.0036273297409122216,8712,0.5579545454545455,0.702020202020202,1.0098173024608297,1.2788659660199049,0.08585858585858586,0.1794191919191918,656,0.724392420052543,1.5049800590547189,1.0831444142684454e-17,0.7631421581440466,10.08108108108108,1,True,1.0,3,0.6,5,0.6,10,2.3995365870411622
2018,expanding,15,143.0,198,0.5202020202020202,0.7474747474747475,0.8535353535353535,0.11616161616161616,0.2878787878787879,0.696969696969697,1.3803673435857529,0.014018864583627312,0.11425027599906283,0.003412629944785032,8712,0.4417929292929293,0.5909090909090909,1.2110390080973024,1.5816777194573486,0.08080808080808081,0.16161616161616163,656,0.795127642194118,1.7108727865197815,1.408087738548979e-16,0.7729694678085164,13.382352941176471,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11,2.3922566083544443
2019,expanding,16,151.9,198,0.601010101010101,0.8080808080808081,0.8939393939393939,0.11616161616161616,0.2676767676767677,0.6986531986531987,1.1685458154728132,0.011890657292873955,0.108976199735941,0.004094591149286889,8712,0.5327020202020202,0.6743686868686868,1.0316985021948195,1.3116835226754464,0.0707070707070707,0.16161616161616163,654,0.7396266090161525,1.521412891770589,-8.691654260062388e-17,0.7482495847714844,9.580645161290322,4,False,0.75,4,0.6,5,0.7,10,2.2502112471474254
2020,expanding,17,163.3,153,0.5686274509803921,0.7581699346405228,0.869281045751634,0.13071895424836602,0.24183006535947713,0.6535947712418301,1.2979776016438174,0.013129303755009807,0.11884611771004969,0.0031092702062784274,6732,0.49019607843137253,0.6470588235294118,1.1358389559277293,1.4864073173892325,0.0784313725490196,0.18643790849673186,654,0.6265823229022286,1.261947582773319,5.432283912538992e-18,0.7553039407973955,9.933333333333334,1,True,0.75,4,0.875,8,0.8,10,2.4319102494776863
2021,expanding,18,174.3,198,0.6868686868686869,0.8585858585858586,0.9242424242424242,0.13636363636363635,0.30303030303030304,0.713804713804714,1.0880741420640723,0.010194057569100712,0.10814747308399084,0.008607361850871641,9108,0.6286616161616162,0.7525252525252525,0.958873897446333,1.2329275919026135,0.09595959595959595,0.18712121212121188,674,0.6909787759855877,1.4691952846348957,8.697296097953748e-17,0.752761463621574,6.387096774193548,2,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10,2.101162055338423
