player_id,betfair_ev,betfair_player_name,team_id,n_matches,betfair_rank
12269,11.0,Marcus Bontempelli,western_bulldogs,4,1.0
12798,5.0,Izak Rankine,adelaide,2,2.0
13040,5.0,Will Ashcroft,brisbane_lions,2,2.0
11845,4.5,Jack Gunston,hawthorn,2,4.0
12862,4.5,Errol Gulden,sydney,2,4.0
13105,4.5,Nick Watson,hawthorn,2,4.0
12331,4.0,Touk Miller,gold_coast,2,7.0
11966,4.0,Max Gawn,melbourne,2,7.0
12589,3.0,Andrew Brayshaw,fremantle,1,9.0
12605,3.0,Ed Richards,western_bulldogs,2,9.0
12771,3.0,Kysaiah Pickett,melbourne,1,9.0
12844,3.0,Joel Amartey,sydney,1,9.0
12241,3.0,Zach Merrett,essendon,1,9.0
12325,3.0,Jack Sinclair,st_kilda,1,9.0
11953,3.0,Luke Parker,north_melbourne,1,9.0
12430,3.0,Christian Petracca,gold_coast,1,9.0
12768,3.0,Matt Rowell,gold_coast,2,9.0
12767,3.0,Noah Anderson,gold_coast,2,9.0
13111,3.0,Harley Reid,west_coast,1,9.0
13140,3.0,Joel Freijah,western_bulldogs,1,9.0
13034,3.0,Harry Sheezel,north_melbourne,3,9.0
13048,2.0,Jacob Van Rooyen,melbourne,1,22.0
12915,2.0,Jai Newcombe,hawthorn,1,22.0
12794,2.0,Will Day,hawthorn,1,22.0
12710,2.0,Dylan Moore,hawthorn,1,22.0
12693,2.0,Tom Sparrow,melbourne,1,22.0
12217,2.0,Brodie Grundy,sydney,1,22.0
12594,2.0,Aaron Naughton,western_bulldogs,1,22.0
12519,2.0,Jarrod Berry,brisbane_lions,1,22.0
12563,2.0,Nick Larkey,north_melbourne,1,22.0
12584,2.0,Darcy Fogarty,adelaide,1,22.0
12055,2.0,Lachie Neale,brisbane_lions,1,22.0
12925,2.0,Sam Durham,essendon,1,22.0
12782,2.0,Lachie Ash,greater_western_sydney,1,22.0
12887,1.5,Josh Treacy,fremantle,1,35.0
12627,1.5,Tom Mccartin,sydney,1,35.0
12535,1.5,Shai Bolton,fremantle,1,35.0
12410,1.0,Clayton Oliver,greater_western_sydney,1,38.0
12405,1.0,Wayne Milera,adelaide,1,38.0
12516,1.0,Jordan Dawson,adelaide,1,38.0
12167,1.0,Jake Stringer,greater_western_sydney,1,38.0
12076,1.0,Dayne Zorko,brisbane_lions,1,38.0
11713,1.0,Taylor Walker,adelaide,1,38.0
11898,1.0,Tom Liberatore,western_bulldogs,1,38.0
12412,1.0,Tom Papley,sydney,1,38.0
12177,1.0,Jarrod Witts,gold_coast,1,38.0
12340,1.0,Harris Andrews,brisbane_lions,1,38.0
12383,1.0,Tom Barrass,hawthorn,1,38.0
12743,1.0,John Noble,gold_coast,1,38.0
12954,1.0,Connor Macdonald,hawthorn,1,38.0
12863,1.0,Braeden Campbell,sydney,1,38.0
12899,1.0,Nick Bryan,essendon,1,38.0
12968,1.0,Kai Lohmann,brisbane_lions,1,38.0
13193,1.0,Max Hall,st_kilda,1,38.0
