metric,n_matches,mean_diff,ci_lo,ci_hi,a,b
correct_3,2366,0.007185122569737954,-0.0012785291631445472,0.015226120033812332,ensemble,B
log_loss_p3,2366,-0.017555374806050194,-0.0239699816275159,-0.011320951331347556,ensemble,B
exact_321,2366,0.005494505494505495,-0.00253592561284869,0.013112848689771757,ensemble,B
brier_p3,2366,-0.00017164511937678526,-0.00024257333263778453,-0.00010532805108760773,ensemble,B
