model,season,correct_3,log_loss_p3,ece_p3,exact_321,season_mae,spearman
Learned ensemble (A+B+C),2015,0.5939086294416244,1.2252902427621077,0.004116617925656644,0.1116751269035533,0.6792626368575578,0.7708393459113256
Learned ensemble (A+B+C),2016,0.6464646464646465,1.17351167656235,0.0035096045951650287,0.10606060606060606,0.7795198041496568,0.7602200419383194
Learned ensemble (A+B+C),2017,0.6212121212121212,1.0832374828691242,0.004000820189408554,0.1111111111111111,0.6876385970342386,0.7679731492457065
Learned ensemble (A+B+C),2018,0.5252525252525253,1.3688137635816038,0.00351813977966828,0.09090909090909091,0.7829658234550497,0.7774509792393229
Learned ensemble (A+B+C),2019,0.6414141414141414,1.1244295507293403,0.004728283237001859,0.12626262626262627,0.7141140877532797,0.7516952192416659
Learned ensemble (A+B+C),2020,0.5882352941176471,1.2623407703932614,0.004644141746401338,0.09803921568627451,0.6121181111325821,0.7590853261809906
Learned ensemble (A+B+C),2021,0.696969696969697,1.0614163489107928,0.008287992690201692,0.1414141414141414,0.6854492271640651,0.7538589909304401
Learned ensemble (A+B+C),2022,0.6414141414141414,1.1395549050752372,0.0038387108049553363,0.1111111111111111,0.6627842964553111,0.7739769981984908
Learned ensemble (A+B+C),2023,0.48792270531400966,1.5244777578585809,0.004055538262192825,0.057971014492753624,0.8565665455970711,0.7371375842817148
Learned ensemble (A+B+C),2024,0.5169082125603864,1.445515690989,0.0036685046861463645,0.057971014492753624,0.8909099382319179,0.732738972057336
Learned ensemble (A+B+C),2025,0.5507246376811594,1.3419689018382588,0.003208357274733743,0.06763285024154589,0.7335634908299886,0.7130309371985988
Learned ensemble (A+B+C),2026,0.6811594202898551,0.9556787815461005,0.007092717986448181,0.1642512077294686,0.6369763229381988,0.7146909928229714
Equal-weight ensemble,2015,0.583756345177665,1.233753725898705,0.004988477269315233,0.10152284263959391,0.6825651204189187,0.7696474316877879
Equal-weight ensemble,2016,0.6414141414141414,1.185448308025668,0.0035273738007866153,0.12121212121212122,0.7676529550937095,0.7596330743738847
Equal-weight ensemble,2017,0.6313131313131313,1.090370750301673,0.0042740985754870274,0.12626262626262627,0.6986973894930512,0.767631112950252
Equal-weight ensemble,2018,0.5202020202020202,1.3874454161504772,0.003119024511385745,0.09090909090909091,0.7894263847261507,0.7768028036296604
Equal-weight ensemble,2019,0.6414141414141414,1.1435188948775992,0.0056959385586022515,0.13131313131313133,0.7250353502498529,0.7507296973583052
Equal-weight ensemble,2020,0.5751633986928104,1.2836117919809344,0.005776101303132523,0.0915032679738562,0.6208774592400124,0.7586641056708662
Equal-weight ensemble,2021,0.702020202020202,1.0716813611359048,0.008093431315914569,0.1414141414141414,0.69282846268327,0.7520302804128852
Equal-weight ensemble,2022,0.6565656565656566,1.1483755839845362,0.004959467081317921,0.10101010101010101,0.676773130492447,0.7725305085004669
Equal-weight ensemble,2023,0.4975845410628019,1.5036105393949137,0.0034970496384846886,0.06280193236714976,0.8743529530796633,0.7341185168051786
Equal-weight ensemble,2024,0.5265700483091788,1.4558318106594217,0.0028036749064035867,0.057971014492753624,0.8911155686449796,0.7311941184834329
Equal-weight ensemble,2025,0.5507246376811594,1.3514022249105777,0.003510278466417729,0.05314009661835749,0.74844086038267,0.7111449832785622
Equal-weight ensemble,2026,0.6908212560386473,0.9439725012872462,0.006679735867799733,0.16908212560386474,0.641405154188297,0.713793319156355
Structural (A),2015,0.5888324873096447,1.2893857291312247,0.005990698771135756,0.10152284263959391,0.7047675821796999,0.7682024382332517
Structural (A),2016,0.6060606060606061,1.2273095143630524,0.003477370420772653,0.08080808080808081,0.7690745158139082,0.7596251427300463
Structural (A),2017,0.6161616161616161,1.1032116930524414,0.004005445241484946,0.1111111111111111,0.7153738582100924,0.7683287444912679
Structural (A),2018,0.5202020202020202,1.4361879651460556,0.002947810526799142,0.10606060606060606,0.8156181041461747,0.7745851053416649
Structural (A),2019,0.6616161616161617,1.166476905972728,0.005284834623500142,0.13131313131313133,0.7242888956156542,0.7506859935387385
Structural (A),2020,0.5686274509803921,1.3377278648525497,0.006029086741668251,0.06535947712418301,0.6477629369608295,0.7548200522901806
Structural (A),2021,0.6717171717171717,1.0825828188330988,0.007225023151312916,0.12121212121212122,0.714456788387616,0.7489561407442712
Structural (A),2022,0.6414141414141414,1.1932130411979067,0.005349372381043135,0.08585858585858586,0.7164730703574154,0.7688767989687804
Structural (A),2023,0.5169082125603864,1.49861558808625,0.002587888565251209,0.05314009661835749,0.892754562983949,0.7307769644177441
Structural (A),2024,0.5410628019323671,1.4753788102712129,0.0017011478013807145,0.06763285024154589,0.887835920094294,0.7278240547139609
Structural (A),2025,0.5410628019323671,1.386185160572309,0.0023538003016809307,0.03864734299516908,0.7583902750777446,0.710262339924427
Structural (A),2026,0.7053140096618358,0.9549793857104815,0.0059889128118427734,0.178743961352657,0.6375166239217633,0.7115395285623748
Performance ML (B),2015,0.5786802030456852,1.2325521182174377,0.004268739878822287,0.09644670050761421,0.6807134670695966,0.7709458644724558
Performance ML (B),2016,0.6212121212121212,1.1876553887884964,0.00357484641255878,0.08585858585858586,0.7965480315621246,0.7599434712201688
Performance ML (B),2017,0.6262626262626263,1.0997732043240775,0.00358943274520683,0.11616161616161616,0.6863830687391217,0.7674884298671784
Performance ML (B),2018,0.5151515151515151,1.3788235125662553,0.002745292376183166,0.09595959595959595,0.782200793255585,0.7761308773291827
Performance ML (B),2019,0.6414141414141414,1.134239537146483,0.003636110844005355,0.11616161616161616,0.7194360058325334,0.7507333657344645
Performance ML (B),2020,0.6013071895424836,1.2699221555288924,0.0034029550777746795,0.12418300653594772,0.6121764328793007,0.756968687914793
Performance ML (B),2021,0.696969696969697,1.0777716336969752,0.008069359966120092,0.13131313131313133,0.6855597936711495,0.7539252105637083
Performance ML (B),2022,0.601010101010101,1.1454957277002988,0.0032996848143819874,0.08585858585858586,0.6492847952499043,0.7741367825620592
Performance ML (B),2023,0.4830917874396135,1.5750149273796727,0.004848499921988612,0.04830917874396135,0.853240022246689,0.7383523466561147
Performance ML (B),2024,0.5265700483091788,1.4706520989490937,0.005396405979820232,0.07246376811594203,0.9152305140968847,0.7342904176596109
Performance ML (B),2025,0.5362318840579711,1.3504614648295654,0.004255781822559224,0.057971014492753624,0.7333923641861926,0.713106844488601
Performance ML (B),2026,0.6811594202898551,0.990024769840873,0.00771629846811826,0.15458937198067632,0.6534289954051464,0.7147141748005634
Stats-only (C),2015,0.5685279187817259,1.2827863617290383,0.006714944410625667,0.08629441624365482,0.7445648281824512,0.7655999279613624
Stats-only (C),2016,0.5909090909090909,1.2351249032585396,0.004392873573617813,0.07575757575757576,0.7746704590685924,0.7550366349288121
Stats-only (C),2017,0.6212121212121212,1.1486259527932143,0.0046307930963891625,0.11616161616161616,0.7286544009757026,0.7635202382122754
Stats-only (C),2018,0.5303030303030303,1.450519235975085,0.0031046098213982575,0.08080808080808081,0.813735218293984,0.7740766351468404
Stats-only (C),2019,0.6212121212121212,1.2137768237030038,0.005252137330622041,0.10101010101010101,0.7680719283867229,0.7459347338501988
Stats-only (C),2020,0.5424836601307189,1.3538385239303925,0.005586273563828449,0.0718954248366013,0.6749577710421192,0.7543990919211816
Stats-only (C),2021,0.6616161616161617,1.1178980869301804,0.007237222738643656,0.10101010101010101,0.7224267424773718,0.7474354194887788
Stats-only (C),2022,0.6414141414141414,1.1905672713008961,0.005008094105219433,0.10606060606060606,0.7049547648057181,0.7682447254702811
Stats-only (C),2023,0.5314009661835749,1.5277833204840057,0.003345073178480414,0.07729468599033816,0.9118406129033585,0.7281692576402075
Stats-only (C),2024,0.5169082125603864,1.5061769949077444,0.0028157241906132053,0.057971014492753624,0.9150322337315379,0.7289128076686946
Stats-only (C),2025,0.5652173913043478,1.391313796838202,0.003195818619643599,0.043478260869565216,0.7812389524799297,0.7073391978688377
Stats-only (C),2026,0.6763285024154589,0.9546754113006262,0.006978697423790981,0.15458937198067632,0.6676383366500631,0.7110011467866727
