season,calibrator_fit_on_seasons,model
2016,2015-2015,Learned ensemble (A+B+C)
2017,2015-2016,Learned ensemble (A+B+C)
2018,2015-2017,Learned ensemble (A+B+C)
2019,2015-2018,Learned ensemble (A+B+C)
2020,2015-2019,Learned ensemble (A+B+C)
2021,2015-2020,Learned ensemble (A+B+C)
2022,2015-2021,Learned ensemble (A+B+C)
2023,2015-2022,Learned ensemble (A+B+C)
2024,2015-2023,Learned ensemble (A+B+C)
2025,2015-2024,Learned ensemble (A+B+C)
2026,2015-2025,Learned ensemble (A+B+C)
