model,dimension,group,scope,n_3voters,hit_rate,mean_p3_on_3voter,share_of_3voters,n_players,mean_error,mae
"Performance ML (B, default params)",role,KEY_FORWARD,all,200.0,0.64,0.45562811749810506,0.06756756756756757,,,
"Performance ML (B, default params)",role,MEDIUM_DEFENDER,all,181.0,0.4088397790055249,0.2956496370628723,0.06114864864864865,,,
"Performance ML (B, default params)",role,MEDIUM_FORWARD,all,161.0,0.422360248447205,0.3267504493574303,0.05439189189189189,,,
"Performance ML (B, default params)",role,MIDFIELDER,all,1901.0,0.6370331404523935,0.43849923981077166,0.6422297297297297,,,
"Performance ML (B, default params)",role,MIDFIELDER_FORWARD,all,46.0,0.5869565217391305,0.38409686573158924,0.015540540540540541,,,
"Performance ML (B, default params)",role,RUCK,all,135.0,0.362962962962963,0.2748744647252815,0.04560810810810811,,,
"Performance ML (B, default params)",role,UNKNOWN,all,294.0,0.5680272108843537,0.4170886842806251,0.09932432432432432,,,
"Performance ML (B, default params)",role,KEY_DEFENDER,recent (2022-2026),16.0,0.25,0.1936507606531369,0.015594541910331383,,,
"Performance ML (B, default params)",role,KEY_FORWARD,recent (2022-2026),88.0,0.6818181818181818,0.49452662517090346,0.08576998050682261,,,
"Performance ML (B, default params)",role,MEDIUM_DEFENDER,recent (2022-2026),94.0,0.43617021276595747,0.31172742301509254,0.09161793372319688,,,
"Performance ML (B, default params)",role,MEDIUM_FORWARD,recent (2022-2026),73.0,0.4383561643835616,0.3030597525743726,0.07115009746588694,,,
"Performance ML (B, default params)",role,MIDFIELDER,recent (2022-2026),636.0,0.6194968553459119,0.42653328303158855,0.6198830409356725,,,
"Performance ML (B, default params)",role,MIDFIELDER_FORWARD,recent (2022-2026),33.0,0.5454545454545454,0.35616303041653585,0.03216374269005848,,,
"Performance ML (B, default params)",role,RUCK,recent (2022-2026),52.0,0.38461538461538464,0.3105175109741876,0.050682261208576995,,,
"Performance ML (B, default params)",role,UNKNOWN,recent (2022-2026),34.0,0.47058823529411764,0.3843669257178294,0.03313840155945419,,,
"Performance ML (B, default params)",margin_bucket,0-12,all,750.0,0.536,0.3703372322065533,0.2533783783783784,,,
"Performance ML (B, default params)",margin_bucket,100+,all,64.0,0.625,0.4818685178046129,0.021621621621621623,,,
"Performance ML (B, default params)",margin_bucket,12-24,all,574.0,0.6167247386759582,0.42453592657947814,0.1939189189189189,,,
"Performance ML (B, default params)",margin_bucket,24-48,all,892.0,0.5818385650224215,0.40913853499094666,0.3013513513513513,,,
"Performance ML (B, default params)",margin_bucket,48-100,all,680.0,0.6147058823529412,0.4387111600361192,0.22972972972972974,,,
"Performance ML (B, default params)",margin_bucket,0-12,recent (2022-2026),291.0,0.4879725085910653,0.3334118167530541,0.28362573099415206,,,
"Performance ML (B, default params)",margin_bucket,100+,recent (2022-2026),18.0,0.7222222222222222,0.5249348645116275,0.017543859649122806,,,
"Performance ML (B, default params)",margin_bucket,12-24,recent (2022-2026),195.0,0.6051282051282051,0.42025892535057224,0.19005847953216373,,,
"Performance ML (B, default params)",margin_bucket,24-48,recent (2022-2026),290.0,0.5482758620689655,0.40580017169068505,0.2826510721247563,,,
"Performance ML (B, default params)",margin_bucket,48-100,recent (2022-2026),232.0,0.6594827586206896,0.44906130376607406,0.22612085769980506,,,
"Performance ML (B, default params)",losing_team_3voter,False,all,2659.0,0.606242948476871,0.42529778330882445,0.8983108108108108,,,
"Performance ML (B, default params)",losing_team_3voter,True,all,301.0,0.4019933554817276,0.2813438118583123,0.10168918918918919,,,
"Performance ML (B, default params)",losing_team_3voter,False,recent (2022-2026),916.0,0.5938864628820961,0.4176056547367641,0.8927875243664717,,,
"Performance ML (B, default params)",losing_team_3voter,True,recent (2022-2026),110.0,0.37272727272727274,0.2523604473169234,0.10721247563352826,,,
"Performance ML (B, default params)",season_ev_bias_by_role,KEY_DEFENDER,all,,,,,169.0,-1.2611818658086618,1.6919481401598182
"Performance ML (B, default params)",season_ev_bias_by_role,KEY_FORWARD,all,,,,,303.0,-0.5188444867639123,1.385872493372253
"Performance ML (B, default params)",season_ev_bias_by_role,MEDIUM_DEFENDER,all,,,,,399.0,-0.14473420444710838,1.777235420262074
