model,dimension,group,scope,n_3voters,hit_rate,mean_p3_on_3voter,share_of_3voters,n_players,mean_error,mae
Stats-only ML (C-ML),season_ev_bias_by_role,KEY_DEFENDER,recent (2022-2026),,,,,63.0,-0.9023444173407608,1.4566010160397067
Stats-only ML (C-ML),season_ev_bias_by_role,KEY_FORWARD,recent (2022-2026),,,,,143.0,-0.1914751212407263,1.2868070302247643
Stats-only ML (C-ML),season_ev_bias_by_role,MEDIUM_DEFENDER,recent (2022-2026),,,,,194.0,0.3070772838142146,1.88549422207776
Stats-only ML (C-ML),season_ev_bias_by_role,MEDIUM_FORWARD,recent (2022-2026),,,,,152.0,-0.4917036669040296,1.4757998986039356
Stats-only ML (C-ML),season_ev_bias_by_role,MIDFIELDER,recent (2022-2026),,,,,459.0,-0.6269088446319663,2.5377613896139413
Stats-only ML (C-ML),season_ev_bias_by_role,MIDFIELDER_FORWARD,recent (2022-2026),,,,,60.0,-0.1300013378881859,1.9899608416592116
Stats-only ML (C-ML),season_ev_bias_by_role,RUCK,recent (2022-2026),,,,,86.0,0.6438737884476484,2.3125230715452694
Stats-only ML (C-ML),season_ev_bias_by_role,UNKNOWN,recent (2022-2026),,,,,4.0,-0.6638404465546488,0.6638404465546488
Baseline (Phase 4 PL),role,KEY_DEFENDER,all,40.0,0.175,0.18409707319481833,0.014875418371141688,,,
Baseline (Phase 4 PL),role,KEY_FORWARD,all,187.0,0.5935828877005348,0.45047848994822143,0.0695425808850874,,,
Baseline (Phase 4 PL),role,MEDIUM_DEFENDER,all,170.0,0.4117647058823529,0.29809584834959235,0.06322052807735218,,,
Baseline (Phase 4 PL),role,MEDIUM_FORWARD,all,158.0,0.43670886075949367,0.3152781371646211,0.05875790256600967,,,
Baseline (Phase 4 PL),role,MIDFIELDER,all,1780.0,0.6297752808988764,0.4166337199779374,0.6619561175158052,,,
Baseline (Phase 4 PL),role,MIDFIELDER_FORWARD,all,43.0,0.5581395348837209,0.3799816595325536,0.015991074748977315,,,
Baseline (Phase 4 PL),role,RUCK,all,131.0,0.4961832061068702,0.35011342330422773,0.04871699516548903,,,
Baseline (Phase 4 PL),role,UNKNOWN,all,180.0,0.5722222222222222,0.4232051030956315,0.0669393826701376,,,
Baseline (Phase 4 PL),role,KEY_DEFENDER,recent (2022-2026),15.0,0.13333333333333333,0.19738486071591227,0.015991471215351813,,,
Baseline (Phase 4 PL),role,KEY_FORWARD,recent (2022-2026),83.0,0.6024096385542169,0.4952036683545079,0.08848614072494669,,,
Baseline (Phase 4 PL),role,MEDIUM_DEFENDER,recent (2022-2026),87.0,0.45977011494252873,0.31771676500723417,0.09275053304904052,,,
Baseline (Phase 4 PL),role,MEDIUM_FORWARD,recent (2022-2026),70.0,0.42857142857142855,0.29389343387658656,0.07462686567164178,,,
Baseline (Phase 4 PL),role,MIDFIELDER,recent (2022-2026),580.0,0.6103448275862069,0.4272094857276989,0.6183368869936035,,,
Baseline (Phase 4 PL),role,MIDFIELDER_FORWARD,recent (2022-2026),31.0,0.5483870967741935,0.3761140635186305,0.03304904051172708,,,
Baseline (Phase 4 PL),role,RUCK,recent (2022-2026),50.0,0.5,0.37089250411639413,0.053304904051172705,,,
Baseline (Phase 4 PL),role,UNKNOWN,recent (2022-2026),22.0,0.6363636363636364,0.4517656038137273,0.023454157782515993,,,
Baseline (Phase 4 PL),margin_bucket,0-12,all,677.0,0.5376661742983752,0.357281865099156,0.2517664559315731,,,
Baseline (Phase 4 PL),margin_bucket,100+,all,60.0,0.7333333333333333,0.5439560390588463,0.022313127556712532,,,
Baseline (Phase 4 PL),margin_bucket,12-24,all,517.0,0.6034816247582205,0.3995432121963266,0.19226478244700632,,,
Baseline (Phase 4 PL),margin_bucket,24-48,all,817.0,0.5924112607099143,0.3947535589148927,0.303830420230569,,,
Baseline (Phase 4 PL),margin_bucket,48-100,all,618.0,0.5922330097087378,0.43444648384404405,0.2298252138341391,,,
Baseline (Phase 4 PL),margin_bucket,0-12,recent (2022-2026),262.0,0.49236641221374045,0.3304594270069988,0.279317697228145,,,
Baseline (Phase 4 PL),margin_bucket,100+,recent (2022-2026),17.0,0.7647058823529411,0.624586146266527,0.01812366737739872,,,
Baseline (Phase 4 PL),margin_bucket,12-24,recent (2022-2026),174.0,0.6091954022988506,0.4112699672446442,0.18550106609808104,,,
Baseline (Phase 4 PL),margin_bucket,24-48,recent (2022-2026),271.0,0.5645756457564576,0.4103542656643773,0.2889125799573561,,,
Baseline (Phase 4 PL),margin_bucket,48-100,recent (2022-2026),214.0,0.6121495327102804,0.46839143847681736,0.2281449893390192,,,
Baseline (Phase 4 PL),losing_team_3voter,False,all,2421.0,0.5923172242874845,0.4062564458502505,0.9003346969133507,,,
Baseline (Phase 4 PL),losing_team_3voter,True,all,268.0,0.5074626865671642,0.33035729465220304,0.09966530308664931,,,
Baseline (Phase 4 PL),losing_team_3voter,False,recent (2022-2026),844.0,0.5841232227488151,0.41715708893992104,0.8997867803837953,,,
Baseline (Phase 4 PL),losing_team_3voter,True,recent (2022-2026),94.0,0.4148936170212766,0.2991542492204738,0.10021321961620469,,,
Baseline (Phase 4 PL),season_ev_bias_by_role,KEY_DEFENDER,all,,,,,179.0,-0.7085470253952384,1.54746863922843
Baseline (Phase 4 PL),season_ev_bias_by_role,KEY_FORWARD,all,,,,,281.0,-0.7977225644290387,1.4729242589664515
Baseline (Phase 4 PL),season_ev_bias_by_role,MEDIUM_DEFENDER,all,,,,,418.0,0.033120394269117844,1.7115250298047107
Baseline (Phase 4 PL),season_ev_bias_by_role,MEDIUM_FORWARD,all,,,,,344.0,-0.8640274511582738,1.4606235629409492
Baseline (Phase 4 PL),season_ev_bias_by_role,MIDFIELDER,all,,,,,1869.0,-0.17813882991263913,2.057458250337304
Baseline (Phase 4 PL),season_ev_bias_by_role,MIDFIELDER_FORWARD,all,,,,,72.0,-0.5215484102764493,1.9925681765682082
Baseline (Phase 4 PL),season_ev_bias_by_role,RUCK,all,,,,,263.0,0.8765575914863971,2.0977669354436976
Baseline (Phase 4 PL),season_ev_bias_by_role,UNKNOWN,all,,,,,10.0,-0.5991540540834781,1.1470502467089132
Baseline (Phase 4 PL),season_ev_bias_by_role,KEY_DEFENDER,recent (2022-2026),,,,,72.0,-0.1812033469399994,1.4971373984977379
Baseline (Phase 4 PL),season_ev_bias_by_role,KEY_FORWARD,recent (2022-2026),,,,,131.0,-0.7453971499528382,1.5361561684512026
Baseline (Phase 4 PL),season_ev_bias_by_role,MEDIUM_DEFENDER,recent (2022-2026),,,,,199.0,0.32234251648277057,1.79145617862789
Baseline (Phase 4 PL),season_ev_bias_by_role,MEDIUM_FORWARD,recent (2022-2026),,,,,139.0,-0.9034829445905327,1.5914734439424825
Baseline (Phase 4 PL),season_ev_bias_by_role,MIDFIELDER,recent (2022-2026),,,,,451.0,-0.5339714570997183,2.4630684634778426
Baseline (Phase 4 PL),season_ev_bias_by_role,MIDFIELDER_FORWARD,recent (2022-2026),,,,,58.0,-0.37007738440272697,2.0251867159056838
Baseline (Phase 4 PL),season_ev_bias_by_role,RUCK,recent (2022-2026),,,,,88.0,1.9972548303520852,2.8805111806633246
