metric,n_matches,mean_diff,ci_lo,ci_hi
correct_3,2960,0.0016891891891891893,-0.00472972972972973,0.008783783783783784
log_loss_p3,2960,0.0018765103599394366,-0.0024307957936862017,0.006612949575074975
exact_321,2960,0.0,-0.0057432432432432436,0.005751689189189182
brier_p3,2960,1.3064960351297373e-06,-4.20504241319919e-05,4.6236770396142444e-05
