model,correct_3,log_loss_p3,brier_p3,ece_p3
Learned ensemble (A+B+C) platt,0.5997888675173028,1.2050794627625223,0.012022391998550942,0.0033824305225529584
Learned ensemble (A+B+C) raw,0.599298847677663,1.2255196560929797,0.01213966313941474,0.0045557857648316534
Performance ML (B) platt,0.5885981332870086,1.2292423218061452,0.012273663694713837,0.00339291986441197
Performance ML (B) raw,0.5885981332870086,1.245742607843623,0.01235635920430594,0.00452144269008046
