model,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,log_loss_p3,brier_p3,ece_p3,season_mae,season_rmse,spearman,rank_mae_top30,top3_hit,top5_hit,top10_hit,winner_correct,correct_3_sd,log_loss_p3_sd,season_mae_sd,n_seasons,n_matches,window_seasons
A role-free,0.5954095242916045,0.7806786670938202,0.8815773156458891,0.09907402708368603,0.2560827833381613,1.248845354883195,0.012358339573347189,0.004304714102014507,0.7349770785893668,1.519508338403398,0.752807878282514,9.99706252742306,0.6722222222222222,0.5939682539682539,0.7141414141414141,0.4666666666666667,0.05871805532232014,0.17308784317343667,0.0793765255125678,15.0,2960.0,all (2012-2026)
"A (current, with role)",0.5937535917594858,0.7852056467671772,0.8802090385989538,0.09910934637069628,0.25238084122760923,1.2467401198578691,0.012356496213368793,0.004335159674953566,0.7316304549620767,1.5126045757889262,0.7534029189423224,9.91352639166681,0.6277777777777778,0.5951587301587301,0.7202020202020202,0.4666666666666667,0.05830079082591575,0.17262703158722903,0.07821161019272259,15.0,2960.0,all (2012-2026)
A role-free,0.5893719806763286,0.769609134826526,0.8667545015371102,0.08375054896794028,0.24286341677646028,1.2816227616436071,0.01217363370682488,0.004304767584299647,0.7488642268551139,1.6307848206287094,0.7342264257405265,9.253991144845035,0.6666666666666666,0.5828571428571429,0.72,0.2,0.08112490639491142,0.25326657863249163,0.11145350604837014,5.0,1026.0,recent (2022-2026)
"A (current, with role)",0.5823891084760651,0.7753623188405798,0.8687307861220905,0.09134826526130874,0.24751866490996927,1.2857839173845296,0.01221336866647163,0.004291578105773044,0.7453412528755289,1.618668433469398,0.7347184197068521,9.071423149905124,0.6666666666666666,0.6114285714285714,0.72,0.2,0.07977906429628974,0.25174206440220565,0.10983363027638277,5.0,1026.0,recent (2022-2026)
A role-free,0.5875592039080166,0.7746746933493139,0.8779494703521344,0.09269318636813151,0.24780436241027984,1.2744890037313639,0.012600037636229132,0.00426326238142081,0.745689398659385,1.5362052861911948,0.7554908258398759,10.314825058183692,0.6488095238095237,0.5853741496598639,0.7008658008658007,0.42857142857142855,0.052627646853206006,0.14911541773892653,0.07091805823190879,14.0,2753.0,pre-2026 (2012-2025)
"A (current, with role)",0.5854399249182897,0.7784898320262543,0.8764834592304181,0.09135076621152931,0.2441830614257166,1.2721751231268887,0.012599719368036886,0.004322703431757886,0.7427128757404198,1.5289717206406057,0.7560229945373628,10.223017908122273,0.6011904761904762,0.5764455782312925,0.7145021645021644,0.42857142857142855,0.05103930651339977,0.149079103725725,0.06864173499791892,14.0,2753.0,pre-2026 (2012-2025)
