model,n_matches,correct_3,exact_321,log_loss_p3,brier_p3,ece_p3,season_mae,spearman,n_seasons
Learned ensemble (A+B+C),2366,0.599298847677663,0.10370075970125303,1.2255196560929797,0.01213966313941474,0.0045557857648316534,0.7268224067999097,0.7510582114372402,12
Performance ML (B),2366,0.5924217278920825,0.09877301430750222,1.2426988782473434,0.01230707241089398,0.0045669506922949585,0.7306328570161856,0.7508947061057417,12
Structural (A),2366,0.5982482901290592,0.09511751727792857,1.262604539765776,0.01239634451576993,0.00441178261148938,0.7486927611457618,0.747873608663059,12
