market_type,market_name,selection,player,team,opponent_or_pair,line,odds,implied_probability,model_probability,probability_edge_pp,expected_value,model_disagreement,structural_break_sensitivity,simulation_uncertainty,confidence_tier,audit_status,audit_notes,quality_label,source_url,timestamp
TEAM_VOTES_OU,Essendon Team Votes O/U,Under,,Essendon,,25.5,1.87,0.53475935828877,0.26904,-26.571935828876995,-0.4968952,,,,UNKNOWN,PRICE_SUSPECT,Over and Under both priced at 1.87 - flat/templated pricing pattern shared across most team O/U markets; held out of headline value pending a market refresh,REVIEW REQUIRED — PRICE FRESHNESS,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-team-votes-o-u/essendon-team-votes-o-u-10911257,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Alex Pearce,Alex Pearce,,,1.0,2.7,0.37037037037037035,0.095,-27.537037037037038,-0.7435,0.0313209201723261,0.0313209201723261,2.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Esava Ratugolea,Esava Ratugolea,,,1.0,2.15,0.46511627906976744,0.18794,-27.717627906976745,-0.595929,0.1879174501098711,0.1874982448862933,3.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 15 or more votes,Matt Rowell,Matt Rowell,,,15.0,3.3,0.30303030303030304,0.02436,-27.867030303030305,-0.919612,0.754627699789701,0.3209752103169343,11.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-15-or-more-votes-10865474,2026-09-17T04:16:34.686425+00:00
TEAM_VOTES_OU,North Melbourne Team Votes O/U,Over,,North Melbourne,,67.5,1.87,0.53475935828877,0.24983,-28.492935828877,-0.5328179,,,,UNKNOWN,PRICE_SUSPECT,Over and Under both priced at 1.87 - flat/templated pricing pattern shared across most team O/U markets; held out of headline value pending a market refresh,REVIEW REQUIRED — PRICE FRESHNESS,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-team-votes-o-u/north-melbourne-team-votes-o-u-10911273,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 10 or more votes,Andrew Brayshaw,Andrew Brayshaw,,,10.0,1.02,0.9803921568627451,0.69308,-28.731215686274503,-0.29305839999999994,1.050877021706878,0.9427480658709316,13.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-10-or-more-votes-10865473,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 15 or more votes,Andrew Brayshaw,Andrew Brayshaw,,,15.0,2.25,0.4444444444444444,0.15428,-29.016444444444446,-0.6528700000000001,1.050877021706878,0.9427480658709316,13.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-15-or-more-votes-10865474,2026-09-17T04:16:34.686425+00:00
TRIFECTA,Brownlow Medal Trifecta,Nick Daicos/Marcus Bontempelli/Bailey Smith,Nick Daicos,,Nick Daicos/Marcus Bontempelli/Bailey Smith,,3.2,0.3125,0.01646,-29.604000000000003,-0.947328,0.9232905686771886,0.2331800353149589,12.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/brownlow-medal-trifecta-10861172,2026-09-17T04:16:34.686425+00:00
PLAYER_VOTES_OU,Harry Sheezel Votes O/U,Under,Harry Sheezel,,,22.5,1.87,0.53475935828877,0.2363,-29.845935828876996,-0.558119,3.295562707918688,2.261067858862265,15.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-player-votes-o-u/harry-sheezel-votes-o-u-10911169,2026-09-17T04:16:34.686425+00:00
PLAYER_H2H,AFL Brownlow H2H's,Jordan Dawson to outpoll Isaac Heeney,Jordan Dawson,,Isaac Heeney,,1.87,0.53475935828877,0.23423,-30.052935828876997,-0.5619898999999999,0.6454235874816163,0.6454235874816163,12.0,HIGH,SETTLEMENT_UNCERTAIN,non-trivial tie probability between the two players (0.070),REVIEW REQUIRED,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-h2hs/jordan-dawson-v-isaac-heeney-10911606,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 10 or more votes,Finn Callaghan,Finn Callaghan,,,10.0,1.25,0.8,0.49853,-30.147000000000006,-0.37683750000000005,1.088053089499061,0.8765666737354874,12.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-10-or-more-votes-10865473,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 15 or more votes,Sam Walsh,Sam Walsh,,,15.0,1.72,0.5813953488372093,0.27974,-30.165534883720934,-0.5188472,0.9935738813477945,0.9935738813477945,14.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-15-or-more-votes-10865474,2026-09-17T04:16:34.686425+00:00
PLAYER_H2H,AFL Brownlow H2H's,Andrew Brayshaw to outpoll Sam Walsh,Andrew Brayshaw,,Sam Walsh,,1.5,0.6666666666666666,0.36379,-30.287666666666663,-0.454315,1.050877021706878,0.9427480658709316,13.0,HIGH,SETTLEMENT_UNCERTAIN,non-trivial tie probability between the two players (0.079),REVIEW REQUIRED,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-h2hs/andrew-brayshaw-v-sam-walsh-10911829,2026-09-17T04:16:34.686425+00:00
TEAM_TOP_POLLER,Western Bulldogs Most Votes - Without M.Bontempelli/E.Richards,Matthew Kennedy,Matthew Kennedy,Western Bulldogs,,,3.25,0.3076923076923077,0.0,-30.76923076923077,-1.0,0.567452361399984,0.567452361399984,10.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-teams/western-bulldogs-most-votes-without-m-bontempelli-e-richards-10819445,2026-09-17T04:16:34.686425+00:00
