player_id,player_name,team_id,prob_winner,prob_top2,prob_top3,prob_top5,prob_top7,prob_top10,mean_votes
12943,Nick Daicos,collingwood,0.88885,0.97605,0.99575,0.9998,1.0,1.0,38.672
12269,Marcus Bontempelli,western_bulldogs,0.05765,0.4805,0.7487,0.93965,0.98495,0.99845,31.97285
12692,Bailey Smith,geelong,0.0407,0.32385,0.6111,0.8856,0.9692,0.99495,30.89945
12326,Isaac Heeney,sydney,0.00315,0.05735,0.17445,0.5524,0.80405,0.94355,27.56205
12261,Patrick Cripps,carlton,0.0062,0.0826,0.2138,0.55005,0.7748,0.91775,27.49965
12055,Lachie Neale,brisbane_lions,0.00195,0.03895,0.1144,0.37855,0.6241,0.83125,26.0624
12915,Jai Newcombe,hawthorn,0.00055,0.01325,0.0451,0.1841,0.38745,0.64815,24.04305
11966,Max Gawn,melbourne,0.00065,0.0126,0.0351,0.13655,0.2912,0.51825,22.9378
12779,Luke Jackson,fremantle,0.0002,0.0064,0.02165,0.1032,0.2468,0.4842,22.6529
12410,Clayton Oliver,greater_western_sydney,5e-05,0.00295,0.01285,0.0643,0.1688,0.3506,21.3436
12798,Izak Rankine,adelaide,0.0,0.0001,0.001,0.01335,0.0681,0.27615,21.2331
12605,Ed Richards,western_bulldogs,5e-05,0.00135,0.00425,0.03085,0.1056,0.2976,21.20705
12590,Luke Davies-Uniacke,north_melbourne,0.0,0.00055,0.0038,0.02815,0.09905,0.26615,20.54345
12698,Zak Butters,port_adelaide,0.0,0.00085,0.00405,0.028,0.0937,0.2569,20.542
13034,Harry Sheezel,north_melbourne,0.0,0.0012,0.0052,0.02695,0.08835,0.2372,20.13445
13040,Will Ashcroft,brisbane_lions,0.0,0.0004,0.002,0.0182,0.0634,0.18955,19.7871
12786,Caleb Serong,fremantle,0.0,0.0005,0.00315,0.0214,0.0732,0.2008,19.71075
12956,Jason Horne-Francis,port_adelaide,0.0,0.00015,0.0019,0.0137,0.0482,0.1479,19.02545
13193,Max Hall,st_kilda,0.0,0.0,0.0002,0.00225,0.01245,0.0594,17.9958
12516,Jordan Dawson,adelaide,0.0,0.0002,0.0003,0.0042,0.01775,0.07095,17.86255
12797,Chad Warner,sydney,0.0,5e-05,0.0004,0.00695,0.02625,0.08555,17.8466
13111,Harley Reid,west_coast,0.0,0.00015,0.00065,0.007,0.02365,0.0792,17.6702
