player_id,player_name,team_id,prob_winner,prob_top2,prob_top3,prob_top5,prob_top7,prob_top10,mean_votes
12943,Nick Daicos,collingwood,0.99074,0.99998,0.99999,1.0,1.0,1.0,47.13088
12692,Bailey Smith,geelong,0.00924,0.92896,0.98329,0.99797,0.9996,0.99993,35.37832
12269,Marcus Bontempelli,western_bulldogs,0.0,0.02565,0.2958,0.62992,0.80308,0.92806,25.81012
13040,Will Ashcroft,brisbane_lions,1e-05,0.01206,0.18521,0.50377,0.71967,0.89514,24.79373
12261,Patrick Cripps,carlton,1e-05,0.01192,0.14605,0.39947,0.5999,0.79966,23.89047
12055,Lachie Neale,brisbane_lions,0.0,0.00674,0.11187,0.34693,0.55906,0.79066,23.46486
12326,Isaac Heeney,sydney,0.0,0.00571,0.09885,0.32899,0.54484,0.77906,23.32469
13034,Harry Sheezel,north_melbourne,0.0,0.00586,0.08569,0.27657,0.46522,0.69707,22.65458
12798,Izak Rankine,adelaide,0.0,0.00028,0.01115,0.08291,0.22729,0.5094,20.83596
12516,Jordan Dawson,adelaide,0.0,0.00074,0.01989,0.09754,0.22344,0.4579,20.47901
12950,Nasiah Wanganeen-Milera,st_kilda,0.0,0.00016,0.00874,0.05952,0.16367,0.39752,20.04237
12698,Zak Butters,port_adelaide,0.0,0.00044,0.01594,0.08025,0.18303,0.38276,19.76997
11966,Max Gawn,melbourne,0.0,0.00076,0.01707,0.0736,0.16014,0.3242,19.01265
12771,Kysaiah Pickett,melbourne,0.0,5e-05,0.00258,0.02014,0.06828,0.22836,18.93909
12915,Jai Newcombe,hawthorn,0.0,0.00042,0.0091,0.04548,0.10962,0.25655,18.5172
12605,Ed Richards,western_bulldogs,0.0,0.00016,0.00527,0.02951,0.07699,0.20327,18.04052
12956,Jason Horne-Francis,port_adelaide,0.0,2e-05,0.00142,0.01154,0.03927,0.12431,16.96099
12786,Caleb Serong,fremantle,0.0,1e-05,0.0006,0.00356,0.01244,0.04433,14.51184
12862,Errol Gulden,sydney,0.0,0.0,0.0,3e-05,0.00014,0.00151,14.40082
12881,Max Holmes,geelong,0.0,0.0,6e-05,0.00077,0.00396,0.01933,14.22131
12410,Clayton Oliver,greater_western_sydney,0.0,4e-05,0.00075,0.00498,0.01469,0.04507,13.97767
12535,Shai Bolton,fremantle,0.0,0.0,0.00012,0.00132,0.00521,0.02157,13.67773
12217,Brodie Grundy,sydney,0.0,0.0,4e-05,0.00054,0.00234,0.01233,13.24857
12590,Luke Davies-Uniacke,north_melbourne,0.0,0.0,6e-05,0.0006,0.00267,0.01229,12.85229
11845,Jack Gunston,hawthorn,0.0,0.0,0.0,3e-05,0.00062,0.00554,12.72289
12779,Luke Jackson,fremantle,0.0,4e-05,0.00025,0.0018,0.00573,0.01996,12.71792
12797,Chad Warner,sydney,0.0,0.0,0.0,0.0002,0.00094,0.00632,12.71517
12767,Noah Anderson,gold_coast,0.0,0.0,0.0001,0.00048,0.00212,0.01029,12.27005
12684,Sam Walsh,carlton,0.0,0.0,9e-05,0.00112,0.00339,0.01188,11.87979
13111,Harley Reid,west_coast,0.0,0.0,1e-05,8e-05,0.00037,0.00283,11.5371
13048,Jacob van Rooyen,melbourne,0.0,0.0,0.0,0.0,0.0,0.0,11.41196
12430,Christian Petracca,gold_coast,0.0,0.0,0.0,3e-05,0.00011,0.00071,11.40743
12610,Zac Bailey,brisbane_lions,0.0,0.0,0.0,6e-05,0.00073,0.00349,11.26021
12589,Andrew Brayshaw,fremantle,0.0,0.0,1e-05,0.00019,0.00071,0.00395,11.23332
12421,Charlie Curnow,sydney,0.0,0.0,0.0,0.0,0.0,4e-05,10.41056
13193,Max Hall,st_kilda,0.0,0.0,0.0,0.0,0.00014,0.00078,10.33151
12411,George Hewett,carlton,0.0,0.0,0.0,8e-05,0.00021,0.00118,10.17467
12025,Toby Greene,greater_western_sydney,0.0,0.0,0.0,0.0,5e-05,0.00047,9.9399
12693,Tom Sparrow,melbourne,0.0,0.0,0.0,0.0,0.00011,0.00071,9.74207
12969,Finn Callaghan,greater_western_sydney,0.0,0.0,0.0,0.0,0.0001,0.00057,9.58507
13104,Shaun Mannagh,geelong,0.0,0.0,0.0,0.0,0.0,1e-05,9.46043
12983,Jye Amiss,fremantle,0.0,0.0,0.0,0.0,2e-05,0.00013,9.38758
12241,Zach Merrett,essendon,0.0,0.0,0.0,0.0,2e-05,0.00021,9.22676
12887,Josh Treacy,fremantle,0.0,0.0,0.0,1e-05,3e-05,0.00027,9.00789
12768,Matt Rowell,gold_coast,0.0,0.0,0.0,0.0,1e-05,9e-05,8.6759
12331,Touk Miller,gold_coast,0.0,0.0,0.0,0.0,0.0,5e-05,8.45781
12782,Lachie Ash,greater_western_sydney,0.0,0.0,0.0,0.0,2e-05,7e-05,8.12071
13125,Hugo Garcia,st_kilda,0.0,0.0,0.0,1e-05,2e-05,5e-05,7.94399
13137,Logan Morris,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,7.75828
12504,Tim Taranto,richmond,0.0,0.0,0.0,0.0,0.0,0.0,7.64223
12743,John Noble,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,7.28592
12699,Nick Blakey,sydney,0.0,0.0,0.0,0.0,0.0,1e-05,6.85323
13105,Nick Watson,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,6.7985
12849,Sam Berry,adelaide,0.0,0.0,0.0,0.0,0.0,2e-05,6.65505
12167,Jake Stringer,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,6.65034
12954,Connor Macdonald,hawthorn,0.0,0.0,0.0,0.0,0.0,5e-05,6.58244
12974,Oliver Dempsey,geelong,0.0,0.0,0.0,0.0,0.0,0.0,6.56843
13180,Murphy Reid,fremantle,0.0,0.0,0.0,0.0,0.0,2e-05,6.41308
13129,Patrick Voss,fremantle,0.0,0.0,0.0,0.0,0.0,0.0,6.11625
12953,Josh Rachele,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,6.0901
12564,Rowan Marshall,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,6.05683
12573,Josh Daicos,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,6.02109
12455,Matthew Kennedy,western_bulldogs,0.0,0.0,0.0,0.0,0.0,1e-05,5.98805
12968,Kai Lohmann,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,5.95135
12237,Jarman Impey,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,5.91339
12060,Bradley Hill,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,5.75517
13168,Archie Roberts,essendon,0.0,0.0,0.0,0.0,0.0,0.0,5.75152
12711,Justin McInerney,sydney,0.0,0.0,0.0,0.0,0.0,0.0,5.68836
12368,Jack Steele,melbourne,0.0,0.0,0.0,0.0,0.0,1e-05,5.6427
12373,Caleb Daniel,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,5.60361
12788,Tristan Xerri,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,5.40024
13274,Jagga Smith,carlton,0.0,0.0,0.0,0.0,0.0,0.0,5.381
12660,Darcy Cameron,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,5.29999
11713,Taylor Walker,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,5.11427
12143,Lachie Whitfield,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,5.1042
12017,Jeremy Cameron,geelong,0.0,0.0,0.0,0.0,0.0,0.0,4.84691
12405,Wayne Milera,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,4.59005
12318,Jordan de Goey,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,4.57195
12892,Riley Thilthorpe,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,4.36015
4182,Scott Pendlebury,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,4.30451
12594,Aaron Naughton,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,4.18645
12354,Bailey Dale,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,4.15242
11953,Luke Parker,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,4.0028
12766,Mitch Georgiades,port_adelaide,0.0,0.0,0.0,0.0,0.0,0.0,3.96512
12927,Jack Ginnivan,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,3.96245
12955,Josh Ward,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,3.91829
12992,Shannon Neale,geelong,0.0,0.0,0.0,0.0,0.0,0.0,3.84895
12469,Blake Hardwick,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,3.71652
12728,Ben King,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,3.67956
13007,Jase Burgoyne,port_adelaide,0.0,0.0,0.0,0.0,0.0,0.0,3.52484
12975,Paul Curtis,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,3.50318
12584,Darcy Fogarty,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,3.43341
12794,Will Day,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,3.25745
12406,Darcy Parish,essendon,0.0,0.0,0.0,0.0,0.0,0.0,3.25735
12756,Kade Chandler,melbourne,0.0,0.0,0.0,0.0,0.0,0.0,3.12356
12332,James Sicily,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,3.11163
12636,Mitch Lewis,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,3.10673
12325,Jack Sinclair,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,3.10193
12934,James Peatling,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,3.07837
12796,Dylan Stephens,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,3.02354
12076,Dayne Zorko,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,2.96073
12595,Tim Kelly,west_coast,0.0,0.0,0.0,0.0,0.0,0.0,2.87552
12601,Jake Waterman,west_coast,0.0,0.0,0.0,0.0,0.0,0.0,2.85943
12844,Joel Amartey,sydney,0.0,0.0,0.0,0.0,0.0,0.0,2.83281
12686,Noah Balta,richmond,0.0,0.0,0.0,0.0,0.0,0.0,2.8326
12688,Jordan Clark,fremantle,0.0,0.0,0.0,0.0,0.0,0.0,2.83082
13184,Harvey Langford,melbourne,0.0,0.0,0.0,0.0,0.0,0.0,2.80947
11700,Patrick Dangerfield,geelong,0.0,0.0,0.0,0.0,0.0,0.0,2.74899
12703,Callum Wilkie,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,2.7171
12710,Dylan Moore,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,2.63567
12563,Nick Larkey,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,2.60252
13140,Joel Freijah,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,2.50691
13103,Ryley Sanders,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,2.50247
12566,Harry McKay,carlton,0.0,0.0,0.0,0.0,0.0,0.0,2.48356
12519,Jarrod Berry,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,2.43418
12925,Sam Durham,essendon,0.0,0.0,0.0,0.0,0.0,0.0,2.4272
12600,Liam Ryan,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,2.37224
12412,Tom Papley,sydney,0.0,0.0,0.0,0.0,0.0,0.0,2.37084
12931,Jake Bowey,melbourne,0.0,0.0,0.0,0.0,0.0,0.0,2.35492
13026,Darcy Wilmot,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,2.32379
12165,Rory Laird,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,2.30398
13041,Bodhi Uwland,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,2.28895
12890,Jordon Sweet,port_adelaide,0.0,0.0,0.0,0.0,0.0,0.0,2.28337
11898,Tom Liberatore,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,2.24404
12836,Bailey Williams,west_coast,0.0,0.0,0.0,0.0,0.0,0.0,2.24361
13075,Karl Worner,fremantle,0.0,0.0,0.0,0.0,0.0,0.0,2.15894
13110,Darcy Wilson,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,2.1351
12497,Oliver Florent,carlton,0.0,0.0,0.0,0.0,0.0,0.0,2.09262
