dataset,test_season,n_train_seasons,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
CORE_same_test_seasons,2020,17,125,0.528,0.304,0.16,0.072,0.216,0.6533333333333333,0.6533333333333333,0.415502514072756,0.2017608026977047,0.0954280508545356,0.15362813413389537
CORE_same_test_seasons,2021,18,180,0.6444444444444445,0.37777777777777777,0.29444444444444445,0.13333333333333333,0.2722222222222222,0.7129629629629629,0.7129629629629629,0.4257391032110228,0.17633453890957299,0.08450603598547995,0.12838576870290283
CORE_same_test_seasons,2022,19,183,0.6010928961748634,0.3114754098360656,0.20765027322404372,0.08196721311475409,0.21311475409836064,0.6848816029143898,0.6848816029143898,0.42643711859207184,0.17192847359802085,0.0845361162731276,0.12952187984122934
CORE_same_test_seasons,2023,20,181,0.4861878453038674,0.20441988950276244,0.13812154696132597,0.04419889502762431,0.17679558011049723,0.5985267034990792,0.5985267034990792,0.40124297686936744,0.19736735621594442,0.09330003120016499,0.14172967682375257
CORE_same_test_seasons,2024,21,190,0.48947368421052634,0.2894736842105263,0.20526315789473684,0.06315789473684211,0.21052631578947367,0.6333333333333333,0.6333333333333333,0.4049469683890554,0.19325568659973236,0.09196714733208733,0.13966403317760612
CORE_same_test_seasons,2025,22,193,0.5440414507772021,0.22797927461139897,0.16062176165803108,0.03626943005181347,0.15544041450777202,0.6303972366148531,0.6303972366148531,0.40906915880392014,0.19549738115261556,0.09396267292916553,0.13993497358549417
ADVANCED,2020,5,121,0.5041322314049587,0.2975206611570248,0.19834710743801653,0.0743801652892562,0.2644628099173554,0.6666666666666667,0.6666666666666667,0.4220600195864451,0.20193035448796778,0.09590662633251863,0.1418065443861023
ADVANCED,2021,6,177,0.6836158192090396,0.4293785310734463,0.2824858757062147,0.15819209039548024,0.288135593220339,0.7250470809792844,0.7250470809792844,0.43576797359134606,0.1792109265662918,0.08537073872532894,0.12075886867013802
ADVANCED,2022,7,172,0.6686046511627907,0.38372093023255816,0.22093023255813954,0.10465116279069768,0.23837209302325582,0.7015503875968991,0.7015503875968991,0.4425500282575856,0.16920730823376537,0.08458931882251088,0.12091705864912623
ADVANCED,2023,8,162,0.49382716049382713,0.22839506172839505,0.19135802469135801,0.06172839506172839,0.2037037037037037,0.6234567901234568,0.6234567901234568,0.4206910346499414,0.2155623340288162,0.10041707448087683,0.14327394108529531
ADVANCED,2024,9,171,0.49122807017543857,0.2631578947368421,0.2046783625730994,0.04678362573099415,0.2046783625730994,0.631578947368421,0.631578947368421,0.41892417929935144,0.21061197534078113,0.0989937046809505,0.14164902723605927
ADVANCED,2025,10,166,0.5602409638554217,0.28313253012048195,0.16265060240963855,0.04819277108433735,0.1927710843373494,0.6566265060240963,0.6566265060240963,0.4248494041498258,0.20754797672189237,0.09903431208687866,0.14217786705631966
