window,n_seasons,mean_correct_3,mean_exact_321,mean_log_loss,mean_brier,mean_rank_corr
recent5,5,0.5681990480740673,0.07923652624938189,0.18552813565045317,0.08844743322431965,0.41494397026974533
recency_weighted_halflife5,5,0.5649125692967182,0.07825503077678948,0.18525410029264944,0.0887742712727723,0.4144607862324773
recent8,5,0.5605268056544513,0.08159079727083898,0.18665698467501227,0.0890552824776831,0.4141043814353805
recent3,5,0.558454065524334,0.08230341842628294,0.18595651367184649,0.08857757653769123,0.41472480826455566
expanding,5,0.5530480641821807,0.07178535325287347,0.18687668729517723,0.08965440074400507,0.4134870651730875
