variant,test_season,n_train,n_test,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
without_gamestate,2023,17351,9230,183,0.46994535519125685,0.2185792349726776,0.15300546448087432,0.04918032786885246,0.18579234972677597,0.5938069216757741,0.5938069216757741,0.39081739843115454,0.1944584721644974,0.08946735119131713,0.1249326952936676
without_gamestate,2024,26581,9040,178,0.5,0.3089887640449438,0.21348314606741572,0.06741573033707865,0.20786516853932585,0.6273408239700374,0.6273408239700374,0.3921648242112169,0.17926644860429802,0.08429017555302136,0.1244684129330865
without_gamestate,2025,35621,9182,173,0.5491329479768786,0.2832369942196532,0.2023121387283237,0.057803468208092484,0.17341040462427745,0.6454720616570327,0.6454720616570327,0.3984533744914313,0.178599261976426,0.08409981711189832,0.12244635876303879
with_gamestate,2023,17351,9230,183,0.47540983606557374,0.2459016393442623,0.1366120218579235,0.0546448087431694,0.16939890710382513,0.5883424408014571,0.5883424408014571,0.39050526846134415,0.19487015780471928,0.08963081210480832,0.1250840089534614
with_gamestate,2024,26581,9040,178,0.5,0.2808988764044944,0.23595505617977527,0.07303370786516854,0.21348314606741572,0.6348314606741573,0.6348314606741573,0.39241114866370236,0.1791616070164377,0.08417278467150993,0.12386142232182688
with_gamestate,2025,35621,9182,173,0.5491329479768786,0.2947976878612717,0.19653179190751446,0.06936416184971098,0.18497109826589594,0.6473988439306358,0.6473988439306358,0.3985845457350287,0.17881872441657085,0.08414317004263118,0.12244646288519301
