player_id,n_matches,mean_expected,mean_actual,bias
12915,84,0.4833340902519122,0.8333333333333334,-0.34999924308142116
12956,62,0.3417975218371844,0.6774193548387096,-0.3356218330015252
12768,94,0.445895098432281,0.7553191489361702,-0.30942405050388927
981,52,0.26262832819269943,0.5576923076923077,-0.2950639794996083
1421,48,0.12850819904927932,0.3958333333333333,-0.267325134284054
1427,30,0.2392108177281543,0.5,-0.26078918227184567
12261,206,0.7180433013989188,0.9563106796116505,-0.2382673782127317
4065,131,0.3507609801648589,0.5725190839694656,-0.2217581038046067
12797,86,0.5494663221462198,0.7674418604651163,-0.2179755383188965
11632,46,0.12211431191341827,0.32608695652173914,-0.20397264460832087
12590,114,0.27675034768103496,0.4649122807017544,-0.18816193302071943
11733,82,0.08053445853825544,0.25609756097560976,-0.17556310243735432
621,40,0.12627835832541492,0.3,-0.17372164167458506
4169,132,0.27202691110491356,0.4318181818181818,-0.15979127071326826
12269,217,0.7449851338298232,0.9032258064516129,-0.15824067262178965
12017,198,0.4266076023951751,0.5757575757575758,-0.1491499733624007
12684,113,0.5662755191766539,0.7079646017699115,-0.14168908259325763
12862,81,0.6123300785216554,0.7530864197530864,-0.140756341231431
12950,72,0.3468181521938136,0.4861111111111111,-0.13929295891729748
12516,137,0.42304629217557616,0.5620437956204379,-0.13899750344486178
13140,24,0.11262126279543244,0.25,-0.13737873720456756
12707,55,0.0449202600445154,0.18181818181818182,-0.13689792177366641
12025,180,0.33574101730384154,0.4722222222222222,-0.13648120491838067
12318,147,0.2522629306824284,0.3877551020408163,-0.13549217135838793
12794,61,0.15969277398969733,0.29508196721311475,-0.13538919322341741
12777,72,0.1997850381432418,0.3333333333333333,-0.1335482951900915
12589,148,0.5509286497150822,0.6824324324324325,-0.1315037827173503
11791,96,0.43558864269725467,0.5625,-0.12691135730274533
13034,55,0.32990028060826754,0.45454545454545453,-0.12464517393718699
11751,202,0.27162946653313935,0.39603960396039606,-0.1244101374272567
4180,116,0.34267485892021604,0.46551724137931033,-0.12284238245909429
12969,53,0.33065980893137037,0.4528301886792453,-0.12217037974787492
4182,206,0.3815556077329624,0.5,-0.11844439226703762
12595,141,0.37746375202077015,0.48936170212765956,-0.11189795010688941
12592,134,0.06157869199345376,0.17164179104477612,-0.11006309905132236
11713,195,0.21842721756421807,0.3282051282051282,-0.10977791064091014
12430,182,0.5619951312988678,0.6703296703296703,-0.10833453903080248
12698,112,0.6344669964430524,0.7410714285714286,-0.10660443212837623
12943,75,1.2801406246784865,1.3866666666666667,-0.10652604198818016
12147,182,0.31168005378956887,0.4175824175824176,-0.10590236379284873
12779,99,0.21057783695997564,0.31313131313131315,-0.1025534761713375
12923,53,0.08678977613768117,0.18867924528301888,-0.10188946914533771
12083,146,0.11772776781841078,0.2191780821917808,-0.10145031437337003
3940,29,0.04002693847546328,0.13793103448275862,-0.09790409600729534
11715,86,0.0765218914422025,0.1744186046511628,-0.09789671320896029
12697,122,0.4199082850897726,0.5163934426229508,-0.09648515753317821
12728,103,0.08380611027331782,0.17475728155339806,-0.09095117128008025
12494,130,0.07850778669743791,0.16923076923076924,-0.09072298253333133
1418,53,0.2869450348485531,0.37735849056603776,-0.09041345571748466
4145,51,0.12530186171100424,0.21568627450980393,-0.09038441279879969
12087,151,0.3338781883722037,0.423841059602649,-0.08996287123044533
13111,28,0.054163719423746155,0.14285714285714285,-0.0886934234333967
12333,104,0.17112116318054846,0.25961538461538464,-0.08849422143483618
11850,24,0.07993982315923943,0.16666666666666666,-0.08672684350742722
11783,87,0.5471769953847551,0.632183908045977,-0.08500691266122196
12407,115,0.05590762779160268,0.1391304347826087,-0.08322280699100601
13057,43,0.08118851448772689,0.16279069767441862,-0.08160218318669173
4088,152,0.36094632641654867,0.4407894736842105,-0.07984314726766184
11589,46,0.029025874167409614,0.10869565217391304,-0.07966977800650343
468,37,0.056646134215123836,0.13513513513513514,-0.0784890009200113
12076,214,0.3484393977046445,0.4252336448598131,-0.07679424715516858
12593,21,0.0186195628809968,0.09523809523809523,-0.07661853235709844
12955,49,0.06740060247896532,0.14285714285714285,-0.07545654037817753
12241,217,0.653179308290111,0.728110599078341,-0.07493129078823002
12566,120,0.2003085529018839,0.275,-0.07469144709811612
12505,156,0.2011453694760652,0.27564102564102566,-0.07449565616496046
12326,187,0.380598049489847,0.45454545454545453,-0.07394740505560754
4060,130,0.1578302923549936,0.23076923076923078,-0.07293893841423718
806,54,0.11419327824276114,0.18518518518518517,-0.07099190694242404
11788,104,0.02617251188628355,0.09615384615384616,-0.06998133426756262
1119,26,0.04611593220117027,0.11538461538461539,-0.06926868318344512
1456,114,0.10662461011000894,0.17543859649122806,-0.06881398638121912
12357,163,0.14657204588107772,0.2147239263803681,-0.06815188049929038
12557,127,0.042361590146647574,0.11023622047244094,-0.06787463032579337
12594,140,0.1261399539227165,0.19285714285714287,-0.06671718893442635
11763,173,0.17608368952730694,0.24277456647398843,-0.0666908769466815
4073,38,0.040793132943720216,0.10526315789473684,-0.06447002495101661
12773,66,0.11783403635181729,0.18181818181818182,-0.06398414546636454
11845,181,0.22940368439422218,0.292817679558011,-0.06341399516378884
12412,162,0.128114306044877,0.19135802469135801,-0.06324371864648101
12552,87,0.07481019877467446,0.13793103448275862,-0.06312083570808416
12115,39,0.09074087303534342,0.15384615384615385,-0.06310528081081043
12340,199,0.053229468707032476,0.11557788944723618,-0.062348420740203706
12700,106,0.07942461595145052,0.14150943396226415,-0.06208481801081363
12892,62,0.19792919293402667,0.25806451612903225,-0.060135323195005586
11866,128,0.018863068597428728,0.078125,-0.05926193140257127
12704,107,0.08144055263572388,0.14018691588785046,-0.05874636325212658
12655,88,0.04410141204007047,0.10227272727272728,-0.05817131523265681
11643,102,0.06011923816885588,0.11764705882352941,-0.05752782065467353
12849,60,0.04261174394685811,0.1,-0.05738825605314189
12871,49,0.06509990161956357,0.12244897959183673,-0.05734907797227316
12122,162,0.06657071435119788,0.12345679012345678,-0.056886075772258904
12352,117,0.012006700589479904,0.06837606837606838,-0.05636936778658848
12838,42,0.03894221838725393,0.09523809523809523,-0.0562958768508413
12454,166,0.07044342572333848,0.12650602409638553,-0.05606259837304706
12535,133,0.2981121170271651,0.3533834586466165,-0.05527134161945141
11794,170,0.8389216612265004,0.8941176470588236,-0.05519598583232321
12945,70,0.38938128462430344,0.44285714285714284,-0.0534758582328394
12368,179,0.4345900255257671,0.4860335195530726,-0.051443494027305525
13016,28,0.056538173709227646,0.10714285714285714,-0.05060468343362949
12616,28,0.021027842774938042,0.07142857142857142,-0.05040072865363338
12282,167,0.09450513318231256,0.1437125748502994,-0.04920744166798684
12277,187,0.08488024193376259,0.13368983957219252,-0.04880959763842993
12041,106,0.187220586848127,0.2358490566037736,-0.04862846975564658
12504,145,0.4620435220025962,0.5103448275862069,-0.04830130558361073
12199,156,0.22110698121882594,0.2692307692307692,-0.04812378801194328
11966,199,0.6714398890759288,0.7185929648241206,-0.04715307574819183
12302,95,0.05856679756451458,0.10526315789473684,-0.04669636033022226
12384,28,0.024977221121967635,0.07142857142857142,-0.046451350306603786
1141,53,0.06686040923161497,0.11320754716981132,-0.04634713793819635
12413,146,0.2416588227977698,0.2876712328767123,-0.04601241007894252
12692,100,0.47473342706415655,0.52,-0.04526657293584346
11639,102,0.19112737324437595,0.23529411764705882,-0.04416674440268287
12255,183,0.469554119661162,0.5136612021857924,-0.04410708252463036
12433,147,0.05124059109026233,0.09523809523809523,-0.043997504147832905
11729,106,0.2391483834952519,0.2830188679245283,-0.04387048442927641
12560,87,0.025125514278935068,0.06896551724137931,-0.04384000296244424
12851,67,0.031097897797835058,0.07462686567164178,-0.04352896787380672
12639,126,0.07558435342034815,0.11904761904761904,-0.04346326562727089
12029,111,0.11029197664728503,0.15315315315315314,-0.04286117650586811
11903,31,0.08649675717680891,0.12903225806451613,-0.04253550088770722
1460,20,0.8076535237583136,0.85,-0.042346476241686415
12769,38,0.010817703664305414,0.05263157894736842,-0.041813875283063004
12476,40,0.03412518616555926,0.075,-0.040874813834440735
11583,208,0.3973087935324331,0.4375,-0.04019120646756691
12637,51,0.01865972220151696,0.058823529411764705,-0.040163807210247746
12096,56,0.1563472740593643,0.19642857142857142,-0.040081297369207125
12685,35,0.07498873225830151,0.11428571428571428,-0.039296982027412775
1126,121,0.08519330177346111,0.12396694214876033,-0.03877364037529922
13112,20,0.011504394583589666,0.05,-0.03849560541641034
12068,64,0.07137525937568966,0.109375,-0.037999740624310344
4176,53,0.17018167528669959,0.20754716981132076,-0.03736549452462118
11927,99,0.15479752938234345,0.1919191919191919,-0.037121662536848454
12786,108,0.7411777141780613,0.7777777777777778,-0.03660006359971646
12075,62,0.012311373327687235,0.04838709677419355,-0.03607572344650631
12925,77,0.09401329383631571,0.12987012987012986,-0.03585683603381415
12831,46,0.029738040132293676,0.06521739130434782,-0.03547935117205415
3939,27,0.18700802039321274,0.2222222222222222,-0.03521420182900947
13031,34,0.05305493821384528,0.08823529411764706,-0.03518035590380179
11765,74,0.04663264530641884,0.08108108108108109,-0.034448435774662244
11953,207,0.5695819776695145,0.6038647342995169,-0.034282756630002464
12324,66,0.026762064912247138,0.06060606060606061,-0.03384399569381347
11839,60,0.08284412993906635,0.11666666666666667,-0.033822536727600314
12091,182,0.04349109782530815,0.07692307692307693,-0.03343197909776878
12289,144,0.17517483120981464,0.20833333333333334,-0.0331585021235187
11792,139,0.4561186890169461,0.4892086330935252,-0.033089944076579114
11591,33,0.028420581731431756,0.06060606060606061,-0.03218547887462885
12653,81,0.029601071274276258,0.06172839506172839,-0.03212732378745213
12145,29,0.002513312033390993,0.034482758620689655,-0.03196944658729866
12009,170,0.1268796106317952,0.1588235294117647,-0.031943918779969493
4162,159,0.06873542568672146,0.10062893081761007,-0.03189350513088861
12141,144,0.23913881562163342,0.2708333333333333,-0.0316945177116999
4080,48,0.15698230422801193,0.1875,-0.030517695771988068
11654,48,0.0320879879419011,0.0625,-0.030412012058098903
3983,39,0.04678789749257251,0.07692307692307693,-0.030135179430504415
11880,92,0.08979067350974992,0.11956521739130435,-0.029774543881554427
12300,177,0.07250479889805014,0.1016949152542373,-0.02919011635618715
11905,206,0.12161585351333772,0.15048543689320387,-0.028869583379866157
12686,96,0.07542877775779736,0.10416666666666667,-0.028737888908869316
12372,164,0.05677446570444391,0.08536585365853659,-0.028591387954092683
12060,205,0.10318139547647909,0.13170731707317074,-0.02852592159669165
11708,91,0.18075619671055496,0.2087912087912088,-0.028035012080653843
12354,150,0.15202350148665938,0.18,-0.02797649851334061
12236,137,0.04513323337600549,0.072992700729927,-0.02785946735392151
11677,181,0.34238005569759683,0.3701657458563536,-0.02778569015875676
4047,60,0.07283175156945042,0.1,-0.027168248430549588
12752,59,0.05766614728083328,0.0847457627118644,-0.027079615431031122
12428,106,0.03920734531064252,0.0660377358490566,-0.02683039053841408
12490,126,0.028847257953581132,0.05555555555555555,-0.02670829760197442
12910,47,0.01591727188738566,0.0425531914893617,-0.02663591960197604
3969,21,0.021662129374531304,0.047619047619047616,-0.025956918244516312
12771,103,0.158613309910266,0.18446601941747573,-0.02585270950720972
12434,139,0.21917794068406524,0.2446043165467626,-0.02542637586269736
11938,117,0.060302790174731204,0.08547008547008547,-0.025167295295354268
12798,90,0.26378018482459387,0.28888888888888886,-0.025108704064294995
12175,134,0.09446465237331338,0.11940298507462686,-0.024938332701313487
1135,57,0.7650921057883022,0.7894736842105263,-0.024381578422224104
12542,156,0.14881622513243095,0.17307692307692307,-0.02426069794449212
11724,167,0.21550520669379244,0.23952095808383234,-0.02401575139003989
12563,118,0.11199271650744884,0.13559322033898305,-0.02360050383153421
12790,28,0.012270004120028136,0.03571428571428571,-0.023444281594257578
12099,73,0.04529995787257155,0.0684931506849315,-0.02319319281235995
13103,24,0.0603427904302549,0.08333333333333333,-0.022990542903078427
12598,144,0.08844095950595193,0.1111111111111111,-0.022670151605159172
13078,32,0.04003153035907494,0.0625,-0.02246846964092506
11834,140,0.7705837934145443,0.7928571428571428,-0.02227334944259851
12998,49,0.14101311869042424,0.16326530612244897,-0.022252187432024728
12942,25,0.017959381529847253,0.04,-0.022040618470152748
544,36,0.06164758068539137,0.08333333333333333,-0.02168575264794196
12844,44,0.06934662205229214,0.09090909090909091,-0.021562468856798772
12332,152,0.2942781645143475,0.3157894736842105,-0.02151130916986299
13064,28,0.050244280540245705,0.07142857142857142,-0.02118429088832572
12609,125,0.08344889129299853,0.104,-0.02055110870700147
12273,160,0.0737176550712374,0.09375,-0.020032344928762602
12521,113,0.02443078533365843,0.04424778761061947,-0.019817002276961038
12772,63,0.01200693069292837,0.031746031746031744,-0.019739101053103374
12834,68,0.03941104708826709,0.058823529411764705,-0.019412482323497612
11704,67,0.10010658113088612,0.11940298507462686,-0.019296403943740742
11767,34,0.09853124704998914,0.11764705882352941,-0.01911581177354027
12325,187,0.23765740829521514,0.25668449197860965,-0.019027083683394508
12322,140,0.21672983911288185,0.2357142857142857,-0.01898444660140386
11871,75,0.02138767479935754,0.04,-0.01861232520064246
12661,127,0.09952234638144629,0.11811023622047244,-0.01858788983902615
11940,179,0.07089021440530575,0.0893854748603352,-0.018495260455029444
13044,23,0.025266746195590505,0.043478260869565216,-0.01821151467397471
12065,128,0.1147233469479357,0.1328125,-0.018089153052064294
12957,62,0.014409443626193914,0.03225806451612903,-0.017848620889935118
12143,198,0.2854340406616049,0.30303030303030304,-0.017596262368698157
11637,85,0.04151914899276302,0.058823529411764705,-0.01730438041900168
12619,124,0.26552399275672395,0.28225806451612906,-0.01673407175940511
13054,44,0.12058969279140226,0.13636363636363635,-0.015773943572234092
12651,33,0.04486527244649425,0.06060606060606061,-0.01574078815956636
11782,63,0.06436918162776299,0.07936507936507936,-0.014995897737316369
4165,22,0.12153834975645667,0.13636363636363635,-0.014825286607179688
12321,153,0.25984591124064005,0.27450980392156865,-0.014663892680928603
12533,101,0.13391876571236844,0.1485148514851485,-0.01459608577278007
12806,102,0.03464542900307972,0.049019607843137254,-0.014374178840057532
12625,117,0.020231733347028883,0.03418803418803419,-0.013956300841005308
12610,129,0.1333312277161906,0.14728682170542637,-0.013955593989235765
11580,45,0.03053885743986135,0.044444444444444446,-0.013905587004583095
12701,97,0.03768443083951479,0.05154639175257732,-0.013861960913062528
12249,142,0.20463741308924613,0.21830985915492956,-0.013672446065683436
12247,96,0.13262310701005392,0.14583333333333334,-0.013210226323279423
12587,98,0.048306216637042404,0.061224489795918366,-0.012918273158875962
12673,38,0.013696066923684276,0.02631578947368421,-0.012619722549999933
11987,56,0.04104915651209988,0.05357142857142857,-0.012522272059328689
