season,player_id,predicted_total,actual_total,test_season,error,actual_rank,predicted_rank
2018,1105,13.458160633610177,11,2018,2.458160633610177,26,16.0
2018,1126,1.9893393303263252,0,2018,1.9893393303263252,204,134.0
2018,1134,1.2617435126009886,0,2018,1.2617435126009886,204,177.0
2018,11535,7.753774311845823,7,2018,0.7537743118458229,53,44.0
2018,11538,11.869533271523386,12,2018,-0.13046672847661434,23,26.0
2018,11540,0.05286910471160971,0,2018,0.05286910471160971,204,414.0
2018,11546,0.3031970068298385,0,2018,0.3031970068298385,204,301.0
2018,11548,9.090726768766675,9,2018,0.09072676876667529,39,34.0
2018,11549,0.06595807546610717,0,2018,0.06595807546610717,204,404.0
2018,11555,0.6544174976005623,0,2018,0.6544174976005623,204,233.0
2018,11557,4.835767137927164,7,2018,-2.1642328620728364,53,74.0
2018,11566,0.9931031677332671,0,2018,0.9931031677332671,204,194.0
2018,11570,1.370274179312192,1,2018,0.370274179312192,165,168.0
2018,11575,0.2392338603483644,0,2018,0.2392338603483644,204,318.0
2018,11576,7.529184612819276,9,2018,-1.470815387180724,39,48.0
2018,11578,8.674790801926557,8,2018,0.6747908019265569,44,36.0
2018,11579,6.4981986378200975,2,2018,4.4981986378200975,135,57.0
2018,11583,2.4274050756750576,2,2018,0.4274050756750576,135,118.0
2018,11589,0.03161395149303773,0,2018,0.03161395149303773,204,448.0
2018,11593,0.001849856581707749,0,2018,0.001849856581707749,204,534.0
2018,11594,1.914426024952048,2,2018,-0.08557397504795206,135,140.0
2018,11605,0.023821976553195748,0,2018,0.023821976553195748,204,461.0
2018,11627,0.014746295842512481,0,2018,0.014746295842512481,204,487.0
2018,11630,0.36742511528824146,0,2018,0.36742511528824146,204,284.0
2018,11632,0.004695514345016101,0,2018,0.004695514345016101,204,519.0
2018,11634,0.22647599396655313,0,2018,0.22647599396655313,204,320.0
2018,11636,2.3273247870378255,3,2018,-0.6726752129621745,101,123.0
2018,11637,0.24820388542893945,0,2018,0.24820388542893945,204,316.0
2018,11638,1.8995935181481596,1,2018,0.8995935181481596,165,141.0
2018,11639,2.967254451320041,1,2018,1.967254451320041,165,104.0
2018,11642,0.3634843802114148,0,2018,0.3634843802114148,204,286.0
2018,11643,0.07882074734884496,0,2018,0.07882074734884496,204,389.0
2018,11644,0.2879624538414693,0,2018,0.2879624538414693,204,304.0
2018,11645,1.8244976135317077,1,2018,0.8244976135317077,165,145.0
2018,11653,0.3573073138522452,0,2018,0.3573073138522452,204,289.0
2018,11663,4.9410270596832,3,2018,1.9410270596831998,101,70.0
2018,11666,7.940209315822203,10,2018,-2.0597906841777966,32,42.0
2018,11672,16.704390562404154,6,2018,10.704390562404154,62,10.0
2018,11675,1.7045925967409918,0,2018,1.7045925967409918,204,151.0
2018,11677,12.380772679907295,13,2018,-0.6192273200927048,20,21.0
2018,11678,0.12575437670047657,0,2018,0.12575437670047657,204,353.0
2018,11682,3.637649521423886,8,2018,-4.362350478576114,44,88.0
2018,11684,7.386632895682654,5,2018,2.386632895682654,79,49.0
2018,11686,5.106996436334518,6,2018,-0.8930035636654816,62,68.0
2018,11700,21.170984881382132,17,2018,4.170984881382132,9,5.0
2018,11702,0.8275590999241541,0,2018,0.8275590999241541,204,213.0
2018,11704,0.0029138431398311486,0,2018,0.0029138431398311486,204,526.0
2018,11705,0.072809170558616,0,2018,0.072809170558616,204,395.0
2018,11708,2.5204086666196184,3,2018,-0.4795913333803816,101,115.0
2018,11710,2.3666419215894687,1,2018,1.3666419215894687,165,122.0
2018,11711,0.7565860723724616,1,2018,-0.24341392762753844,165,222.0
2018,11713,1.537528747207636,5,2018,-3.462471252792364,79,156.0
2018,11715,1.1277088699541402,6,2018,-4.87229113004586,62,187.0
2018,11716,0.22379705967328745,0,2018,0.22379705967328745,204,321.0
2018,11718,0.5623498868074603,2,2018,-1.4376501131925397,135,244.0
2018,11719,0.014615194202864537,0,2018,0.014615194202864537,204,488.0
2018,11720,0.04788538392528805,0,2018,0.04788538392528805,204,422.0
2018,11721,0.03375884567618973,0,2018,0.03375884567618973,204,445.0
2018,11723,0.14281941851245344,0,2018,0.14281941851245344,204,344.0
2018,11724,4.401624043656867,6,2018,-1.5983759563431326,62,79.0
2018,11725,0.6306412429809907,0,2018,0.6306412429809907,204,237.0
2018,11728,18.083218679727686,18,2018,0.08321867972768615,7,8.0
2018,11729,5.652685314207377,6,2018,-0.3473146857926226,62,62.0
2018,11733,1.5552312891434388,0,2018,1.5552312891434388,204,155.0
2018,11740,0.26405908469522865,0,2018,0.26405908469522865,204,312.0
2018,11745,0.08252043655034591,0,2018,0.08252043655034591,204,382.0
2018,11746,2.235938323994036,0,2018,2.235938323994036,204,127.0
2018,11751,14.18529829599423,24,2018,-9.81470170400577,2,14.0
2018,11755,0.18149848398879492,0,2018,0.18149848398879492,204,333.0
2018,11760,6.104892168689163,8,2018,-1.8951078313108374,44,61.0
2018,11763,2.997590544146069,8,2018,-5.002409455853931,44,102.0
2018,11765,0.12191117773264046,0,2018,0.12191117773264046,204,356.0
2018,11768,1.2177995105581538,0,2018,1.2177995105581538,204,180.0
2018,11770,0.15866026213454842,0,2018,0.15866026213454842,204,339.0
2018,11774,2.276308921060066,3,2018,-0.7236910789399338,101,126.0
2018,11780,12.107693233645074,10,2018,2.107693233645074,32,22.0
2018,11783,0.4253881089176526,0,2018,0.4253881089176526,204,274.0
2018,11787,4.020381142183357,2,2018,2.020381142183357,135,85.0
2018,11788,0.04673339994465595,0,2018,0.04673339994465595,204,425.0
2018,11791,7.649139105043522,15,2018,-7.350860894956478,14,47.0
2018,11792,2.421075025186132,6,2018,-3.578924974813868,62,120.0
2018,11793,0.2792085151199736,0,2018,0.2792085151199736,204,308.0
2018,11794,20.692756242746295,19,2018,1.6927562427462952,5,6.0
2018,11798,6.728188597757291,4,2018,2.728188597757291,86,54.0
2018,11803,0.011933199392424567,0,2018,0.011933199392424567,204,497.0
2018,11804,0.4909426847737753,0,2018,0.4909426847737753,204,257.0
2018,11805,8.521194071602862,6,2018,2.521194071602862,62,38.0
2018,11809,0.03796938413769096,0,2018,0.03796938413769096,204,439.0
2018,11811,0.0009411250232223227,0,2018,0.0009411250232223227,204,540.0
2018,11812,0.7735737065960904,0,2018,0.7735737065960904,204,220.0
2018,11818,1.0905459828303987,2,2018,-0.9094540171696013,135,191.0
2018,11820,3.354635041075263,4,2018,-0.6453649589247372,86,90.0
2018,11821,0.02280092042408482,0,2018,0.02280092042408482,204,462.0
2018,11822,0.1839520934972635,0,2018,0.1839520934972635,204,332.0
2018,11824,0.28706589475966154,0,2018,0.28706589475966154,204,305.0
2018,11825,0.710539630006983,0,2018,0.710539630006983,204,226.0
2018,11828,0.694769544393518,1,2018,-0.305230455606482,165,228.0
2018,11829,0.13435412020600843,0,2018,0.13435412020600843,204,348.0
2018,11832,0.8855297184694624,0,2018,0.8855297184694624,204,206.0
2018,11833,0.05810974229624892,0,2018,0.05810974229624892,204,409.0
2018,11834,18.549655254820568,16,2018,2.5496552548205678,11,7.0
2018,11835,13.350445186413614,11,2018,2.350445186413614,26,18.0
2018,11836,0.1047412917567373,0,2018,0.1047412917567373,204,365.0
2018,11839,0.0031237710639189682,0,2018,0.0031237710639189682,204,524.0
2018,11842,0.03582082315246449,0,2018,0.03582082315246449,204,443.0
2018,11843,0.6439789626189557,0,2018,0.6439789626189557,204,234.0
2018,11845,6.153085319966547,10,2018,-3.8469146800334526,32,59.0
2018,11847,1.2334775362424317,0,2018,1.2334775362424317,204,179.0
2018,11852,0.0025325360999361246,0,2018,0.0025325360999361246,204,529.0
2018,11855,0.003084164456556527,0,2018,0.003084164456556527,204,525.0
2018,11859,0.8275036758529735,2,2018,-1.1724963241470265,135,214.0
2018,11862,0.5187298938812351,0,2018,0.5187298938812351,204,252.0
2018,11865,1.3062115057689996,0,2018,1.3062115057689996,204,173.0
2018,11866,0.09763838391948523,0,2018,0.09763838391948523,204,369.0
2018,11871,0.46075961952628164,1,2018,-0.5392403804737184,165,264.0
2018,11872,0.011468809264579601,0,2018,0.011468809264579601,204,499.0
2018,11873,1.4109045092150774,3,2018,-1.5890954907849226,101,164.0
2018,11879,0.4310851867068638,0,2018,0.4310851867068638,204,270.0
2018,11883,2.9475187651124206,4,2018,-1.0524812348875794,86,105.0
2018,11884,0.074415871425291,0,2018,0.074415871425291,204,393.0
2018,11885,0.19385106446610065,0,2018,0.19385106446610065,204,328.0
2018,11887,0.011233151427668535,0,2018,0.011233151427668535,204,501.0
2018,11888,1.4088601950593742,1,2018,0.4088601950593742,165,165.0
2018,11891,0.13334038811784515,1,2018,-0.8666596118821548,165,349.0
2018,11894,0.13825673291309976,0,2018,0.13825673291309976,204,346.0
2018,11895,0.006617427419674494,0,2018,0.006617427419674494,204,512.0
2018,11896,11.814998761971989,10,2018,1.8149987619719887,32,27.0
2018,11902,0.5718782296638584,0,2018,0.5718782296638584,204,243.0
2018,11903,0.005056679925213114,0,2018,0.005056679925213114,204,516.0
2018,11904,17.6242409162057,16,2018,1.6242409162057,11,9.0
2018,11905,8.777577822981959,11,2018,-2.222422177018041,26,35.0
2018,11909,0.010980618632679802,0,2018,0.010980618632679802,204,502.0
2018,11914,4.099972123215849,3,2018,1.0999721232158493,101,81.0
2018,11915,0.1562022815269593,0,2018,0.1562022815269593,204,340.0
2018,11917,3.2143857864735708,3,2018,0.21438578647357076,101,92.0
2018,11919,1.9620299104183354,2,2018,-0.03797008958166459,135,136.0
2018,11920,0.47679445805130977,0,2018,0.47679445805130977,204,261.0
2018,11922,0.07096879108540974,0,2018,0.07096879108540974,204,398.0
2018,11925,0.0003775141130677129,0,2018,0.0003775141130677129,204,546.0
2018,11927,6.142032355750078,7,2018,-0.8579676442499222,53,60.0
2018,11929,0.04989051462092462,0,2018,0.04989051462092462,204,416.0
2018,11931,0.0004924840588394683,0,2018,0.0004924840588394683,204,543.0
