match_id,season,round,player_id,player_name,team_id,predicted_votes,p3,p2,p1,expected_votes
2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,2026,0,12605,Ed Richards,western_bulldogs,3,0.681904602332593,0.23257404841758567,0.06584341118581492,2.576705315018765
2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,2026,0,12055,Lachie Neale,brisbane_lions,2,0.13352685471746703,0.2993978024420752,0.2368334243544492,1.2362095933910007
2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,2026,0,12269,Marcus Bontempelli,western_bulldogs,1,0.04096517706157907,0.10527691452578546,0.14826620797579468,0.4817155682121028
2026_R0_gold_coast_v_geelong_2026-03-06,2026,0,12430,Christian Petracca,gold_coast,3,0.8879813044341207,0.1015891502574423,0.00964596963311119,2.876768183450358
2026_R0_gold_coast_v_geelong_2026-03-06,2026,0,12767,Noah Anderson,gold_coast,2,0.03033208746492095,0.24372695258222332,0.23454566946181998,0.8129958370210295
2026_R0_gold_coast_v_geelong_2026-03-06,2026,0,12331,Touk Miller,gold_coast,1,0.025157534509224658,0.20192788769626013,0.21247923072048702,0.6918076096406813
2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,2026,0,12167,Jake Stringer,greater_western_sydney,3,0.7500890061375047,0.19904264784957826,0.04225424147732996,2.690606555589001
2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,2026,0,12410,Clayton Oliver,greater_western_sydney,2,0.10580341056908807,0.33297624749259497,0.25444317031424835,1.2378058970067025
2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,2026,0,12969,Finn Callaghan,greater_western_sydney,1,0.03795149482181738,0.12199147525509402,0.17342499210243606,0.5312624270780762
2026_R0_st_kilda_v_collingwood_2026-03-08,2026,0,12943,Nick Daicos,collingwood,3,0.7081964472010256,0.2214630240247471,0.05563180708333015,2.623147196735901
2026_R0_st_kilda_v_collingwood_2026-03-08,2026,0,12573,Josh Daicos,collingwood,2,0.13257090571909724,0.33927857621625146,0.24378160274920335,1.320051472338998
2026_R0_st_kilda_v_collingwood_2026-03-08,2026,0,12660,Darcy Cameron,collingwood,1,0.03322654657468746,0.0921718565243998,0.1395042377390951,0.42352759051195704
2026_R0_sydney_v_carlton_2026-03-05,2026,0,12711,Justin McInerney,sydney,3,0.8460095003821921,0.1343167494732268,0.017625892223651702,2.8242878923166814
2026_R0_sydney_v_carlton_2026-03-05,2026,0,12862,Errol Gulden,sydney,2,0.04989515551549066,0.2794327166907181,0.2503465661933967,0.9588974661213049
2026_R0_sydney_v_carlton_2026-03-05,2026,0,12326,Isaac Heeney,sydney,1,0.029587166809302998,0.16574367903251805,0.19310571551330186,0.6133545740062469
2026_R10_adelaide_v_north_melbourne_2026-05-16,2026,10,12798,Izak Rankine,adelaide,3,0.6058698731201873,0.26649524906626665,0.09378014790867924,2.4443802654017746
2026_R10_adelaide_v_north_melbourne_2026-05-16,2026,10,12516,Jordan Dawson,adelaide,2,0.1726734202682273,0.30467137455005966,0.2459821009046186,1.37334511080942
2026_R10_adelaide_v_north_melbourne_2026-05-16,2026,10,12934,James Peatling,adelaide,1,0.08251418562879273,0.15606810289180645,0.21899725514186608,0.7786760178118571
2026_R10_brisbane_lions_v_geelong_2026-05-14,2026,10,13104,Shaun Mannagh,geelong,3,0.8108125411119326,0.18645432487652383,0.0027075650787567905,2.808053838167602
2026_R10_brisbane_lions_v_geelong_2026-05-14,2026,10,12692,Bailey Smith,geelong,2,0.1826388279355402,0.7831066785270476,0.03316859408556498,2.147298434946281
2026_R10_brisbane_lions_v_geelong_2026-05-14,2026,10,12505,Tom Stewart,geelong,1,0.0019935418077044733,0.009140465626161404,0.2941621086337525,0.3184236653091887
2026_R10_carlton_v_western_bulldogs_2026-05-16,2026,10,12261,Patrick Cripps,carlton,3,0.8350432629162752,0.14214404894985005,0.020181174969806103,2.8095990616183317
2026_R10_carlton_v_western_bulldogs_2026-05-16,2026,10,12497,Oliver Florent,carlton,2,0.055970121687457616,0.28790070223622133,0.24638029218089297,0.9900920617157084
2026_R10_carlton_v_western_bulldogs_2026-05-16,2026,10,12354,Bailey Dale,western_bulldogs,1,0.03405426161043795,0.1764343970010494,0.20213177052382247,0.6571633493572351
2026_R10_essendon_v_fremantle_2026-05-17,2026,10,13129,Patrick Voss,fremantle,3,0.40945068958270037,0.2952552326627297,0.170223037989022,1.9890855720625824
2026_R10_essendon_v_fremantle_2026-05-17,2026,10,13180,Murphy Reid,fremantle,2,0.2829371556047719,0.28658310817810273,0.20904275100444847,1.6310204341749697
2026_R10_essendon_v_fremantle_2026-05-17,2026,10,12535,Shai Bolton,fremantle,1,0.10098795183108795,0.1316910582309073,0.18386654239793654,0.7502125143530151
2026_R10_gold_coast_v_port_adelaide_2026-05-15,2026,10,12767,Noah Anderson,gold_coast,3,0.321108008645262,0.2529779825603403,0.18677331221769158,1.6560533032741582
2026_R10_gold_coast_v_port_adelaide_2026-05-15,2026,10,12743,John Noble,gold_coast,2,0.18768039293534466,0.19372207257260152,0.1887155226970313,1.1392008466482682
2026_R10_gold_coast_v_port_adelaide_2026-05-15,2026,10,13041,Bodhi Uwland,gold_coast,1,0.1500703896115302,0.16204892095709017,0.17192734335522103,0.946236354103992
2026_R10_melbourne_v_hawthorn_2026-05-16,2026,10,12693,Tom Sparrow,melbourne,3,0.2654521494378601,0.2103238193108331,0.16177673712874877,1.3787808240639954
2026_R10_melbourne_v_hawthorn_2026-05-16,2026,10,12368,Jack Steele,melbourne,2,0.14413309067425156,0.1421997496892804,0.1346762130243342,0.8514749844256497
2026_R10_melbourne_v_hawthorn_2026-05-16,2026,10,11966,Max Gawn,melbourne,1,0.12334008961210845,0.1252509838765128,0.12287562830124692,0.7433978648905978
2026_R10_st_kilda_v_richmond_2026-05-17,2026,10,13125,Hugo Garcia,st_kilda,3,0.37032477544315645,0.2787531858793545,0.17918664239600118,1.8476673404841795
2026_R10_st_kilda_v_richmond_2026-05-17,2026,10,13193,Max Hall,st_kilda,2,0.2697257334293402,0.2625562610765434,0.2039432923024,1.5382330147435075
2026_R10_st_kilda_v_richmond_2026-05-17,2026,10,12166,Jack Macrae,st_kilda,1,0.10034586169303356,0.12349477719238525,0.15768089724564163,0.7057080367095128
2026_R10_sydney_v_collingwood_2026-05-15,2026,10,12217,Brodie Grundy,sydney,3,0.650331757931417,0.27695707758398735,0.06454505587146786,2.569454484833693
2026_R10_sydney_v_collingwood_2026-05-15,2026,10,12699,Nick Blakey,sydney,2,0.23835401109846582,0.4770592736825926,0.22748506440474126,1.8966656450653239
2026_R10_sydney_v_collingwood_2026-05-15,2026,10,12326,Isaac Heeney,sydney,1,0.07377947859822594,0.16024598180339233,0.4490543930062034,0.9908847924076659
2026_R10_west_coast_v_greater_western_sydney_2026-05-17,2026,10,13111,Harley Reid,west_coast,3,0.9536100699573802,0.04501140790852784,0.0013558028107960604,2.9522088284999923
2026_R10_west_coast_v_greater_western_sydney_2026-05-17,2026,10,12410,Clayton Oliver,greater_western_sydney,2,0.0217272711131928,0.4431563234652569,0.3545684479302704,1.3060629082003627
2026_R10_west_coast_v_greater_western_sydney_2026-05-17,2026,10,12836,Bailey Williams,west_coast,1,0.017308069135635915,0.3604411719767495,0.38131863691517603,1.1541251882755827
2026_R11_collingwood_v_west_coast_2026-05-23,2026,11,12943,Nick Daicos,collingwood,3,0.946502817489002,0.05142391352028884,0.002012320658879866,2.9443686001664635
2026_R11_collingwood_v_west_coast_2026-05-23,2026,11,12660,Darcy Cameron,collingwood,2,0.02715794985358921,0.4819780077574287,0.27737374322792463,1.3228036083035497
2026_R11_collingwood_v_west_coast_2026-05-23,2026,11,12836,Bailey Williams,west_coast,1,0.010053562479070065,0.17286347786606704,0.24659740250806267,0.6224850456774069
2026_R11_fremantle_v_st_kilda_2026-05-22,2026,11,13180,Murphy Reid,fremantle,3,0.2880132429358016,0.23477530951854475,0.1776887031139287,1.511279050958423
2026_R11_fremantle_v_st_kilda_2026-05-22,2026,11,12535,Shai Bolton,fremantle,2,0.23611554156200398,0.21439587822599956,0.17835439197325323,1.3154927731112644
2026_R11_fremantle_v_st_kilda_2026-05-22,2026,11,12779,Luke Jackson,fremantle,1,0.10848076448852126,0.11947485404335634,0.1302950872060245,0.694687088758301
2026_R11_geelong_v_sydney_2026-05-23,2026,11,12881,Max Holmes,geelong,3,0.46224327646605357,0.3090398369706066,0.1611852330580053,2.1659947363973795
2026_R11_geelong_v_sydney_2026-05-23,2026,11,12692,Bailey Smith,geelong,2,0.25002451161881795,0.2941017210771208,0.2620803581327714,1.600357335143467
2026_R11_geelong_v_sydney_2026-05-23,2026,11,13160,Lawson Humphries,geelong,1,0.18132756204559383,0.23562958986579363,0.2937604556163276,1.3090023214846962
2026_R11_greater_western_sydney_v_brisbane_lions_2026-05-24,2026,11,12410,Clayton Oliver,greater_western_sydney,3,0.40932703440538276,0.3208451680027406,0.17435180336902398,2.0440232425906535
2026_R11_greater_western_sydney_v_brisbane_lions_2026-05-24,2026,11,12025,Toby Greene,greater_western_sydney,2,0.3415128023125552,0.32276105590661175,0.20099687117648823,1.8710573899273772
2026_R11_greater_western_sydney_v_brisbane_lions_2026-05-24,2026,11,12969,Finn Callaghan,greater_western_sydney,1,0.0892422146257176,0.12503541154430764,0.21274295885678957,0.7305404258225576
2026_R11_hawthorn_v_adelaide_2026-05-21,2026,11,12516,Jordan Dawson,adelaide,3,0.3445453421604173,0.2844870440681491,0.18586957341313665,1.7884796880306866
2026_R11_hawthorn_v_adelaide_2026-05-21,2026,11,12469,Blake Hardwick,hawthorn,2,0.3255017062349026,0.2822429876454644,0.19083412379724937,1.731825217792886
2026_R11_hawthorn_v_adelaide_2026-05-21,2026,11,12405,Wayne Milera,adelaide,1,0.10315919037898577,0.12858164451884047,0.17187900740982157,0.7385198675844598
