player_id,player_name,team_id
12844,Joel Amartey,sydney
13195,Riley Bice,sydney
12699,Nick Blakey,sydney
12421,Charlie Curnow,sydney
12217,Brodie Grundy,sydney
12862,Errol Gulden,sydney
12326,Isaac Heeney,sydney
12860,James Jordon,sydney
12268,Jake Lloyd,sydney
12627,Tom McCartin,sydney
12861,Logan McDonald,sydney
12711,Justin McInerney,sydney
12526,Lewis Melican,sydney
12413,Callum Mills,sydney
12412,Tom Papley,sydney
12140,Dane Rampe,sydney
12994,Matt Roberts,sydney
12903,Malcolm Rosas,sydney
12714,James Rowbottom,sydney
13022,Jai Serong,sydney
12951,Angus Sheldrick,sydney
12797,Chad Warner,sydney
12818,Sam Wicks,sydney
12498,Ben Ainsworth,carlton
13039,Campbell Chesser,carlton
12261,Patrick Cripps,carlton
13273,Harry Dean,carlton
12497,Oliver Florent,carlton
12596,Lachie Fogarty,carlton
12509,Will Hayward,carlton
12411,George Hewett,carlton
13016,Elijah Hollands,carlton
13029,Oliver Hollands,carlton
12937,Brodie Kemp,carlton
13170,Cooper Lord,carlton
12404,Mitch McGovern,carlton
12566,Harry McKay,carlton
13171,Ashton Moir,carlton
12417,Marc Pittonet,carlton
13172,Liam Reidy,carlton
12330,Adam Saad,carlton
13274,Jagga Smith,carlton
12684,Sam Walsh,carlton
12402,Jacob Weitering,carlton
12175,Zac Williams,carlton
12559,Lewis Young,carlton
13251,Oscar Adams,gold_coast
12767,Noah Anderson,gold_coast
13019,Mac Andrew,gold_coast
13119,Sam Clohesy,gold_coast
12444,Sam Collins,gold_coast
12942,Alex Davies,gold_coast
12848,Jy Farrar,gold_coast
13120,Will Graham,gold_coast
13049,Bailey Humphrey,gold_coast
12933,Joel Jeffrey,gold_coast
12728,Ben King,gold_coast
13232,Leo Lombard,gold_coast
12521,Ben Long,gold_coast
12331,Touk Miller,gold_coast
12743,John Noble,gold_coast
12430,Christian Petracca,gold_coast
12652,Wil Powell,gold_coast
13121,Ethan Read,gold_coast
12403,Daniel Rioli,gold_coast
13041,Bodhi Uwland,gold_coast
13278,Zeke Uwland,gold_coast
12385,Lachie Weller,gold_coast
12177,Jarrod Witts,gold_coast
12690,Tom Atkins,geelong
12153,Mark Blicavs,geelong
12871,Tanner Bruhn,geelong
13062,Jhye Clark,geelong
12806,Brad Close,geelong
12891,Sam De Koning,geelong
12974,Oliver Dempsey,geelong
12551,Zach Guthrie,geelong
12607,Jack Henry,geelong
12851,Oliver Henry,geelong
12881,Max Holmes,geelong
13160,Lawson Humphries,geelong
12986,Mitch Knevitt,geelong
13104,Shaun Mannagh,geelong
12236,Jack Martin,geelong
12689,Gryan Miers,geelong
13066,Oisin Mullin,geelong
12992,Shannon Neale,geelong
12531,Mark OConnor,geelong
13122,Connor OSullivan,geelong
12692,Bailey Smith,geelong
12505,Tom Stewart,geelong
12619,James Worpel,geelong
13001,Ryan Angwin,greater_western_sydney
12782,Lachie Ash,greater_western_sydney
12904,Kieren Briggs,greater_western_sydney
12910,Callum Brown,greater_western_sydney
12846,Jack Buckley,greater_western_sydney
12969,Finn Callaghan,greater_western_sydney
12028,Stephen Coniglio,greater_western_sydney
13222,Josaia Delana,greater_western_sydney
13164,Joe Fonti,greater_western_sydney
13279,Phoenix Gothard,greater_western_sydney
12025,Toby Greene,greater_western_sydney
13158,Max Gruzewski,greater_western_sydney
12462,Harry Himmelberg,greater_western_sydney
12321,Jesse Hogan,greater_western_sydney
12750,Connor Idun,greater_western_sydney
12377,Jayden Laverde,greater_western_sydney
12821,Xavier OHalloran,greater_western_sydney
12410,Clayton Oliver,greater_western_sydney
12834,Jake Riccardi,greater_western_sydney
13045,Harry Rowston,greater_western_sydney
12167,Jake Stringer,greater_western_sydney
13101,Harvey Thomas,greater_western_sydney
12143,Lachie Whitfield,greater_western_sydney
12357,Karl Amon,hawthorn
12383,Tom Barrass,hawthorn
12558,Josh Battle,hawthorn
12988,Sam Butler,hawthorn
12485,Mabior Chol,hawthorn
12998,Massimo DAmbrosio,hawthorn
12927,Jack Ginnivan,hawthorn
11845,Jack Gunston,hawthorn
12469,Blake Hardwick,hawthorn
12237,Jarman Impey,hawthorn
12636,Mitch Lewis,hawthorn
12954,Connor Macdonald,hawthorn
12843,Finn Maginness,hawthorn
12856,Lloyd Meek,hawthorn
12710,Dylan Moore,hawthorn
12579,Harry Morrison,hawthorn
12670,Conor Nash,hawthorn
12915,Jai Newcombe,hawthorn
12565,Jack Scrimshaw,hawthorn
12332,James Sicily,hawthorn
12955,Josh Ward,hawthorn
13105,Nick Watson,hawthorn
13057,Josh Weddle,hawthorn
12655,Oscar Allen,brisbane_lions
12340,Harris Andrews,brisbane_lions
13197,Levi Ashcroft,brisbane_lions
13040,Will Ashcroft,brisbane_lions
12610,Zac Bailey,brisbane_lions
12519,Jarrod Berry,brisbane_lions
NOID2026_144,Charlie Cameron,brisbane_lions
12838,Keidean Coleman,brisbane_lions
12408,Josh Dunkley,brisbane_lions
13072,Jaspa Fletcher,brisbane_lions
12724,Darcy Fort,brisbane_lions
13235,Ty Gallop,brisbane_lions
12267,Darcy Gardiner,brisbane_lions
11894,Ryan Lester,brisbane_lions
12968,Kai Lohmann,brisbane_lions
12518,Hugh McCluggage,brisbane_lions
13137,Logan Morris,brisbane_lions
12055,Lachie Neale,brisbane_lions
12592,Cam Rayner,brisbane_lions
13138,Bruce Reville,brisbane_lions
13026,Darcy Wilmot,brisbane_lions
13277,Zane Zakostelsky,brisbane_lions
12076,Dayne Zorko,brisbane_lions
12723,Oskar Baker,western_bulldogs
12269,Marcus Bontempelli,western_bulldogs
12916,Lachlan Bramble,western_bulldogs
12769,Connor Budarick,western_bulldogs
13265,Jordan Croft,western_bulldogs
12354,Bailey Dale,western_bulldogs
13021,Sam Darcy,western_bulldogs
13178,Sam Davidson,western_bulldogs
12537,Tim English,western_bulldogs
13140,Joel Freijah,western_bulldogs
13213,Cooper Hynes,western_bulldogs
13275,Lachie Jaques,western_bulldogs
13046,Arthur Jones,western_bulldogs
12455,Matthew Kennedy,western_bulldogs
12900,Buku Khamis,western_bulldogs
11898,Tom Liberatore,western_bulldogs
12282,Rory Lobb,western_bulldogs
12594,Aaron Naughton,western_bulldogs
13061,James ODonnell,western_bulldogs
12605,Ed Richards,western_bulldogs
13276,Michael Sellwood,western_bulldogs
12748,Rhylee West,western_bulldogs
12441,Bailey Williams,western_bulldogs
13220,Hugh Boxshall,st_kilda
13035,Anthony Caminiti,st_kilda
12976,Jack Carroll,st_kilda
12674,Tom De Koning,st_kilda
12824,Sam Flanders,st_kilda
13125,Hugo Garcia,st_kilda
13193,Max Hall,st_kilda
12609,Jack Higgins,st_kilda
12060,Bradley Hill,st_kilda
12166,Jack Macrae,st_kilda
12564,Rowan Marshall,st_kilda
12948,Mitch Owens,st_kilda
13036,Mattaes Phillipou,st_kilda
12600,Liam Ryan,st_kilda
12929,Cooper Sharman,st_kilda
12458,Jack Silvagni,st_kilda
12325,Jack Sinclair,st_kilda
13243,Alix Tauru,st_kilda
12950,Nasiah Wanganeen-Milera,st_kilda
12703,Callum Wilkie,st_kilda
13110,Darcy Wilson,st_kilda
12967,Marcus Windhager,st_kilda
12312,Mason Wood,st_kilda
13146,Edward Allan,collingwood
13071,Jack Buller,collingwood
12660,Darcy Cameron,collingwood
12061,Jack Crisp,collingwood
12573,Josh Daicos,collingwood
12943,Nick Daicos,collingwood
12318,Jordan de Goey,collingwood
12083,Jamie Elliott,collingwood
12676,Billy Frampton,collingwood
12495,Dan Houston,collingwood
12578,Patrick Lipinski,collingwood
13023,Ned Long,collingwood
12371,Brayden Maynard,collingwood
12876,Beau McCreery,collingwood
12291,Daniel McStay,collingwood
12300,Tim Membrey,collingwood
13147,Wil Parker,collingwood
4182,Scott Pendlebury,collingwood
12536,Harry Perryman,collingwood
12740,Isaac Quaynor,collingwood
12700,Lachie Schultz,collingwood
11751,Steele Sidebottom,collingwood
13248,Roan Steele,collingwood
13212,Matt Carroll,carlton
13028,Lachlan Cowan,carlton
13233,Hudson OKeeffe,carlton
13189,Harry Armstrong,richmond
12686,Noah Balta,richmond
13078,Sam Banks,richmond
12456,Nathan Broad,richmond
13100,Seth Campbell,richmond
13214,Jonty Faull,richmond
12947,Josh Gibcus,richmond
13218,Campbell Gray,richmond
13145,Steely Green,richmond
13290,Sam Grlj,richmond
12440,Jacob Hopper,richmond
13190,Sam Lalor,richmond
11948,Tom Lynch,richmond
12883,Rhyan Mansell,richmond
13117,Kane McAuliffe,richmond
12941,Ben Miller,richmond
12374,Toby Nankervis,richmond
12902,Hugo Ralphsmith,richmond
12935,Maurice Rioli,richmond
NOID2026_272,Jack Ross,richmond
12418,Jayden Short,richmond
12504,Tim Taranto,richmond
13095,James Trezise,richmond
13237,Lachlan Blakiston,essendon
13148,Nate Caddy,essendon
12755,Jye Caldwell,essendon
12925,Sam Durham,essendon
12696,Xavier Duursma,essendon
13281,Hussien El Achkar,essendon
12481,Brayden Fiorini,essendon
13231,Zak Johnson,essendon
13282,Max Kondogiannis,essendon
12349,Kyle Langford,essendon
13238,Archie May,essendon
12491,Andrew McGrath,essendon
12580,Ben McKay,essendon
12241,Zach Merrett,essendon
13258,Jayden Nguyen,essendon
12406,Darcy Parish,essendon
12879,Archie Perkins,essendon
12874,Jaxon Prior,essendon
12437,Mason Redman,essendon
12889,Zach Reid,essendon
13168,Archie Roberts,essendon
13283,Dyson Sharp,essendon
12366,Peter Wright,essendon
13031,Cam Mackenzie,hawthorn
12906,Ned Reeves,hawthorn
13284,Will Lewis,western_bulldogs
13103,Ryley Sanders,western_bulldogs
12017,Jeremy Cameron,geelong
11700,Patrick Dangerfield,geelong
13285,Mitchell Edwards,geelong
12983,Jye Amiss,fremantle
12535,Shai Bolton,fremantle
12589,Andrew Brayshaw,fremantle
12875,Heath Chapman,fremantle
12688,Jordan Clark,fremantle
12547,Sean Darcy,fremantle
13204,Isaiah Dudley,fremantle
12966,Neil Erasmus,fremantle
12779,Luke Jackson,fremantle
13047,Matthew Johnson,fremantle
12394,Oscar McDonald,fremantle
13033,Judd McVee,fremantle
12960,Nathan ODriscoll,fremantle
12352,Alex Pearce,fremantle
13180,Murphy Reid,fremantle
12786,Caleb Serong,fremantle
12672,Sam Switkowski,fremantle
12887,Josh Treacy,fremantle
13129,Patrick Voss,fremantle
12453,Corey Wagner,fremantle
12914,Brandon Walker,fremantle
13075,Karl Worner,fremantle
12777,Hayden Young,fremantle
13295,Daniel Annable,brisbane_lions
12718,Noah Answerth,brisbane_lions
NOID2026_443,Charlie Cameron,brisbane_lions
12810,Sam Draper,brisbane_lions
12090,Lincoln McCarthy,brisbane_lions
13005,James Tunstill,brisbane_lions
12414,Callum Ah Chee,adelaide
12849,Sam Berry,adelaide
13165,Hugh Bond,adelaide
12829,Jordon Butts,adelaide
12932,Brayden Cook,adelaide
12629,Isaac Cumming,adelaide
12516,Jordan Dawson,adelaide
12584,Darcy Fogarty,adelaide
12434,Ben Keays,adelaide
12165,Rory Laird,adelaide
13065,Lachlan McAndrew,adelaide
13027,Max Michalanney,adelaide
12405,Wayne Milera,adelaide
12872,Nick Murray,adelaide
13280,Toby Murray,adelaide
12367,Alex Neal-Bullen,adelaide
12934,James Peatling,adelaide
12921,Luke Pedlar,adelaide
