player_id,player_name,season,round,match_id,team_id,most_likely_votes,confidence,expected_votes,p3,p2,p1,p0
12943,Nick Daicos,2026,0,2026_R0_st_kilda_v_collingwood_2026-03-08,collingwood,3,HIGH,2.6275524525108147,0.7091009362129124,0.22215219997597707,0.055945243920123594,0.012801619890986965
12943,Nick Daicos,2026,1,2026_R1_collingwood_v_adelaide_2026-03-14,collingwood,3,HIGH,2.6218589500056404,0.6783291593988117,0.25235780224937465,0.08215586731045613,0.0
12943,Nick Daicos,2026,3,2026_R3_collingwood_v_greater_western_sydney_2026-03-27,collingwood,3,HIGH,2.9273987767586367,0.931608551387543,0.06438078211824538,0.0038115583595168903,0.0001991081346947774
12943,Nick Daicos,2026,5,2026_R5_collingwood_v_fremantle_2026-04-10,collingwood,3,MEDIUM,1.9548856772551897,0.4287629535670875,0.2593633654171047,0.14987008571971783,0.16200359529608999
12943,Nick Daicos,2026,6,2026_R6_carlton_v_collingwood_2026-04-16,collingwood,3,HIGH,2.9446934021695355,0.9473733627241978,0.05006242779987378,0.0024484583971944693,0.00011575107873394328
12943,Nick Daicos,2026,7,2026_R7_essendon_v_collingwood_2026-04-25,collingwood,2,MEDIUM,2.412845289690988,0.4600600255236462,0.4950677470114011,0.04252971909724705,0.002342508367705623
12943,Nick Daicos,2026,8,2026_R8_collingwood_v_hawthorn_2026-04-30,collingwood,3,MEDIUM,2.159531591780787,0.4674722826513048,0.3032553459585538,0.1506040519097647,0.0786683194803767
12943,Nick Daicos,2026,9,2026_R9_geelong_v_collingwood_2026-05-09,collingwood,0,HIGH,0.05232266329680746,0.0014514950561256479,0.01372889152144729,0.020510395085535933,0.9643092183368911
12943,Nick Daicos,2026,10,2026_R10_sydney_v_collingwood_2026-05-15,collingwood,0,HIGH,0.18355720335862993,0.012729405053661585,0.029022614655826007,0.08732375888599317,0.8709242214045192
12943,Nick Daicos,2026,11,2026_R11_collingwood_v_west_coast_2026-05-23,collingwood,3,HIGH,2.9444074619184004,0.9465384325016422,0.05139139467910252,0.002009375055268906,6.079776398641929e-05
12943,Nick Daicos,2026,12,2026_R12_western_bulldogs_v_collingwood_2026-05-30,collingwood,3,MEDIUM,1.6573147534898176,0.3298760768130657,0.24637269708042944,0.17494112888976165,0.2488100972167432
12943,Nick Daicos,2026,13,2026_R13_collingwood_v_melbourne_2026-06-08,collingwood,3,MEDIUM,2.3453806922139706,0.47603123514015744,0.41055829917771436,0.09617038843806949,0.01724007724405871
12943,Nick Daicos,2026,15,2026_R15_collingwood_v_port_adelaide_2026-06-20,collingwood,3,HIGH,2.928355444573288,0.9086093043770733,0.09897875491420327,0.004570021613660766,0.0
12943,Nick Daicos,2026,16,2026_R16_collingwood_v_richmond_2026-06-27,collingwood,3,HIGH,2.9688817481398533,0.9695334167420311,0.02982504718556577,0.0006314035426287691,1.0132529774375021e-05
12943,Nick Daicos,2026,17,2026_R17_gold_coast_v_collingwood_2026-07-04,collingwood,3,HIGH,2.8292789689419084,0.8517529912124207,0.1282279130287891,0.017564169247068374,0.002454926511721866
12943,Nick Daicos,2026,18,2026_R18_collingwood_v_north_melbourne_2026-07-10,collingwood,3,MEDIUM,1.7468105170102197,0.34562693885558693,0.2629369873121541,0.1840557258191507,0.20738034801310828
12943,Nick Daicos,2026,19,2026_R19_collingwood_v_carlton_2026-07-18,collingwood,3,HIGH,2.344604616343898,0.5270549232761638,0.3264913637677205,0.11045711897996574,0.035996593976150015
12943,Nick Daicos,2026,20,2026_R20_adelaide_v_collingwood_2026-07-23,collingwood,3,HIGH,2.902148482101309,0.908754565782889,0.08493523621518731,0.006014312322267337,0.00029588567965630787
12943,Nick Daicos,2026,21,2026_R21_collingwood_v_geelong_2026-07-30,collingwood,0,MEDIUM,1.075046349849291,0.1065362272525145,0.2599662065726688,0.23550525494640992,0.3979923112284067
12943,Nick Daicos,2026,22,2026_R22_west_coast_v_collingwood_2026-08-09,collingwood,3,HIGH,2.8646286442414546,0.8780833745918444,0.10947069799928227,0.011437124467356792,0.0010088029415165553
12943,Nick Daicos,2026,23,2026_R23_hawthorn_v_collingwood_2026-08-15,collingwood,3,HIGH,2.7317863685947987,0.7827838814432538,0.1740436412076216,0.03534744184979382,0.00782503549933073
12943,Nick Daicos,2026,24,2026_R24_collingwood_v_brisbane_lions_2026-08-21,collingwood,0,HIGH,0.007196392328924219,0.00013272442528329087,0.0009750023179453521,0.004848214417183642,0.9940440588395877
12692,Bailey Smith,2026,0,2026_R0_gold_coast_v_geelong_2026-03-06,geelong,0,HIGH,0.0028134488170991393,9.35045614853068e-05,0.0007517427600076323,0.0010294496126279544,0.9981253030658791
12692,Bailey Smith,2026,1,2026_R1_geelong_v_fremantle_2026-03-14,geelong,0,HIGH,0.9712728613646335,0.1580754690950298,0.16448283503597785,0.16808078400758844,0.509360911861404
12692,Bailey Smith,2026,3,2026_R3_geelong_v_adelaide_2026-03-26,geelong,3,HIGH,2.823351793755631,0.8454452976365329,0.13454854880291411,0.017918803240204537,0.002087350320348482
12692,Bailey Smith,2026,4,2026_R4_hawthorn_v_geelong_2026-04-06,geelong,3,HIGH,2.293234470048344,0.5548534657137224,0.257828227102716,0.11301761870174476,0.07430068848181681
12692,Bailey Smith,2026,5,2026_R5_geelong_v_west_coast_2026-04-12,geelong,3,HIGH,2.8129310666475003,0.8348349417504186,0.1449616422167692,0.018502956962706242,0.0017004590701059571
