step,n_features,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
1_raw_only,22,207.0,0.45893719806763283,0.22383252818035426,0.1497584541062802,0.040257648953301126,0.12399355877616747,0.5684380032206119,0.5684380032206119,0.37452512787581793,0.19851412096755258,0.09234785998395778,0.14540252190661962
2_+match_relative,30,207.0,0.4573268921095008,0.21578099838969403,0.15297906602254427,0.043478260869565216,0.12560386473429952,0.5641438539989264,0.5641438539989264,0.3747919343954876,0.19832168125858943,0.09228016654870773,0.14580848425295606
3_+context,35,207.0,0.5136876006441223,0.22544283413848631,0.14170692431562,0.04830917874396135,0.15780998389694043,0.6022544283413849,0.6022544283413849,0.3856358793775421,0.18340218796081764,0.08685582697456651,0.13201944014563774
4_+teammate,40,207.0,0.5120772946859903,0.22544283413848631,0.14170692431561996,0.04186795491143317,0.16747181964573268,0.6103059581320451,0.6103059581320451,0.3859931681082303,0.1827105638163805,0.08652133678038278,0.1312736208356289
5_+role,47,207.0,0.5136876006441224,0.24476650563607086,0.14492753623188406,0.0499194847020934,0.16747181964573268,0.6108427267847558,0.6108427267847558,0.3865253891135541,0.18247454059384635,0.08659248338759312,0.13126584721118775
6_+nonlinear,51,207.0,0.49597423510466987,0.23832528180354265,0.15136876006441224,0.04830917874396135,0.1851851851851852,0.6183574879227053,0.6183574879227053,0.3879285594013475,0.1802162256852995,0.08557305908279515,0.12885951394367554
7_+lagged_form,67,188.0,0.5065676600971987,0.24062428277489592,0.16800215550469796,0.04787540660542663,0.18092077013591432,0.6207524244824218,0.6207524244824218,0.4051121864603146,0.19537251736355798,0.09307612829332412,0.14044274852855138
8_+win_margin_interaction,68,188.0,0.5065676600971987,0.24062428277489592,0.16800215550469796,0.04787540660542663,0.18092077013591432,0.6207524244824218,0.6207524244824218,0.405086368020781,0.19537347465609745,0.09307661715380595,0.14044289452895095
