feature,family,first_reliable_season,last_reliable_season,pct_seasons_reliable,overall_pct_available,spearman_corr_votes,mutual_info_votes,n_obs,proposed_set,redundancy_note,leakage_flag
clearances_match_rank,match_relative,1998,2025,0.667,0.7233,-0.2064,0.0285,193346.0,CORE + ADVANCED,,SAFE
clearances_match_z,match_relative,1998,2025,0.667,0.7233,0.206,0.0289,193346.0,CORE + ADVANCED,contest_index / clearance_index,SAFE
inside_50s_team_share,team_relative,1998,2025,0.667,0.7233,0.2059,0.0238,193346.0,CORE + ADVANCED,,SAFE
inside_50s_opp_best_gap,opponent_relative,1998,2025,0.667,0.7233,0.2058,0.0249,193346.0,CORE + ADVANCED,,SAFE
clearances_match_pct,match_relative,1998,2025,0.667,0.7233,0.2054,0.0287,193346.0,CORE + ADVANCED,,SAFE
inside_50s_team_rank,team_relative,1998,2025,0.667,0.7233,-0.2044,0.0233,193346.0,CORE + ADVANCED,,SAFE
clearance_index,composite,1998,2025,0.667,0.7233,0.2029,0.0273,193346.0,CORE + ADVANCED,,SAFE
handballs,raw_volume,1984,2025,1.0,1.0,0.2023,0.0262,193346.0,CORE + ADVANCED,,SAFE
scoring_index,composite,1984,2025,1.0,1.0,0.201,0.0227,193346.0,CORE + ADVANCED,,SAFE
clearances_team_rank,team_relative,1998,2025,0.667,0.7233,-0.2009,0.0263,193346.0,CORE + ADVANCED,,SAFE
clearances_gap_2nd_team,teammate_competition,1998,2025,0.667,0.7233,0.1926,0.0253,193346.0,CORE + ADVANCED,,SAFE
clearances_opp_best_gap,opponent_relative,1998,2025,0.667,0.7233,0.1881,0.0237,193346.0,CORE + ADVANCED,,SAFE
inside_50s_gap_2nd_team,teammate_competition,1998,2025,0.667,0.7233,0.1865,0.0209,193346.0,CORE + ADVANCED,,SAFE
goals,raw_scoring,1984,2025,1.0,1.0,0.1854,0.017,193346.0,CORE + ADVANCED,,SAFE
goals_opp_best_gap,opponent_relative,1984,2025,1.0,1.0,0.1853,0.0208,193346.0,CORE + ADVANCED,,SAFE
clearances_gap_best_team,teammate_competition,1998,2025,0.667,0.7233,0.1801,0.0221,193346.0,CORE + ADVANCED,,SAFE
margin,match_outcome,1984,2025,1.0,1.0,0.177,0.0197,193346.0,CORE + ADVANCED,,SAFE
inside_50s_gap_best_team,teammate_competition,1998,2025,0.667,0.7233,0.1736,0.0182,193346.0,CORE + ADVANCED,,SAFE
goals_team_share,team_relative,1984,2025,1.0,1.0,0.1704,0.0118,193346.0,CORE + ADVANCED,,SAFE
marks_match_z,match_relative,1984,2025,1.0,1.0,0.1685,0.0151,193346.0,CORE + ADVANCED,,SAFE
marks_match_pct,match_relative,1984,2025,1.0,1.0,0.1678,0.0151,193346.0,CORE + ADVANCED,,SAFE
marks_match_rank,match_relative,1984,2025,1.0,1.0,-0.1676,0.015,193346.0,CORE + ADVANCED,,SAFE
is_loss,match_outcome,1984,2025,1.0,1.0,-0.1663,0.0,193346.0,CORE + ADVANCED,,SAFE
is_win,match_outcome,1984,2025,1.0,1.0,0.1663,0.0,193346.0,CORE + ADVANCED,,SAFE
goals_match_pct,match_relative,1984,2025,1.0,1.0,0.1634,0.0173,193346.0,CORE + ADVANCED,,SAFE
goals_match_rank,match_relative,1984,2025,1.0,1.0,-0.1628,0.0168,193346.0,CORE + ADVANCED,,SAFE
marks,raw_volume,1984,2025,1.0,1.0,0.1626,0.0145,193346.0,CORE + ADVANCED,,SAFE
marks_opp_best_gap,opponent_relative,1984,2025,1.0,1.0,0.1592,0.0139,193346.0,CORE + ADVANCED,,SAFE
goals_match_z,match_relative,1984,2025,1.0,1.0,0.1587,0.017,193346.0,CORE + ADVANCED,,SAFE
marks_team_share,team_relative,1984,2025,1.0,1.0,0.1492,0.0118,193346.0,CORE + ADVANCED,,SAFE
marks_team_rank,team_relative,1984,2025,1.0,1.0,-0.1485,0.0116,193346.0,CORE + ADVANCED,,SAFE
team_score,other,1984,2025,1.0,1.0,0.135,0.0098,193346.0,CORE + ADVANCED,,SAFE
marks_gap_2nd_team,teammate_competition,1984,2025,1.0,1.0,0.1341,0.0102,193346.0,CORE + ADVANCED,,SAFE
opponent_score,other,1984,2025,1.0,1.0,-0.134,0.0104,193346.0,CORE + ADVANCED,,SAFE
frees_for,raw_efficiency,1984,2025,1.0,1.0,0.1257,0.0072,193346.0,CORE + ADVANCED,,SAFE
goals_team_rank,team_relative,1984,2025,1.0,1.0,-0.1253,0.0136,193346.0,CORE + ADVANCED,,SAFE
goal_assists,raw_scoring,2003,2025,0.548,0.6026,0.1236,0.0041,193346.0,CORE + ADVANCED,,SAFE
marks_gap_best_team,teammate_competition,1984,2025,1.0,1.0,0.1231,0.0088,193346.0,CORE + ADVANCED,,SAFE
marks_inside_50,raw_scoring,1999,2025,0.643,0.6991,0.1174,0.0069,193346.0,CORE + ADVANCED,,SAFE
tackles_match_rank,match_relative,1987,2025,0.929,0.9506,-0.1137,0.0072,193346.0,CORE + ADVANCED,,SAFE
tackles_match_z,match_relative,1987,2025,0.929,0.9506,0.1136,0.0072,193346.0,CORE + ADVANCED,,SAFE
tackles_match_pct,match_relative,1987,2025,0.929,0.9506,0.1133,0.0072,193346.0,CORE + ADVANCED,,SAFE
tackles_team_share,team_relative,1987,2025,0.929,0.9506,0.1102,0.0066,193346.0,CORE + ADVANCED,,SAFE
tackles_team_rank,team_relative,1987,2025,0.929,0.9506,-0.1099,0.0065,193346.0,CORE + ADVANCED,,SAFE
tackles,raw_contest,1987,2025,0.929,0.9506,0.1093,0.0069,193346.0,CORE + ADVANCED,,SAFE
behinds,raw_scoring,1984,2025,1.0,1.0,0.1077,0.0031,193346.0,CORE + ADVANCED,,SAFE
clangers,raw_efficiency,1998,2025,0.667,0.7233,0.1042,0.0057,193346.0,CORE + ADVANCED,,SAFE
goals_gap_2nd_team,teammate_competition,1984,2025,1.0,1.0,0.1018,0.0123,193346.0,CORE + ADVANCED,,SAFE
tackles_gap_2nd_team,teammate_competition,1987,2025,0.929,0.9506,0.0994,0.0059,193346.0,CORE + ADVANCED,,SAFE
tackles_opp_best_gap,opponent_relative,1987,2025,0.929,0.9506,0.097,0.0056,193346.0,CORE + ADVANCED,,SAFE
goals_gap_best_team,teammate_competition,1984,2025,1.0,1.0,0.0906,0.0097,193346.0,CORE + ADVANCED,,SAFE
time_on_ground_pct,raw_workload,2003,2025,0.548,0.6014,0.0902,0.0084,192968.0,CORE + ADVANCED,,SAFE
bounces,raw_volume,1999,2025,0.643,0.6983,0.0896,0.003,193080.0,CORE + ADVANCED,,SAFE
tackles_gap_best_team,teammate_competition,1987,2025,0.929,0.9506,0.0892,0.0049,193346.0,CORE + ADVANCED,,SAFE
defensive_index,composite,1987,2025,0.929,0.9506,0.0766,0.003,193346.0,CORE + ADVANCED,,SAFE
contested_marks,raw_contest,1999,2025,0.643,0.6991,0.0727,0.0042,193346.0,CORE + ADVANCED,,SAFE
contested_marks_opp_best_gap,opponent_relative,1999,2025,0.643,0.6991,0.0726,0.0036,193346.0,CORE + ADVANCED,,SAFE
contested_marks_team_share,team_relative,1999,2025,0.643,0.6991,0.0677,0.0025,193324.0,CORE + ADVANCED,,SAFE
n_teammates_goals_ge_2,teammate_competition,1984,2025,1.0,1.0,0.0656,0.0023,193346.0,CORE + ADVANCED,,SAFE
contested_marks_match_pct,match_relative,1999,2025,0.643,0.6991,0.0627,0.0034,193346.0,CORE + ADVANCED,,SAFE
contested_marks_match_rank,match_relative,1999,2025,0.643,0.6991,-0.0618,0.0033,193346.0,CORE + ADVANCED,,SAFE
contested_marks_match_z,match_relative,1999,2025,0.643,0.6991,0.0604,0.0034,193346.0,CORE + ADVANCED,,SAFE
rebound_50s,raw_territory,1998,2025,0.667,0.7233,0.0485,0.0011,193346.0,CORE + ADVANCED,,SAFE
n_teammates_goals_ge_3,teammate_competition,1984,2025,1.0,1.0,0.048,0.0009,193346.0,CORE + ADVANCED,,SAFE
contested_marks_team_rank,team_relative,1999,2025,0.643,0.6991,-0.0462,0.0031,193346.0,CORE + ADVANCED,,SAFE
contested_marks_gap_2nd_team,teammate_competition,1999,2025,0.643,0.6991,0.0427,0.003,193346.0,CORE + ADVANCED,,SAFE
contested_marks_gap_best_team,teammate_competition,1999,2025,0.643,0.6991,0.0404,0.002,193346.0,CORE + ADVANCED,,SAFE
frees_against,raw_efficiency,1984,2025,1.0,1.0,0.0323,0.0005,193346.0,CORE + ADVANCED,,SAFE
one_percenters,raw_defence,1999,2025,0.643,0.6991,-0.0298,0.0012,193346.0,CORE + ADVANCED,,SAFE
team_disposal_concentration,teammate_competition,1984,2025,1.0,1.0,-0.0208,0.0002,193346.0,CORE + ADVANCED,,SAFE
n_teammates_disposals_ge_30,teammate_competition,1984,2025,1.0,1.0,-0.0184,0.0001,193346.0,CORE + ADVANCED,,SAFE
hitouts,raw_ruck,1984,2025,1.0,1.0,0.0088,0.0001,193346.0,CORE + ADVANCED,,SAFE
n_teammates_disposals_ge_25,teammate_competition,1984,2025,1.0,1.0,-0.0082,0.0001,193346.0,CORE + ADVANCED,,SAFE
absolute_margin,match_outcome,1984,2025,1.0,1.0,0.0003,0.0,193346.0,CORE + ADVANCED,,SAFE
is_blowout,match_outcome,1984,2025,1.0,1.0,0.0002,0.0,193346.0,CORE + ADVANCED,,SAFE
is_close_game,match_outcome,1984,2025,1.0,1.0,-0.0002,0.0,193346.0,CORE + ADVANCED,,SAFE
is_draw,match_outcome,1984,2025,1.0,1.0,-0.0,0.0,193346.0,CORE + ADVANCED,,SAFE
season,other,1984,2025,1.0,1.0,,,,CORE + ADVANCED,,SAFE
role,role,1999,2025,0.643,0.6781,,,,CORE + ADVANCED,,SAFE
clearance_index_n_components,composite_metadata,1984,2025,1.0,1.0,0.0068,0.0,193346.0,exclude_metadata_only,,SAFE
territory_index_n_components,composite_metadata,1984,2025,1.0,1.0,0.0068,0.0,193346.0,exclude_metadata_only,,SAFE
contest_index_n_components,composite_metadata,1984,2025,1.0,1.0,,0.0,193346.0,exclude_metadata_only,,SAFE
defensive_index_n_components,composite_metadata,1984,2025,1.0,1.0,,0.0,193346.0,exclude_metadata_only,,SAFE
possession_impact_index_n_components,composite_metadata,1984,2025,1.0,1.0,,0.0,193346.0,exclude_metadata_only,,SAFE
scoring_index_n_components,composite_metadata,1984,2025,1.0,1.0,,0.0,193346.0,exclude_metadata_only,,SAFE
