,disposals,kicks,handballs,effective_disposals,disposal_efficiency_pct,contested_possessions,uncontested_possessions,clearances,centre_clearances,stoppage_clearances,tackles,goals,behinds,goal_assists,score_involvements,marks,contested_marks,inside_50s,metres_gained,hitouts,one_percenters,rebound_50s,frees_for,frees_against,disposals_match_z,disposals_team_share,disposals_gap_best_team,contested_possessions_match_z,clearances_match_z,goals_match_z,possession_impact_index,contest_index,scoring_index,territory_index,defensive_index,margin,absolute_margin,afl_fantasy_points,supercoach_points,brownlow_votes
disposals,1.0,0.8306061563758115,0.7709583453803207,0.9152761927947102,0.03766625827102445,0.6243535151810228,0.8703109418732558,0.49839805977372637,0.3808074089467971,0.45611351333025824,0.2786880145321616,-0.008851003490812746,0.038391282525440835,0.16586125441686625,0.43301885696421616,0.4199798498773839,-0.057776959670768346,0.49920561825038157,0.7131927072168438,-0.14714870967084182,-0.03461409944118066,0.40666798458336545,0.187220986110383,0.0537299094935718,0.9788932322438322,0.9702114529289428,0.8232401354335088,0.6170204171905184,0.47600135963954476,-0.01479671333404654,0.9656059605719841,0.5649861042343279,0.10165892060870561,0.7073078048280831,0.3499935309026572,0.10231420820869092,0.026254218350678878,0.8298819077647848,0.7400747351265746,0.31081109993197364
kicks,0.8306061563758115,1.0,0.32384296246102034,0.7280636458627409,-0.01641737225019995,0.40486898549034633,0.7680594859453888,0.2958334685634902,0.19618561045684682,0.2710277694646704,0.14796653359402714,0.06458154889299784,0.09584132552568396,0.14106305764655214,0.3636176553363337,0.5595122056496514,0.03764801861317487,0.4946189234061792,0.8400358857747517,-0.17694383198704974,0.024176027588052738,0.4662443188493341,0.1850867543498639,0.02305206138595285,0.8238532695604274,0.8152439141361854,0.6957022695049216,0.40104207215529025,0.2828082142723536,0.05366077741114049,0.7860177110879011,0.34498477436010905,0.1422980633549777,0.7984719530626363,0.3463853279347359,0.11645084099541496,0.009943778967027375,0.7723126825879748,0.6624351870774591,0.2903216426644445
handballs,0.7709583453803207,0.32384296246102034,1.0,0.7176008646677214,0.07182741738981926,0.6329890252435556,0.630444581894993,0.5299866594884267,0.42696815977052566,0.4723369738295072,0.3242570567720142,-0.06938560873949845,-0.026580016633909465,0.13790434709343474,0.33840317159351074,0.10687764118755329,-0.13390970724261056,0.32134235992172216,0.27903165901720217,-0.04562491867430155,-0.07716205761582984,0.17108557207565556,0.1243513989414165,0.07246943125844928,0.7424459901867745,0.7385080451803671,0.6245279867326781,0.6235622207729098,0.5047378348178369,-0.07219399244135923,0.7657362151424428,0.5982093390700144,0.035381155005718395,0.32381613200080167,0.2131042092922997,0.04736308594306456,0.034667194758836575,0.5354393155217201,0.5057750491355126,0.22195453712437765
effective_disposals,0.9152761927947102,0.7280636458627409,0.7176008646677214,1.0,0.38003359573175993,0.4780876565392616,0.8332847937278519,0.38387788036664483,0.3099675129761626,0.36551463549507524,0.17620458415510107,-0.06985217467577647,-0.09938659434421455,0.13045679739561133,0.38200251591075207,0.42742489170729525,-0.06998606663829347,0.36829832454628386,0.6400495350210156,-0.18899993464069825,-0.020753408663368222,0.42812910035024776,0.13704466752509042,-0.0015770351548018305,0.8900699748144963,0.8748813883840486,0.7342809262917798,0.48028979475062894,0.37382889040479533,-0.07292920592559958,0.8661657905574046,0.4250058674784061,-0.0048316224452889045,0.6459883605115047,0.33990185568722814,0.12699451228007946,0.035819833801837925,0.761518795801876,0.7471177290060853,0.28472539679967435
disposal_efficiency_pct,0.03766625827102445,-0.01641737225019995,0.07182741738981926,0.38003359573175993,1.0,-0.162873724636026,0.13263796257477153,-0.1599986045880513,-0.11998013499427074,-0.14900139705762916,-0.12779572033520967,-0.10624467208920145,-0.32261283505012384,-0.024980415398881,-0.05610080089333469,0.21474004794123555,0.02997346299430973,-0.17510073337648907,-0.04162831591366416,-0.09443806378754545,0.16651998016896205,0.21270039359158574,-0.024364861500276367,-0.05573870043892175,0.026541013551202027,0.011233711881187504,-0.003429959460289477,-0.14316338301819154,-0.14235566435596414,-0.11210531787674206,-0.001575586612267773,-0.16580482817033276,-0.19827160626152682,0.006348515385315173,0.17617117726147105,0.08705989850258433,0.0378611553257389,-0.006419001804817123,0.16328602748473584,-0.018884962354503522
contested_possessions,0.6243535151810228,0.40486898549034633,0.6329890252435556,0.4780876565392616,-0.162873724636026,1.0,0.25619599841991814,0.635809562343149,0.5080301650651659,0.5788988959519378,0.360623894041047,0.1093576370979784,0.11755472796774123,0.16245367690375218,0.37852504508417406,0.06157776267721152,0.15317589511055318,0.38124954839276415,0.30967075706219804,0.10887427676217579,0.01034306782390339,0.08156354888188873,0.379193109676759,0.1469909282662893,0.6173870747765253,0.6204738451784207,0.5365369660742688,0.9784095191203077,0.5954570798160229,0.09126477221423433,0.7000200381413298,0.808924578222881,0.19537808843347812,0.32825149031323614,0.2175949645639453,0.06133289626480576,-0.01766578157296061,0.5485813671422114,0.6250651099999456,0.28012556137241135
uncontested_possessions,0.8703109418732558,0.7680594859453888,0.630444581894993,0.8332847937278519,0.13263796257477153,0.25619599841991814,1.0,0.27718788276402645,0.18943398310119675,0.2437437675386606,0.1670605816663619,-0.04236945376024474,0.006054549845527055,0.14070974287466306,0.3518267790595544,0.5174638454457542,-0.16595494087344967,0.4333828782416131,0.6671248257937986,-0.2509401808566152,-0.04994045737699281,0.4066431666973513,0.03435754048447715,0.008379718778661449,0.8435849648734219,0.8291341403699022,0.6989439573613455,0.25871343573535627,0.27200241326874525,-0.047226836612401075,0.8106725062982658,0.2837802739678613,0.05321827254640379,0.6596959383001331,0.2851323133230028,0.10078254722460703,0.04923749533978194,0.6939795568772394,0.5400668612819245,0.2349460718017106
clearances,0.49839805977372637,0.2958334685634902,0.5299866594884267,0.38387788036664483,-0.1599986045880513,0.635809562343149,0.27718788276402645,1.0,0.7151039671435865,0.9088158805795478,0.3965173111176059,0.034502298365361436,0.06383376189443009,0.14651480773102843,0.31921252525912003,-0.0998555184325166,-0.1419589669484934,0.4015938462518129,0.26392468383597595,0.1606968377955737,-0.15600195994048086,0.012100488579995046,0.22465690485773662,0.13217052747113658,0.5029751919986887,0.5088108448152775,0.45124440704212454,0.6322354560533775,0.9503013134273608,0.0301573892385367,0.5487513035064282,0.7864090891912578,0.1442671812229272,0.2857516940704024,0.12080646143452059,0.0226487232808549,-0.003334832668221953,0.45157040326425596,0.4203098938558185,0.2353110746818797
centre_clearances,0.3808074089467971,0.19618561045684682,0.42696815977052566,0.3099675129761626,-0.11998013499427074,0.5080301650651659,0.18943398310119675,0.7151039671435865,1.0,0.46559677664321014,0.3209270798905425,0.0216005562040246,0.03843503003723234,0.12189029939333687,0.28096500723568973,-0.11845868251092723,-0.10157667783680475,0.33414566746693597,0.18957143099051588,0.1494936173345869,-0.13263220031934916,-0.0558038991726193,0.18894941227277717,0.121154962971406,0.3806803887540415,0.3854869300955039,0.34831257391152737,0.5092391071806432,0.6844603387358702,0.004610881506181286,0.42030896544692337,0.6125271663855317,0.09925653066559383,0.20112385427779392,0.07883410105137272,0.020311557835669194,0.021854692239809934,0.36678293742684526,0.343274559650556,0.22913573001319618
stoppage_clearances,0.45611351333025824,0.2710277694646704,0.4723369738295072,0.36551463549507524,-0.14900139705762916,0.5788988959519378,0.2437437675386606,0.9088158805795478,0.46559677664321014,1.0,0.3502934408398718,0.01837244089769122,0.05099617217178677,0.12231242215622506,0.282223370545734,-0.11328713676150322,-0.14803063293032054,0.3446644640573853,0.2597965305124149,0.12315785735440848,-0.16285769959023702,0.022048580303195245,0.19399713095365015,0.1008294164492302,0.463136956773122,0.4679793232453448,0.4116319950083181,0.5736107378669805,0.8627042029680986,0.025388530262473834,0.5053417933135652,0.7117941203399791,0.12271626833594558,0.2665103509782405,0.09715697924065611,0.020764017609723028,-0.019856648385161362,0.4243218161843585,0.39995171430422977,0.21619064419651915
