window,test_season,n_train_seasons,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
recent3,2021,3,180,0.6388888888888888,0.4,0.31666666666666665,0.1388888888888889,0.29444444444444445,0.7259259259259261,0.7259259259259261,0.42500013091672606,0.17234988349390512,0.08221346445501504,0.11873647284947077
recent5,2021,5,180,0.6555555555555556,0.4,0.2722222222222222,0.13333333333333333,0.29444444444444445,0.7259259259259261,0.7259259259259261,0.4255596786763422,0.1728540667873875,0.0822557733789353,0.11733739132512641
recent8,2021,8,180,0.65,0.4,0.2722222222222222,0.1388888888888889,0.2777777777777778,0.7166666666666667,0.7166666666666667,0.42527696358764644,0.1724799923516308,0.08240679933485628,0.11744146300822768
expanding,2021,18,180,0.6444444444444445,0.37777777777777777,0.29444444444444445,0.13333333333333333,0.2722222222222222,0.7129629629629629,0.7129629629629629,0.4257391032110228,0.17633453890957299,0.08450603598547995,0.12838576870290283
recency_weighted_halflife5,2021,18,180,0.6555555555555556,0.3888888888888889,0.2611111111111111,0.12777777777777777,0.26666666666666666,0.7129629629629629,0.7129629629629629,0.4256038709557138,0.17294968820578724,0.08289225413971653,0.12199594917433974
recent3,2022,3,183,0.6284153005464481,0.30601092896174864,0.22404371584699453,0.09289617486338798,0.23497267759562843,0.6939890710382512,0.6939890710382512,0.4290848240193881,0.164574393684443,0.08202761040760187,0.11565291787496386
recent5,2022,5,183,0.6338797814207651,0.32786885245901637,0.24043715846994534,0.08743169398907104,0.23497267759562843,0.6976320582877961,0.6976320582877961,0.42932305082528777,0.16117157369624685,0.0805696387912746,0.11494409575047843
recent8,2022,8,183,0.6338797814207651,0.3224043715846995,0.2459016393442623,0.1092896174863388,0.26229508196721313,0.7012750455373405,0.7012750455373405,0.4294838445643656,0.16170999893887314,0.08085091510352502,0.11514882295238238
expanding,2022,19,183,0.6010928961748634,0.3114754098360656,0.20765027322404372,0.08196721311475409,0.21311475409836064,0.6848816029143898,0.6848816029143898,0.42643711859207184,0.17192847359802085,0.0845361162731276,0.12952187984122934
recency_weighted_halflife5,2022,19,183,0.6284153005464481,0.3333333333333333,0.22950819672131148,0.09836065573770492,0.23497267759562843,0.6939890710382512,0.6939890710382512,0.42878329351992955,0.16531158181021563,0.08208302083848083,0.12103900591623673
recent3,2023,3,181,0.4861878453038674,0.2430939226519337,0.17679558011049723,0.04419889502762431,0.19889502762430938,0.6243093922651933,0.6243093922651933,0.40226476972067243,0.20174171293335655,0.09319506866413142,0.12959744305235837
recent5,2023,5,181,0.4972375690607735,0.2596685082872928,0.1712707182320442,0.06077348066298342,0.20441988950276244,0.6261510128913444,0.6261510128913444,0.40250180202551855,0.20199841417113773,0.09361900729483817,0.13186719820888512
recent8,2023,8,181,0.4696132596685083,0.20994475138121546,0.16574585635359115,0.055248618784530384,0.19337016574585636,0.6206261510128914,0.6206261510128914,0.40176546424377596,0.2033767671455932,0.09442461856610561,0.13312279562979987
expanding,2023,20,181,0.4861878453038674,0.20441988950276244,0.13812154696132597,0.04419889502762431,0.17679558011049723,0.5985267034990792,0.5985267034990792,0.40124297686936744,0.19736735621594442,0.09330003120016499,0.14172967682375257
recency_weighted_halflife5,2023,20,181,0.4861878453038674,0.22099447513812154,0.16022099447513813,0.06077348066298342,0.18232044198895028,0.6114180478821364,0.6114180478821364,0.40182480024956774,0.1994404220365312,0.09347056747941337,0.13564278784381767
recent3,2024,3,190,0.49473684210526314,0.2631578947368421,0.1736842105263158,0.05263157894736842,0.21578947368421053,0.6350877192982456,0.6350877192982456,0.4075917409312604,0.1930304445485091,0.09125346961040025,0.13105130515787744
recent5,2024,5,190,0.49473684210526314,0.24736842105263157,0.1736842105263158,0.042105263157894736,0.18947368421052632,0.6192982456140351,0.6192982456140351,0.406888231397918,0.19475204150207207,0.0918569640269905,0.13167580069932502
recent8,2024,8,190,0.49473684210526314,0.28421052631578947,0.18947368421052632,0.05789473684210526,0.2,0.619298245614035,0.619298245614035,0.4048481131386855,0.19753710594233315,0.093034793436494,0.1334750661098774
expanding,2024,21,190,0.48947368421052634,0.2894736842105263,0.20526315789473684,0.06315789473684211,0.21052631578947367,0.6333333333333333,0.6333333333333333,0.4049469683890554,0.19325568659973236,0.09196714733208733,0.13966403317760612
recency_weighted_halflife5,2024,21,190,0.5,0.2894736842105263,0.1736842105263158,0.04736842105263158,0.21052631578947367,0.6298245614035087,0.6298245614035087,0.4062998743238713,0.19332151328089378,0.09173754938930537,0.13495693968315534
recent3,2025,3,193,0.5440414507772021,0.3160621761658031,0.17616580310880828,0.08290155440414508,0.17616580310880828,0.6355785837651123,0.6355785837651123,0.4096825757347312,0.19808613369901873,0.09419826955130758,0.13492595508529218
recent5,2025,5,193,0.5595854922279793,0.31088082901554404,0.17098445595854922,0.07253886010362694,0.16062176165803108,0.6321243523316062,0.6321243523316062,0.41044708842366,0.1968645820954218,0.09393578262955965,0.13358755999885052
recent8,2025,8,193,0.5544041450777202,0.25906735751295334,0.12435233160621761,0.046632124352331605,0.15025906735751296,0.6303972366148533,0.6303972366148533,0.40914752164242885,0.19818105899663105,0.09455928594743462,0.13367928818672536
expanding,2025,22,193,0.5440414507772021,0.22797927461139897,0.16062176165803108,0.03626943005181347,0.15544041450777202,0.6303972366148531,0.6303972366148531,0.40906915880392014,0.19549738115261556,0.09396267292916553,0.13993497358549417
