feature,2018,2019,2020,2021,2022,2023,2024,2025,mean_coef,std_coef,cv_coef,sign_changes,top10_rate
role_KEY_DEFENDER,1.05502636955798,1.0905951822642497,1.106100847193034,1.086804552390817,1.0312300855883458,0.9592463090158262,0.956508707403999,0.8650350205168816,1.0188183842413916,0.08446298901772543,0.08290289056828933,0,1.0
disposals_match_z,0.7938671182779793,0.775271355918069,0.8461465268090681,0.820561491366772,0.8152914009107243,0.8367346481129171,0.8607752105319487,0.8639336771458951,0.8265726786341717,0.031434602281434715,0.038030052400688144,0,1.0
is_win,0.5556440312773938,0.5763046250051782,0.5792461996505789,0.5847114627115009,0.6103516184401614,0.6197640177129184,0.6240675055697931,0.620039138475701,0.5962660748554032,0.025524299566814682,0.04280689551724777,0,1.0
margin,0.5099110371415075,0.5070262284940223,0.5042296215692014,0.5010962998395307,0.49698003111636496,0.4975876603326375,0.5075488000311782,0.5137248658046732,0.5047630680411395,0.005921986837287277,0.011732211035702437,0,1.0
goals_match_z,0.3586806805083292,0.39215643015127805,0.39930751798145203,0.4676488484713092,0.4759013550874337,0.4867009588821868,0.4893190056185775,0.486410395084569,0.44451564897314194,0.052393051710302334,0.11786548309678962,0,1.0
win_x_margin,0.4350993695311112,0.43268985607460886,0.43003781337670394,0.4272128778302355,0.4235779334362331,0.42420911006121215,0.4320231518461461,0.4369519128448367,0.43022525312513593,0.004896092380983824,0.011380299843904653,0,1.0
role_MEDIUM_DEFENDER,0.5453414364533304,0.5641171332107522,0.5539882896847821,0.4954578568810212,0.3816947237726618,0.3045917158914708,0.29905111046577443,0.27576792428473457,0.4275012738305659,0.12529662668733327,0.2930906510865575,0,0.75
role_MIDFIELDER,0.4846173935185947,0.5075981886104242,0.4984507961514368,0.46034053000765496,0.38368882327871817,0.3289063580722887,0.34244752190279437,0.31867969459773826,0.41559116326745627,0.08050907450250272,0.19372181513563755,0,1.0
hitouts,0.372464279776822,0.38299089464051095,0.39218264852767315,0.3914484502918452,0.3907787648688397,0.39561285278412855,0.38118714202453235,0.3620428640110054,0.3835884871156696,0.011501611901331553,0.029984246888680177,0,1.0
contested_possessions,0.40271631153997023,0.31378072665936624,0.35002311593447233,0.35867285132382654,0.3500401435251259,0.32480085665453723,0.29539601520303366,0.26942166646425647,0.3331064609130736,0.04139080690380229,0.1242569921650469,0,0.625
tackles,0.2850625700997243,0.2976375618714362,0.3231523109167204,0.3359554713670321,0.34078615001462614,0.33693271151735577,0.3510303918217401,0.3395737034213089,0.326266358878743,0.02310186938313923,0.07080677720661065,0,0.375
goals_over3,0.24690068795366868,0.24723015810296056,0.24792228735235133,0.24689293015139796,0.24867898248334258,0.24898371643584755,0.2546334497595248,0.25322477518625636,0.24930837342816875,0.0029777197628994365,0.01194392198686974,0,0.0
contested_marks,0.2428400359733044,0.24128347724987392,0.2301377913598918,0.23779055927312737,0.24482973323933932,0.25042877705801564,0.26080275218785864,0.2762791960531651,0.248049040299322,0.014513942984930708,0.058512393224407,0,0.125
kicks,0.21614199566100903,0.2401158317407448,0.21111678497527478,0.22398626248025533,0.22455416674227205,0.21703720902753385,0.1926035724660724,0.182553216341232,0.2135136299292993,0.01836181255197564,0.08599831569561055,0,0.0
