variant,test_season,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
without_reputation,2019,184,0.6304347826086957,0.375,0.17391304347826086,0.08152173913043478,0.20108695652173914,0.6847826086956522,0.6847826086956522,0.4281878254614487,0.1737814039660264,0.08412542936199835,0.1281858398376969
without_reputation,2020,125,0.528,0.304,0.16,0.072,0.216,0.6533333333333333,0.6533333333333333,0.415502514072756,0.2017608026977047,0.0954280508545356,0.15362813413389537
without_reputation,2021,180,0.6444444444444445,0.37777777777777777,0.29444444444444445,0.13333333333333333,0.2722222222222222,0.7129629629629629,0.7129629629629629,0.4257391032110228,0.17633453890957299,0.08450603598547995,0.12838576870290283
without_reputation,2022,183,0.6010928961748634,0.3114754098360656,0.20765027322404372,0.08196721311475409,0.21311475409836064,0.6848816029143898,0.6848816029143898,0.42643711859207184,0.17192847359802085,0.0845361162731276,0.12952187984122934
without_reputation,2023,181,0.4861878453038674,0.20441988950276244,0.13812154696132597,0.04419889502762431,0.17679558011049723,0.5985267034990792,0.5985267034990792,0.40124297686936744,0.19736735621594442,0.09330003120016499,0.14172967682375257
without_reputation,2024,190,0.48947368421052634,0.2894736842105263,0.20526315789473684,0.06315789473684211,0.21052631578947367,0.6333333333333333,0.6333333333333333,0.4049469683890554,0.19325568659973236,0.09196714733208733,0.13966403317760612
without_reputation,2025,193,0.5440414507772021,0.22797927461139897,0.16062176165803108,0.03626943005181347,0.15544041450777202,0.6303972366148531,0.6303972366148531,0.40906915880392014,0.19549738115261556,0.09396267292916553,0.13993497358549417
with_reputation,2019,184,0.6141304347826086,0.3641304347826087,0.13043478260869565,0.07608695652173914,0.21195652173913043,0.6884057971014492,0.6884057971014492,0.42877811754835526,0.17267052887953357,0.0835851411698659,0.1270239899050182
with_reputation,2020,125,0.536,0.312,0.136,0.056,0.184,0.6346666666666666,0.6346666666666666,0.414714125919969,0.2024823416857802,0.09574334808445058,0.15361075990204984
with_reputation,2021,180,0.6888888888888889,0.3888888888888889,0.2777777777777778,0.12777777777777777,0.25,0.7111111111111111,0.7111111111111111,0.4254852226439523,0.17549160280649817,0.08404928045378107,0.1275054730399169
with_reputation,2022,183,0.6120218579234973,0.32786885245901637,0.20765027322404372,0.09289617486338798,0.2185792349726776,0.6830601092896175,0.6830601092896175,0.42694440774793563,0.17083417906387924,0.08418787938011613,0.12869899309776967
with_reputation,2023,181,0.5138121546961326,0.2541436464088398,0.1712707182320442,0.06629834254143646,0.1878453038674033,0.6151012891344384,0.6151012891344384,0.40169514389187233,0.1965849812137763,0.09281279669404492,0.1405021694225248
with_reputation,2024,190,0.48947368421052634,0.30526315789473685,0.20526315789473684,0.06315789473684211,0.22631578947368422,0.643859649122807,0.643859649122807,0.4063535627952419,0.19155140076982355,0.09120228426422969,0.1379898300956312
with_reputation,2025,193,0.5440414507772021,0.24870466321243523,0.16062176165803108,0.04145077720207254,0.13989637305699482,0.6217616580310881,0.6217616580310881,0.4091922833194023,0.19427373886186786,0.0934189399376952,0.13870325655679494
