player_id,player_name,team_id
11700,Patrick Dangerfield,geelong
12017,Jeremy Cameron,geelong
12153,Mark Blicavs,geelong
12236,Jack Martin,geelong
12352,Alex Pearce,fremantle
12394,Oscar McDonald,fremantle
12453,Corey Wagner,fremantle
12505,Tom Stewart,geelong
12531,Mark OConnor,geelong
12535,Shai Bolton,fremantle
12547,Sean Darcy,fremantle
12551,Zach Guthrie,geelong
12589,Andrew Brayshaw,fremantle
12607,Jack Henry,geelong
12672,Sam Switkowski,fremantle
12688,Jordan Clark,fremantle
12689,Gryan Miers,geelong
12690,Tom Atkins,geelong
12692,Bailey Smith,geelong
12777,Hayden Young,fremantle
12779,Luke Jackson,fremantle
12786,Caleb Serong,fremantle
12806,Brad Close,geelong
12871,Tanner Bruhn,geelong
12875,Heath Chapman,fremantle
12881,Max Holmes,geelong
12887,Josh Treacy,fremantle
12891,Sam De Koning,geelong
12914,Brandon Walker,fremantle
12960,Nathan ODriscoll,fremantle
12966,Neil Erasmus,fremantle
12974,Oliver Dempsey,geelong
12983,Jye Amiss,fremantle
12992,Shannon Neale,geelong
13033,Judd McVee,fremantle
13047,Matthew Johnson,fremantle
13062,Jhye Clark,geelong
13066,Oisin Mullin,geelong
13075,Karl Worner,fremantle
13104,Shaun Mannagh,geelong
13122,Connor OSullivan,geelong
13129,Patrick Voss,fremantle
13160,Lawson Humphries,geelong
13180,Murphy Reid,fremantle
13204,Isaiah Dudley,fremantle
11898,Tom Liberatore,western_bulldogs
12269,Marcus Bontempelli,western_bulldogs
12282,Rory Lobb,western_bulldogs
12354,Bailey Dale,western_bulldogs
12370,Jake Kolodjashnij,geelong
12441,Bailey Williams,western_bulldogs
12455,Matthew Kennedy,western_bulldogs
12499,Jack Bowes,geelong
12594,Aaron Naughton,western_bulldogs
12605,Ed Richards,western_bulldogs
12619,James Worpel,geelong
12723,Oskar Baker,western_bulldogs
12748,Rhylee West,western_bulldogs
12851,Oliver Henry,geelong
12900,Buku Khamis,western_bulldogs
12916,Lachlan Bramble,western_bulldogs
13021,Sam Darcy,western_bulldogs
13061,James ODonnell,western_bulldogs
13103,Ryley Sanders,western_bulldogs
13140,Joel Freijah,western_bulldogs
13178,Sam Davidson,western_bulldogs
13213,Cooper Hynes,western_bulldogs
12150,Ollie Wines,port_adelaide
12422,Darcy Byrne-Jones,port_adelaide
12433,Aliir Aliir,port_adelaide
12664,Kane Farrell,port_adelaide
12695,Willem Drew,port_adelaide
12698,Zak Butters,port_adelaide
12766,Mitch Georgiades,port_adelaide
12867,Miles Bergman,port_adelaide
12882,Lachie Jones,port_adelaide
12890,Jordon Sweet,port_adelaide
12936,Corey Durdin,port_adelaide
12956,Jason Horne-Francis,port_adelaide
12991,Jacob Wehr,port_adelaide
13007,Jase Burgoyne,port_adelaide
13073,Dante Visentini,port_adelaide
13139,Joe Richards,port_adelaide
13156,Logan Evans,port_adelaide
13188,Joe Berry,port_adelaide
13199,Christian Moraes,port_adelaide
13259,Jack Whitlock,port_adelaide
11905,Jack Darling,north_melbourne
11953,Luke Parker,north_melbourne
12181,Aidan Corr,north_melbourne
12246,Luke McDonald,north_melbourne
12373,Caleb Daniel,north_melbourne
12502,Jy Simpkin,north_melbourne
12511,Griffin Logue,north_melbourne
12557,Cameron Zurhaar,north_melbourne
12563,Nick Larkey,north_melbourne
12590,Luke Davies-Uniacke,north_melbourne
12622,Charlie Spargo,north_melbourne
12788,Tristan Xerri,north_melbourne
12796,Dylan Stephens,north_melbourne
12866,Tom Powell,north_melbourne
12938,Charlie Comben,north_melbourne
12975,Paul Curtis,north_melbourne
13034,Harry Sheezel,north_melbourne
13106,Zane Duursma,north_melbourne
13107,Colby McKercher,north_melbourne
13187,Finn OSullivan,north_melbourne
13263,Cooper Trembath,north_melbourne
11751,Steele Sidebottom,collingwood
11847,Rhys Stanley,geelong
11967,Jeremy Howe,collingwood
12061,Jack Crisp,collingwood
12083,Jamie Elliott,collingwood
12291,Daniel McStay,collingwood
12318,Jordan de Goey,collingwood
12371,Brayden Maynard,collingwood
12372,Darcy Moore,collingwood
12495,Dan Houston,collingwood
12573,Josh Daicos,collingwood
