season,feature,source,pct_available
1989,inside_50s,afltables_core,0.0
1989,clearances,afltables_core,0.0
1989,clangers,afltables_core,0.0
1989,frees_for,afltables_core,1.0
1989,frees_against,afltables_core,1.0
1989,contested_possessions,afltables_core,0.0
1989,uncontested_possessions,afltables_core,0.0
1989,contested_marks,afltables_core,0.0
1989,marks_inside_50,afltables_core,0.0
1989,one_percenters,afltables_core,0.0
1989,bounces,afltables_core,0.0
1989,goal_assists,afltables_core,0.0
1989,time_on_ground_pct,afltables_core,0.0
1989,effective_disposals,footywire_advanced,0.0
1989,disposal_efficiency_pct,footywire_advanced,0.0
1989,centre_clearances,footywire_advanced,0.0
1989,stoppage_clearances,footywire_advanced,0.0
1989,score_involvements,footywire_advanced,0.0
1989,metres_gained,footywire_advanced,0.0
1989,turnovers,footywire_advanced,0.0
1989,intercepts,footywire_advanced,0.0
1989,tackles_inside_50,footywire_advanced,0.0
1990,kicks,afltables_core,1.0
1990,marks,afltables_core,1.0
1990,handballs,afltables_core,1.0
1990,disposals,afltables_core,1.0
1990,goals,afltables_core,1.0
1990,behinds,afltables_core,1.0
1990,hitouts,afltables_core,1.0
1990,tackles,afltables_core,1.0
1990,rebound_50s,afltables_core,0.0
1990,inside_50s,afltables_core,0.0
1990,clearances,afltables_core,0.0
1990,clangers,afltables_core,0.0
1990,frees_for,afltables_core,1.0
1990,frees_against,afltables_core,1.0
1990,contested_possessions,afltables_core,0.0
1990,uncontested_possessions,afltables_core,0.0
1990,contested_marks,afltables_core,0.0
1990,marks_inside_50,afltables_core,0.0
1990,one_percenters,afltables_core,0.0
1990,bounces,afltables_core,0.0
1990,goal_assists,afltables_core,0.0
1990,time_on_ground_pct,afltables_core,0.0
1990,effective_disposals,footywire_advanced,0.0
1990,disposal_efficiency_pct,footywire_advanced,0.0
1990,centre_clearances,footywire_advanced,0.0
1990,stoppage_clearances,footywire_advanced,0.0
1990,score_involvements,footywire_advanced,0.0
1990,metres_gained,footywire_advanced,0.0
1990,turnovers,footywire_advanced,0.0
1990,intercepts,footywire_advanced,0.0
1990,tackles_inside_50,footywire_advanced,0.0
1991,kicks,afltables_core,1.0
1991,marks,afltables_core,1.0
1991,handballs,afltables_core,1.0
1991,disposals,afltables_core,1.0
1991,goals,afltables_core,1.0
1991,behinds,afltables_core,1.0
1991,hitouts,afltables_core,1.0
1991,tackles,afltables_core,1.0
1991,rebound_50s,afltables_core,0.0
1991,inside_50s,afltables_core,0.0
1991,clearances,afltables_core,0.0
1991,clangers,afltables_core,0.0
1991,frees_for,afltables_core,1.0
1991,frees_against,afltables_core,1.0
1991,contested_possessions,afltables_core,0.0
1991,uncontested_possessions,afltables_core,0.0
1991,contested_marks,afltables_core,0.0
1991,marks_inside_50,afltables_core,0.0
1991,one_percenters,afltables_core,0.0
1991,bounces,afltables_core,0.0
1991,goal_assists,afltables_core,0.0
1991,time_on_ground_pct,afltables_core,0.0
