player_id,player_name,team_id,sim_mean_votes,sim_median_votes,sim_mode_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,mean_rank,median_rank,prob_rank_1,prob_top3_rank,prob_top10_rank
12430,Christian Petracca,gold_coast,11.40743,11.0,11,8.0,15.0,7.0,17.0,0.77253,0.10979,0.00216,2e-05,0.0,0.0,33.89458,33.0,0.0,0.0,0.00071
12610,Zac Bailey,brisbane_lions,11.26021,11.0,11,7.0,15.0,5.0,18.0,0.69957,0.1552,0.0078,4e-05,0.0,0.0,35.96982,33.0,0.0,0.0,0.00349
12589,Andrew Brayshaw,fremantle,11.23332,11.0,11,7.0,15.0,5.975000000000364,18.0,0.69165,0.15416,0.00971,0.00015,0.0,0.0,36.28133,34.0,0.0,1e-05,0.00395
12421,Charlie Curnow,sydney,10.41056,10.0,10,8.0,13.0,7.0,15.0,0.64872,0.03024,0.0001,0.0,0.0,0.0,37.6987,37.0,0.0,0.0,4e-05
13193,Max Hall,st_kilda,10.33151,10.0,10,7.0,14.0,5.0,16.0,0.59998,0.08161,0.00197,2e-05,0.0,0.0,39.94334,37.0,0.0,0.0,0.00078
12411,George Hewett,carlton,10.17467,10.0,10,6.0,14.0,5.0,17.0,0.57,0.08544,0.00249,5e-05,0.0,0.0,41.17516,38.0,0.0,0.0,0.00118
12025,Toby Greene,greater_western_sydney,9.9399,10.0,10,6.0,14.0,4.0,16.0,0.54401,0.07027,0.00137,0.0,0.0,0.0,42.36459,39.0,0.0,0.0,0.00047
12693,Tom Sparrow,melbourne,9.74207,10.0,9,6.0,14.0,4.0,16.0,0.51341,0.06045,0.00142,1e-05,0.0,0.0,43.22298,40.0,0.0,0.0,0.00071
12969,Finn Callaghan,greater_western_sydney,9.58507,9.0,9,6.0,13.0,4.0,16.0,0.4873,0.05349,0.00114,1e-05,0.0,0.0,43.94021,41.0,0.0,0.0,0.00057
13104,Shaun Mannagh,geelong,9.46043,9.0,9,7.0,12.0,6.0,14.0,0.46957,0.01251,3e-05,0.0,0.0,0.0,43.15035,42.0,0.0,0.0,1e-05
12983,Jye Amiss,fremantle,9.38758,9.0,9,6.0,13.0,5.0,15.0,0.4529,0.02554,0.0002,0.0,0.0,0.0,44.33721,43.0,0.0,0.0,0.00013
12241,Zach Merrett,essendon,9.22676,9.0,9,6.0,13.0,4.0,15.0,0.44474,0.03319,0.00041,0.0,0.0,0.0,46.065,43.0,0.0,0.0,0.00021
12887,Josh Treacy,fremantle,9.00789,9.0,8,6.0,13.0,4.0,15.0,0.40713,0.03542,0.00073,0.0,0.0,0.0,47.92532,45.0,0.0,0.0,0.00027
12768,Matt Rowell,gold_coast,8.6759,9.0,8,5.0,12.0,4.0,14.0,0.36095,0.02011,0.00023,0.0,0.0,0.0,48.99359,46.0,0.0,0.0,9e-05
12331,Touk Miller,gold_coast,8.45781,8.0,8,5.0,12.0,4.0,14.0,0.33875,0.01547,0.00011,0.0,0.0,0.0,50.84508,47.0,0.0,0.0,5e-05
12782,Lachie Ash,greater_western_sydney,8.12071,8.0,8,5.0,12.0,3.0,14.0,0.29946,0.01694,0.00016,0.0,0.0,0.0,54.23884,49.0,0.0,0.0,7e-05
13125,Hugo Garcia,st_kilda,7.94399,8.0,8,4.0,12.0,3.0,14.0,0.27903,0.0152,0.00013,0.0,0.0,0.0,56.00235,51.0,0.0,0.0,5e-05
13137,Logan Morris,brisbane_lions,7.75828,8.0,6,6.0,10.0,5.0,12.0,0.15951,0.00185,0.0,0.0,0.0,0.0,52.98671,53.0,0.0,0.0,0.0
12504,Tim Taranto,richmond,7.64223,8.0,7,5.0,11.0,4.0,12.0,0.199,0.00317,0.0,0.0,0.0,0.0,55.72565,53.0,0.0,0.0,0.0
12743,John Noble,gold_coast,7.28592,7.0,7,4.0,11.0,2.0,13.0,0.20745,0.00757,3e-05,0.0,0.0,0.0,61.28089,55.0,0.0,0.0,0.0
12699,Nick Blakey,sydney,6.85323,7.0,6,4.0,10.0,3.0,12.0,0.11688,0.00211,1e-05,0.0,0.0,0.0,61.74518,60.0,0.0,0.0,1e-05
13105,Nick Watson,hawthorn,6.7985,7.0,6,4.0,10.0,2.0,12.0,0.14124,0.00243,2e-05,0.0,0.0,0.0,65.15044,59.0,0.0,0.0,0.0
12849,Sam Berry,adelaide,6.65505,6.0,6,3.0,10.0,2.0,12.0,0.14055,0.00424,3e-05,0.0,0.0,0.0,67.11546,61.0,0.0,0.0,2e-05
12167,Jake Stringer,greater_western_sydney,6.65034,6.0,6,5.0,9.0,4.0,10.0,0.05833,0.00023,0.0,0.0,0.0,0.0,62.16174,61.0,0.0,0.0,0.0
12954,Connor Macdonald,hawthorn,6.58244,6.0,6,3.0,10.0,2.0,13.0,0.15615,0.00693,6e-05,0.0,0.0,0.0,70.12973,62.0,0.0,0.0,5e-05
12974,Oliver Dempsey,geelong,6.56843,6.0,6,4.0,9.0,3.0,11.0,0.09482,0.00141,0.0,0.0,0.0,0.0,66.14379,62.0,0.0,0.0,0.0
13180,Murphy Reid,fremantle,6.41308,6.0,6,3.0,10.0,1.0,12.0,0.13932,0.00558,7e-05,0.0,0.0,0.0,73.74594,65.0,0.0,0.0,2e-05
13129,Patrick Voss,fremantle,6.11625,6.0,6,3.0,9.0,2.0,10.0,0.04646,0.00023,0.0,0.0,0.0,0.0,71.89512,66.0,0.0,0.0,0.0
12953,Josh Rachele,adelaide,6.0901,6.0,5,3.0,9.0,3.0,11.0,0.06923,0.00088,0.0,0.0,0.0,0.0,69.57438,67.0,0.0,0.0,0.0
12564,Rowan Marshall,st_kilda,6.05683,6.0,6,4.0,9.0,2.0,10.0,0.04875,0.00022,0.0,0.0,0.0,0.0,70.70778,66.0,0.0,0.0,0.0
12573,Josh Daicos,collingwood,6.02109,6.0,6,3.0,9.0,1.0,12.0,0.09738,0.00194,0.0,0.0,0.0,0.0,76.03906,66.0,0.0,0.0,0.0
12455,Matthew Kennedy,western_bulldogs,5.98805,6.0,5,3.0,9.0,2.0,11.0,0.08999,0.00224,0.0,0.0,0.0,0.0,75.60236,69.0,0.0,0.0,1e-05
12968,Kai Lohmann,brisbane_lions,5.95135,6.0,6,3.0,9.0,2.0,11.0,0.06494,0.00032,0.0,0.0,0.0,0.0,72.36754,67.0,0.0,0.0,0.0
12237,Jarman Impey,hawthorn,5.91339,6.0,5,3.0,9.0,2.0,11.0,0.08187,0.00143,0.0,0.0,0.0,0.0,75.55207,69.0,0.0,0.0,0.0
12060,Bradley Hill,st_kilda,5.75517,6.0,5,3.0,9.0,2.0,11.0,0.0648,0.00065,0.0,0.0,0.0,0.0,78.09624,69.0,0.0,0.0,0.0
13168,Archie Roberts,essendon,5.75152,6.0,6,3.0,8.0,3.0,10.0,0.0315,0.0001,0.0,0.0,0.0,0.0,73.28042,69.0,0.0,0.0,0.0
12711,Justin McInerney,sydney,5.68836,5.0,5,3.0,8.0,3.0,10.0,0.03946,0.0002,0.0,0.0,0.0,0.0,73.37803,71.0,0.0,0.0,0.0
12368,Jack Steele,melbourne,5.6427,5.0,5,2.0,9.0,1.0,11.0,0.08624,0.00231,2e-05,0.0,0.0,0.0,85.0679,71.0,0.0,0.0,1e-05
12373,Caleb Daniel,north_melbourne,5.60361,5.0,5,3.0,8.0,2.0,10.0,0.03933,0.0002,0.0,0.0,0.0,0.0,78.18616,70.0,0.0,0.0,0.0
12788,Tristan Xerri,north_melbourne,5.40024,5.0,5,2.0,9.0,1.0,11.0,0.07152,0.0016,1e-05,0.0,0.0,0.0,89.33738,73.0,0.0,0.0,0.0
13274,Jagga Smith,carlton,5.381,5.0,5,2.0,9.0,1.0,11.0,0.06455,0.00113,0.0,0.0,0.0,0.0,86.62698,73.0,0.0,0.0,0.0
12660,Darcy Cameron,collingwood,5.29999,5.0,5,2.0,8.0,1.0,10.0,0.04665,0.00052,0.0,0.0,0.0,0.0,84.89154,74.0,0.0,0.0,0.0
11713,Taylor Walker,adelaide,5.11427,5.0,5,3.0,7.0,2.0,8.0,0.00587,0.0,0.0,0.0,0.0,0.0,81.67287,74.0,0.0,0.0,0.0
12143,Lachie Whitfield,greater_western_sydney,5.1042,5.0,5,2.0,8.0,1.0,10.0,0.04717,0.00058,0.0,0.0,0.0,0.0,88.11718,78.0,0.0,0.0,0.0
12017,Jeremy Cameron,geelong,4.84691,5.0,3,3.0,7.0,3.0,9.0,0.01454,4e-05,0.0,0.0,0.0,0.0,85.59068,83.0,0.0,0.0,0.0
12405,Wayne Milera,adelaide,4.59005,4.0,4,1.0,8.0,0.0,10.0,0.04098,0.00073,0.0,0.0,0.0,0.0,102.26782,85.0,0.0,0.0,0.0
12318,Jordan de Goey,collingwood,4.57195,4.0,4,2.0,7.0,1.0,9.0,0.01924,0.00011,0.0,0.0,0.0,0.0,94.79904,84.0,0.0,0.0,0.0
12892,Riley Thilthorpe,adelaide,4.36015,4.0,3,3.0,6.0,2.0,8.0,0.00413,0.0,0.0,0.0,0.0,0.0,92.20111,90.0,0.0,0.0,0.0
4182,Scott Pendlebury,collingwood,4.30451,4.0,4,2.0,7.0,2.0,8.0,0.00505,0.0,0.0,0.0,0.0,0.0,92.78938,88.0,0.0,0.0,0.0
12594,Aaron Naughton,western_bulldogs,4.18645,4.0,4,2.0,6.0,2.0,7.0,0.00083,0.0,0.0,0.0,0.0,0.0,96.58848,90.0,0.0,0.0,0.0
12354,Bailey Dale,western_bulldogs,4.15242,4.0,3,2.0,7.0,1.0,9.0,0.01091,4e-05,0.0,0.0,0.0,0.0,107.31521,93.0,0.0,0.0,0.0
11953,Luke Parker,north_melbourne,4.0028,4.0,3,1.0,7.0,0.0,9.0,0.02169,0.00025,0.0,0.0,0.0,0.0,124.29857,97.0,0.0,0.0,0.0
12766,Mitch Georgiades,port_adelaide,3.96512,4.0,4,2.0,6.0,1.0,8.0,0.00689,1e-05,0.0,0.0,0.0,0.0,111.25906,96.0,0.0,0.0,0.0
12927,Jack Ginnivan,hawthorn,3.96245,4.0,3,1.0,7.0,0.0,9.0,0.01369,0.0001,0.0,0.0,0.0,0.0,109.13218,94.0,0.0,0.0,0.0
12955,Josh Ward,hawthorn,3.91829,4.0,3,1.0,7.0,0.0,9.0,0.02448,0.0003,0.0,0.0,0.0,0.0,113.38254,96.0,0.0,0.0,0.0
12992,Shannon Neale,geelong,3.84895,4.0,3,1.0,6.0,0.0,8.0,0.00451,1e-05,0.0,0.0,0.0,0.0,113.14544,96.0,0.0,0.0,0.0
12469,Blake Hardwick,hawthorn,3.71652,3.0,3,1.0,6.0,0.0,8.0,0.00726,3e-05,0.0,0.0,0.0,0.0,112.55139,99.0,0.0,0.0,0.0
12728,Ben King,gold_coast,3.67956,3.0,3,2.0,6.0,1.0,7.0,0.00037,0.0,0.0,0.0,0.0,0.0,104.091,101.0,0.0,0.0,0.0
13007,Jase Burgoyne,port_adelaide,3.52484,3.0,3,2.0,6.0,1.0,7.0,0.00263,1e-05,0.0,0.0,0.0,0.0,117.11697,115.0,0.0,0.0,0.0
12975,Paul Curtis,north_melbourne,3.50318,3.0,4,2.0,5.0,1.0,6.0,0.00018,0.0,0.0,0.0,0.0,0.0,112.12586,102.0,0.0,0.0,0.0
