player_id,player_name,team_id,A_historical,A_with_reputation,B_recent_era,C_stats_assisted,D_high,D_low,D_medium,FINAL_ENSEMBLE,structural_break_sensitivity,model_disagreement_range,reputation_effect
12943,Nick Daicos,collingwood,46.83334565281508,47.321180526264314,47.75526375368466,47.125976590391424,47.008924215360885,46.87724029345153,46.9357664809668,47.120150101140716,0.29263093757634095,0.9219181008695756,0.4878348734492306
12692,Bailey Smith,geelong,35.218226429894436,38.05896900041431,35.799387913317275,35.329255340333575,35.28484377615792,35.23488076646031,35.25708654854814,35.37331884523271,0.11102891043913843,0.5811614834228394,2.840742570519872
12269,Marcus Bontempelli,western_bulldogs,25.206753361425985,28.360559736976825,26.12754247501806,26.42142293793405,25.935837768157516,25.38955445215891,25.632347037047182,25.816585516313165,1.214669576508065,1.214669576508065,3.1538063755508396
13040,Will Ashcroft,brisbane_lions,24.976629317690684,23.603875902463805,25.318182591123215,24.22112172539527,24.523324762313436,24.863303178846373,24.71220166038729,24.780512315073796,0.7555075922954124,1.0970608657279435,-1.372753415226878
12261,Patrick Cripps,carlton,23.85243215252213,24.722349357955633,25.088024634221515,23.328650136314558,23.53816294279758,23.77386485009099,23.669108446849474,23.916226943189354,0.5237820162075728,1.7593744979069577,0.8699172054335023
12055,Lachie Neale,brisbane_lions,23.597030407669248,24.138137678569677,23.820751544356497,23.068049243131398,23.27964170894654,23.51768323298857,23.411887000081002,23.456631227418452,0.5289811645378499,0.7527023012250993,0.5411072709004294
12326,Isaac Heeney,sydney,22.53277364488169,21.63508911544847,23.99172108152062,23.604003142244153,23.28526721760039,22.92668930237616,23.08605726469804,23.395768591141263,1.071229497362463,1.4589474366389297,-0.8976845294332207
13034,Harry Sheezel,north_melbourne,22.637685223062586,23.06135192107904,23.60644942006382,22.075936745911914,22.300636136772695,22.553422951490298,22.441073256060253,22.634826095460514,0.5617484771506724,1.5305126741519075,0.4236666980164543
12798,Izak Rankine,adelaide,21.054737686563435,21.391171715407186,20.826853463600234,20.582599482719402,20.771454764257015,20.983916955986828,20.88948931521802,20.84391247062538,0.4721382038440325,0.4721382038440325,0.33643402884375107
12516,Jordan Dawson,adelaide,20.293067040565223,21.763063507023457,20.578742703304457,20.675502385567338,20.522528247566495,20.350432342315532,20.42691941131596,20.484054543863806,0.38243534500211496,0.38243534500211496,1.469996466458234
