rank,player_id,player_name,team_id,objective_ev,objective_3_games,objective_2_games,objective_1_games,n_matches
90,12690,Tom Atkins,geelong,3.1085210908832295,0,1,1,23
91,12405,Wayne Milera,adelaide,3.108091859010837,0,1,0,18
92,12927,Jack Ginnivan,hawthorn,2.9825885977369113,0,2,0,22
93,12653,Harry Petty,melbourne,2.9698107119924693,1,0,1,19
94,12417,Marc Pittonet,carlton,2.892912365496129,0,0,2,20
95,13031,Cam Mackenzie,hawthorn,2.8475137912631174,1,0,1,21
96,12325,Jack Sinclair,st_kilda,2.7582159934438915,0,2,0,15
97,13105,Nick Watson,hawthorn,2.716198207017983,0,0,1,21
98,12166,Jack Macrae,st_kilda,2.6901275186292963,0,1,1,12
99,11898,Tom Liberatore,western_bulldogs,2.624931981280466,0,1,1,11
100,12983,Jye Amiss,fremantle,2.610019533043894,1,0,0,22
101,12636,Mitch Lewis,hawthorn,2.6034591995988077,0,0,2,22
102,13047,Matthew Johnson,fremantle,2.3813637571515534,0,1,0,22
103,13335,Joel Fitzgerald,melbourne,2.252844867375874,0,0,2,10
104,12332,James Sicily,hawthorn,2.2388657546796855,0,1,0,22
105,12710,Dylan Moore,hawthorn,2.2309245232365797,0,0,1,22
106,12876,Beau McCreery,collingwood,2.203770130692937,1,0,0,22
107,12856,Lloyd Meek,hawthorn,2.170713239440939,1,0,0,23
108,12485,Mabior Chol,hawthorn,2.1576107959599913,0,0,0,18
109,13103,Ryley Sanders,western_bulldogs,2.1460101977164068,0,0,1,21
110,12782,Lachie Ash,greater_western_sydney,2.109576215708473,0,1,0,23
111,12087,Elliot Yeo,west_coast,2.086762554322388,0,0,1,21
112,12968,Kai Lohmann,brisbane_lions,2.083226933422601,0,0,1,23
113,12408,Josh Dunkley,brisbane_lions,2.0557714598250243,0,1,0,23
114,NOID2026_2386,Jack Ross,richmond,2.033717355885129,0,1,0,1
115,12670,Conor Nash,hawthorn,2.015971018718809,0,1,0,10
116,13294,Milan Murdock,west_coast,2.004252288394752,1,0,0,20
117,12688,Jordan Clark,fremantle,1.9547036656062358,0,1,0,23
118,12992,Shannon Neale,geelong,1.9411815802604349,0,0,1,23
119,12766,Mitch Georgiades,port_adelaide,1.9062961219708807,0,0,1,21
120,12777,Hayden Young,fremantle,1.842589001556196,0,0,1,14
121,12061,Jack Crisp,collingwood,1.8356493159086245,0,1,0,23
122,12153,Mark Blicavs,geelong,1.8339589074242568,1,0,0,18
123,12563,Nick Larkey,north_melbourne,1.7769773050268434,0,0,0,23
124,12584,Darcy Fogarty,adelaide,1.7615360575285082,0,1,1,14
