variant,n_features,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
H1_raw_only_no_relative,22,207.0,0.45893719806763283,0.22383252818035426,0.1497584541062802,0.040257648953301126,0.12399355877616747,0.5684380032206119,0.5684380032206119,0.37452512787581793,0.19851412096755258,0.09234785998395778,0.14540252190661962
H1_relative_instead_of_raw,8,207.0,0.45410628019323673,0.19484702093397746,0.12238325281803542,0.028985507246376812,0.11916264090177135,0.5560923242082662,0.5560923242082662,0.37111336812527956,0.20016435510530825,0.09284686448043333,0.15019253452704648
H4_flat_winner_no_interaction,67,188.0,0.5065676600971987,0.24062428277489592,0.16800215550469796,0.04787540660542663,0.18092077013591432,0.6207524244824218,0.6207524244824218,0.4051121864603146,0.19537251736355798,0.09307612829332412,0.14044274852855138
H4_with_winner_margin_interaction,68,188.0,0.5065676600971987,0.24062428277489592,0.16800215550469796,0.04787540660542663,0.18092077013591432,0.6207524244824218,0.6207524244824218,0.405086368020781,0.19537347465609745,0.09307661715380595,0.14044289452895095
H6_context_no_nonlinear,35,207.0,0.5136876006441223,0.22544283413848631,0.14170692431562,0.04830917874396135,0.15780998389694043,0.6022544283413849,0.6022544283413849,0.3856358793775421,0.18340218796081764,0.08685582697456651,0.13201944014563774
H6_context_with_nonlinear,39,207.0,0.5040257648953301,0.2318840579710145,0.15942028985507248,0.05152979066022544,0.16908212560386474,0.6178207192699947,0.6178207192699947,0.38699311254281854,0.18105905000765365,0.08574601925120029,0.12936333286558369
