model,ece_p3_all_seasons,ece_p3_eval_seasons_raw,ece_p3_eval_seasons_isotonic,isotonic_improves
Model0_Benchmark,0.002232267544286166,0.0007672837063393232,0.0021049402376234617,False
Model1_PlackettLuce,0.004023165050351682,0.0024107662978471362,0.002455628166206255,False
Model2a_GBM_utility,0.0318714796844526,0.02974057500627724,0.00198005298847679,True
Model2b_GBM_multiclass,0.0032130290300540812,0.0027383160764202557,0.0016823320534139418,True
