match_id,season,round,player_name,team_id,p3,p2,p1,p0,expected_votes,most_likely,key_drivers
2026_R8_essendon_v_brisbane_lions_2026-05-02,2026,8,Zac Bailey,brisbane_lions,0.45956096536420155,0.28316169838124183,0.1505009848171362,0.10677635143742042,2.0955072776722243,3,winning team; goals=4 (match z=2.9); inside 50s=6 (match z=1.6). Uncertainty: teammate Darcy Wilmot also had a big disposal count.
2026_R8_sydney_v_melbourne_2026-05-03,2026,8,Malcolm Rosas,sydney,0.41187852742976505,0.29605034098828437,0.17945769294630015,0.11261343863565043,2.007193957212164,3,winning team; goals=7 (match z=4.8). Uncertainty: teammate Isaac Heeney also had a big disposal count.
2026_R8_gold_coast_v_greater_western_sydney_2026-05-03,2026,8,John Noble,gold_coast,0.39386791752158734,0.3946114508882874,0.15436354433329008,0.05715708725683516,2.125190198674627,2,winning team; disposals=35 (match z=2.3); marks=12 (match z=2.5).
2026_R8_western_bulldogs_v_fremantle_2026-05-01,2026,8,Shai Bolton,fremantle,0.36969104795079016,0.2920412837347278,0.17893567669675697,0.159331991617725,1.872091388018583,3,winning team; disposals=30 (match z=2.0); contested possessions=15 (match z=2.8); clearances=9 (match z=2.9); inside 50s=8 (match z=2.9).
2026_R8_western_bulldogs_v_fremantle_2026-05-01,2026,8,Marcus Bontempelli,western_bulldogs,0.31670845823385196,0.28727138854929274,0.19301893980246726,0.20300121341438804,1.7176870916026088,3,losing team; disposals=33 (match z=2.4); clearances=6 (match z=1.7); inside 50s=6 (match z=1.8).
2026_R9_geelong_v_collingwood_2026-05-09,2026,9,Bailey Smith,geelong,0.902303048049131,0.09011899609882193,0.007074073288857462,0.0005038825631896345,2.8942212096338946,3,winning team; disposals=40 (match z=2.9); contested possessions=14 (match z=3.3); clearances=6 (match z=2.6); inside 50s=6 (match z=1.9).
2026_R9_brisbane_lions_v_carlton_2026-05-08,2026,9,Lachie Neale,brisbane_lions,0.7850791550502909,0.1746349371394218,0.0336570876609153,0.0066288201493719945,2.7381644270906316,3,winning team; disposals=33 (match z=2.4); contested possessions=16 (match z=2.8); clearances=9 (match z=3.0); marks=8 (match z=1.5).
2026_R9_richmond_v_adelaide_2026-05-10,2026,9,Izak Rankine,adelaide,0.69169404352989,0.25580365020923523,0.04722140542850564,0.005280900832369179,2.633910836436646,3,winning team; disposals=33 (match z=2.3); clearances=4 (match z=1.7); tackles=9 (match z=3.5); inside 50s=8 (match z=3.2); marks=10 (match z=1.7).
2026_R9_melbourne_v_west_coast_2026-05-10,2026,9,Jacob van Rooyen,melbourne,0.6855671352709413,0.2324169043379692,0.06404347688218012,0.017972483508909426,2.585578691370942,3,winning team; goals=5 (match z=4.6). Uncertainty: teammate Ed Langdon also had a big disposal count.
2026_R9_port_adelaide_v_western_bulldogs_2026-05-08,2026,9,Marcus Bontempelli,western_bulldogs,0.5804435765594147,0.2615885219781369,0.10574696857432485,0.05222093288812353,2.3702547422088425,3,winning team; disposals=30 (match z=2.0); clearances=7 (match z=2.5); tackles=10 (match z=3.5); inside 50s=8 (match z=3.5).
2026_R9_north_melbourne_v_sydney_2026-05-09,2026,9,Isaac Heeney,sydney,0.41887038457609777,0.27845536159656037,0.16093283836920244,0.14174141545813948,1.9744547152906164,3,winning team; contested possessions=15 (match z=2.5); clearances=7 (match z=2.7); tackles=6 (match z=2.2); goals=3 (match z=2.6).
2026_R9_greater_western_sydney_v_essendon_2026-05-09,2026,9,Archie Roberts,essendon,0.40295225721387007,0.2690248973238317,0.16554492652015118,0.16247791894214703,1.9124514928094247,3,losing team; disposals=42 (match z=3.2); marks=11 (match z=2.4).
2026_R9_fremantle_v_hawthorn_2026-05-07,2026,9,Jack Gunston,hawthorn,0.3509282736502861,0.27006773049615895,0.1868578215069085,0.19214617434664644,1.7797781034500848,3,losing team; goals=6 (match z=4.7); marks=9 (match z=1.9). Uncertainty: teammate Karl Amon also had a big disposal count.
