season,round,round_label,match_id,afl_match_id,date,home_team,away_team,player_id,afl_player_id,player_name,player_team,player_team_abbr,actual_brownlow_votes,eligible,identity_status
2026,0,Opening Round,2026_R0_sydney_v_carlton_2026-03-05,CD_M20260140001,2026-03-05,sydney,carlton,12711,CD_I1011936,Justin McInerney,sydney,SYD,3,True,resolved
2026,0,Opening Round,2026_R0_sydney_v_carlton_2026-03-05,CD_M20260140001,2026-03-05,sydney,carlton,12862,CD_I1013128,Errol Gulden,sydney,SYD,2,True,resolved
2026,0,Opening Round,2026_R0_sydney_v_carlton_2026-03-05,CD_M20260140001,2026-03-05,sydney,carlton,12217,CD_I293957,Brodie Grundy,sydney,SYD,1,True,resolved
2026,0,Opening Round,2026_R0_gold_coast_v_geelong_2026-03-06,CD_M20260140002,2026-03-06,gold_coast,geelong,12430,CD_I298210,Christian Petracca,gold_coast,GCFC,3,True,resolved
2026,0,Opening Round,2026_R0_gold_coast_v_geelong_2026-03-06,CD_M20260140002,2026-03-06,gold_coast,geelong,12743,CD_I1000072,John Noble,gold_coast,GCFC,2,True,resolved
2026,0,Opening Round,2026_R0_gold_coast_v_geelong_2026-03-06,CD_M20260140002,2026-03-06,gold_coast,geelong,13049,CD_I1023500,Bailey Humphrey,gold_coast,GCFC,1,False,resolved
2026,0,Opening Round,2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,CD_M20260140004,2026-03-07,brisbane_lions,western_bulldogs,12605,CD_I1008280,Ed Richards,western_bulldogs,WB,3,True,resolved
2026,0,Opening Round,2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,CD_M20260140004,2026-03-07,brisbane_lions,western_bulldogs,12055,CD_I293535,Lachie Neale,brisbane_lions,BL,2,True,resolved
2026,0,Opening Round,2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,CD_M20260140004,2026-03-07,brisbane_lions,western_bulldogs,12269,CD_I297373,Marcus Bontempelli,western_bulldogs,WB,1,True,resolved
2026,0,Opening Round,2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,CD_M20260140003,2026-03-07,greater_western_sydney,hawthorn,12167,CD_I293884,Jake Stringer,greater_western_sydney,GWS,3,True,resolved
2026,0,Opening Round,2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,CD_M20260140003,2026-03-07,greater_western_sydney,hawthorn,12410,CD_I996701,Clayton Oliver,greater_western_sydney,GWS,2,True,resolved
2026,0,Opening Round,2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,CD_M20260140003,2026-03-07,greater_western_sydney,hawthorn,12969,CD_I1023266,Finn Callaghan,greater_western_sydney,GWS,1,True,resolved
2026,0,Opening Round,2026_R0_st_kilda_v_collingwood_2026-03-08,CD_M20260140005,2026-03-08,st_kilda,collingwood,12943,CD_I1023261,Nick Daicos,collingwood,COLL,3,True,resolved
2026,0,Opening Round,2026_R0_st_kilda_v_collingwood_2026-03-08,CD_M20260140005,2026-03-08,st_kilda,collingwood,12703,CD_I296422,Callum Wilkie,st_kilda,STK,2,True,resolved
2026,0,Opening Round,2026_R0_st_kilda_v_collingwood_2026-03-08,CD_M20260140005,2026-03-08,st_kilda,collingwood,12061,CD_I293871,Jack Crisp,collingwood,COLL,1,True,resolved
2026,1,Round 1,2026_R1_carlton_v_richmond_2026-03-12,CD_M20260140101,2026-03-12,carlton,richmond,13274,CD_I1028515,Jagga Smith,carlton,CARL,3,True,resolved
2026,1,Round 1,2026_R1_carlton_v_richmond_2026-03-12,CD_M20260140101,2026-03-12,carlton,richmond,12261,CD_I990704,Patrick Cripps,carlton,CARL,2,True,resolved
2026,1,Round 1,2026_R1_carlton_v_richmond_2026-03-12,CD_M20260140101,2026-03-12,carlton,richmond,12504,CD_I998172,Tim Taranto,richmond,RICH,1,True,resolved
2026,1,Round 1,2026_R1_essendon_v_hawthorn_2026-03-13,CD_M20260140102,2026-03-13,essendon,hawthorn,12954,CD_I1017094,Connor Macdonald,hawthorn,HAW,3,True,resolved
2026,1,Round 1,2026_R1_essendon_v_hawthorn_2026-03-13,CD_M20260140102,2026-03-13,essendon,hawthorn,13105,CD_I1023473,Nick Watson,hawthorn,HAW,2,True,resolved
2026,1,Round 1,2026_R1_essendon_v_hawthorn_2026-03-13,CD_M20260140102,2026-03-13,essendon,hawthorn,11845,CD_I291351,Jack Gunston,hawthorn,HAW,1,True,resolved
2026,1,Round 1,2026_R1_collingwood_v_adelaide_2026-03-14,CD_M20260140106,2026-03-14,collingwood,adelaide,12943,CD_I1023261,Nick Daicos,collingwood,COLL,3,True,resolved
