player_id,player_name,team_id,production_ev,production_rank,objective_ev,objective_rank,wheelo_ev,wheelo_rank,actual_votes,eligible,n_3_votes,n_2_votes,n_1_votes,actual_rank,actual_rank_eligible,role,production_error,production_abs_error,production_rank_error,objective_error,objective_abs_error,objective_rank_error,wheelo_error,wheelo_abs_error,wheelo_rank_error,best_source,worst_source,cross_model_spread,prod_obj_gap,in_production,in_objective,in_wheelo,in_all_three,consensus_ev,consensus_error
12943,Nick Daicos,collingwood,47.12015010114072,1.0,38.67739890966238,1,46.079,1.0,47,True,13,3,2,1,1,MIDFIELDER,0.12015010114072311,0.12015010114072311,0.0,-8.32260109033762,8.32260109033762,0,-0.9209999999999994,0.9209999999999994,0.0,production,objective,8.442751191478344,8.442751191478344,True,True,True,True,43.9588496702677,-3.0411503297322966
12692,Bailey Smith,geelong,35.37331884523271,2.0,30.903375777174592,3,32.598,2.0,36,True,9,4,1,2,2,MIDFIELDER,-0.6266811547672901,0.6266811547672901,0.0,-5.096624222825408,5.096624222825408,1,-3.402000000000001,3.402000000000001,0.0,production,objective,4.469943068058118,4.469943068058118,True,True,True,True,32.95823154080244,-3.041768459197563
12269,Marcus Bontempelli,western_bulldogs,25.816585516313165,3.0,31.991781071201437,2,29.426,3.0,34,True,8,4,2,3,3,MIDFIELDER,-8.183414483686835,8.183414483686835,0.0,-2.008218928798563,2.008218928798563,-1,-4.574000000000002,4.574000000000002,0.0,objective,production,6.175195554888273,-6.175195554888273,True,True,True,True,29.0781221958382,-4.921877804161799
11966,Max Gawn,melbourne,19.01653471955606,13.0,22.932131203808503,8,19.552,13.0,28,True,5,5,3,4,4,RUCK,-8.98346528044394,8.98346528044394,9.0,-5.067868796191497,5.067868796191497,4,-8.448,8.448,9.0,objective,production,3.9155964842524433,-3.9155964842524433,True,True,True,True,20.500221974454853,-7.499778025545147
12261,Patrick Cripps,carlton,23.91622694318936,5.0,27.534542216688813,5,26.744,4.0,27,True,5,5,2,5,5,MIDFIELDER,-3.0837730568106387,3.0837730568106387,0.0,0.5345422166888127,0.5345422166888127,0,-0.2560000000000002,0.2560000000000002,-1.0,wheelo,production,3.6183152734994515,-3.6183152734994515,True,True,True,True,26.064923053292727,-0.935076946707273
13040,Will Ashcroft,brisbane_lions,24.7805123150738,4.0,19.78976590914119,16,25.078,5.0,27,True,5,6,0,5,5,MIDFIELDER,-2.2194876849262,2.2194876849262,-1.0,-7.210234090858808,7.210234090858808,11,-1.9220000000000006,1.9220000000000006,0.0,wheelo,objective,5.288234090858808,4.990746405932608,True,True,True,True,23.216092741404996,-3.783907258595004
13034,Harry Sheezel,north_melbourne,22.634826095460514,8.0,20.11016787321429,15,21.764,10.0,27,True,5,4,4,5,5,MIDFIELDER,-4.3651739045394855,4.3651739045394855,3.0,-6.889832126785709,6.889832126785709,10,-5.236000000000001,5.236000000000001,5.0,production,objective,2.5246582222462237,2.5246582222462237,True,True,True,True,21.502997989558267,-5.497002010441733
12326,Isaac Heeney,sydney,23.395768591141263,7.0,27.537118392264727,4,21.364,11.0,26,True,5,3,5,8,8,MIDFIELDER,-2.6042314088587375,2.6042314088587375,-1.0,1.537118392264727,1.537118392264727,-4,-4.635999999999999,4.635999999999999,3.0,objective,wheelo,6.173118392264726,-4.141349801123464,True,True,True,True,24.098962327802,-1.901037672198001
12698,Zak Butters,port_adelaide,19.780257741562025,12.0,20.52419612831691,14,18.685,16.0,26,True,4,5,4,8,8,MIDFIELDER,-6.219742258437975,6.219742258437975,4.0,-5.475803871683091,5.475803871683091,6,-7.315000000000001,7.315000000000001,8.0,objective,wheelo,1.8391961283169103,-0.7439383867548841,True,True,True,True,19.663151289959643,-6.336848710040357
12798,Izak Rankine,adelaide,20.84391247062538,9.0,21.261864465417887,11,19.101,14.0,25,True,6,3,1,10,10,MIDFIELDER,-4.15608752937462,4.15608752937462,-1.0,-3.7381355345821135,3.7381355345821135,1,-5.899000000000001,5.899000000000001,4.0,objective,wheelo,2.1608644654178875,-0.41795199479250655,True,True,True,True,20.40225897868109,-4.59774102131891
12410,Clayton Oliver,greater_western_sydney,13.982747072444973,21.0,21.3815151498554,10,10.488,34.0,23,True,1,8,4,11,11,MIDFIELDER,-9.017252927555027,9.017252927555027,10.0,-1.6184848501446005,1.6184848501446005,-1,-12.512,12.512,23.0,objective,wheelo,10.8935151498554,-7.398768077410427,True,True,True,True,15.284087407433455,-7.715912592566545
12956,Jason Horne-Francis,port_adelaide,16.961239635660696,17.0,19.024726868399476,18,19.827,12.0,22,False,3,5,3,12,,MIDFIELDER,-5.0387603643393035,5.0387603643393035,5.0,-2.975273131600524,2.975273131600524,6,-2.1729999999999983,2.1729999999999983,0.0,wheelo,production,2.8657603643393053,-2.0634872327387797,True,True,True,True,18.604322168020058,-3.395677831979942
