player_id,player_name,team_id,role,actual_votes,actual_rank,production_ev,objective_ev,wheelo_ev,prod_obj_gap,production_abs_error,objective_abs_error,wheelo_abs_error,closer,wheelo_sided_with,wheelo_tiebreak_correct,production_rank,objective_rank,rank_gap,rank_closer
11845,Jack Gunston,hawthorn,MEDIUM_FORWARD,9,45,12.729615621310252,1.2933514794078722,10.083,11.43626414190238,3.729615621310252,7.706648520592128,1.0830000000000002,Production,Production,1.0,25.0,153,-128.0,Production
12779,Luke Jackson,fremantle,RUCK,19,18,12.705943906955696,22.58964273292247,14.919,-9.883698825966775,6.294056093044304,3.5896427329224707,4.0809999999999995,Objective,Production,0.0,27.0,9,18.0,Tie
12788,Tristan Xerri,north_melbourne,RUCK,3,87,5.400411651102979,15.18870249857004,3.3320000000000003,-9.78829084746706,2.4004116511029787,12.18870249857004,0.3320000000000003,Production,Production,1.0,71.0,28,43.0,Production
12943,Nick Daicos,collingwood,MIDFIELDER,47,1,47.12015010114072,38.67739890966238,46.079,8.442751191478344,0.12015010114072311,8.32260109033762,0.9209999999999994,Production,Production,1.0,1.0,1,0.0,Tie
12590,Luke Davies-Uniacke,north_melbourne,MIDFIELDER,19,18,12.845630419671991,20.554888434038077,16.942999999999998,-7.709258014366085,6.154369580328009,1.5548884340380766,2.057000000000002,Objective,Objective,1.0,24.0,13,11.0,Objective
13193,Max Hall,st_kilda,MIDFIELDER,12,32,10.322043092814903,18.010620099445767,10.074,-7.688577006630863,1.6779569071850968,6.010620099445767,1.9260000000000002,Production,Production,1.0,36.0,19,17.0,Production
12410,Clayton Oliver,greater_western_sydney,MIDFIELDER,23,11,13.982747072444973,21.3815151498554,10.488,-7.398768077410427,9.017252927555027,1.6184848501446005,12.512,Objective,Production,0.0,21.0,10,11.0,Objective
13048,Jacob van Rooyen,melbourne,KEY_FORWARD,10,38,11.405372887593506,4.232199409561392,10.736,7.173173478032114,1.405372887593506,5.767800590438608,0.7360000000000007,Production,Production,1.0,32.0,71,-39.0,Production
12421,Charlie Curnow,sydney,MEDIUM_FORWARD,10,38,10.427444671896955,3.5050998379762497,9.758,6.922344833920706,0.42744467189695534,6.49490016202375,0.24200000000000088,Production,Production,1.0,35.0,80,-45.0,Production
12983,Jye Amiss,fremantle,MEDIUM_FORWARD,8,53,9.389614472927525,2.6558951808125517,9.568,6.733719292114973,1.3896144729275246,5.344104819187448,1.5679999999999996,Production,Production,1.0,42.0,100,-58.0,Production
12564,Rowan Marshall,st_kilda,RUCK,5,68,6.068027878973185,12.62342801365396,6.11,-6.5554001346807755,1.0680278789731847,7.62342801365396,1.1100000000000003,Production,Production,1.0,61.0,33,28.0,Production
12269,Marcus Bontempelli,western_bulldogs,MIDFIELDER,34,3,25.816585516313165,31.991781071201437,29.426,-6.175195554888273,8.183414483686835,2.008218928798563,4.574000000000002,Objective,Objective,1.0,3.0,2,1.0,Production
13111,Harley Reid,west_coast,MIDFIELDER,15,23,11.534634794982535,17.6740616100404,14.405,-6.139426815057865,3.4653652050174646,2.6740616100404004,0.5950000000000006,Objective,Production,0.0,30.0,22,8.0,Objective
12782,Lachie Ash,greater_western_sydney,MEDIUM_DEFENDER,5,68,8.130964419381165,2.1323471465889137,8.171999999999999,5.998617272792251,3.130964419381165,2.8676528534110863,3.171999999999999,Objective,Production,0.0,47.0,109,-62.0,Production
12743,John Noble,gold_coast,MIDFIELDER,7,56,7.29541671042546,1.633424861104319,6.744,5.661991849321141,0.29541671042546014,5.366575138895681,0.2560000000000002,Production,Production,1.0,51.0,134,-83.0,Production
12693,Tom Sparrow,melbourne,MIDFIELDER,12,32,9.741481234048862,15.402427040819632,11.716,-5.660945806770769,2.2585187659511377,3.4024270408196315,0.2840000000000007,Production,Production,1.0,39.0,26,13.0,Objective
12768,Matt Rowell,gold_coast,MIDFIELDER,12,32,8.660307872094174,14.306054963386318,13.648,-5.645747091292144,3.339692127905826,2.306054963386318,1.6479999999999997,Objective,Objective,1.0,45.0,29,16.0,Objective
12925,Sam Durham,essendon,MIDFIELDER,4,77,2.4297129732227774,8.015541923594325,4.154,-5.585828950371548,1.5702870267772226,4.015541923594325,0.15399999999999991,Production,Production,1.0,116.0,47,69.0,Objective
12915,Jai Newcombe,hawthorn,MIDFIELDER,21,13,18.548093291501047,24.042781305812497,24.021,-5.49468801431145,2.451906708498953,3.042781305812497,3.021000000000001,Production,Objective,0.0,15.0,7,8.0,Production
13125,Hugo Garcia,st_kilda,MIDFIELDER,7,56,7.939914186730384,13.39508963871764,7.244999999999999,-5.455175451987255,0.939914186730384,6.395089638717639,0.24499999999999922,Production,Production,1.0,48.0,30,18.0,Production
12890,Jordon Sweet,port_adelaide,RUCK,1,139,2.27712175255765,7.563735740958569,1.123,-5.2866139884009185,1.2771217525576501,6.563735740958569,0.123,Production,Production,1.0,123.0,50,73.0,Production
12786,Caleb Serong,fremantle,MIDFIELDER,14,28,14.505552234910663,19.696882239786763,15.197,-5.1913300048761,0.5055522349106631,5.696882239786763,1.1969999999999992,Production,Production,1.0,18.0,17,1.0,Production
12504,Tim Taranto,richmond,MIDFIELDER,10,38,7.634678162566176,12.814761461778165,9.282,-5.180083299211989,2.3653218374338243,2.814761461778165,0.718,Production,Production,1.0,50.0,32,18.0,Objective
12797,Chad Warner,sydney,MIDFIELDER,12,32,12.707368083651604,17.85981482257906,15.647,-5.152446738927457,0.7073680836516036,5.859814822579061,3.6470000000000002,Production,Objective,0.0,26.0,20,6.0,Production
