dimension,group,model,scope,n,actual_votes_total,predicted_ev_total,mean_error,mae,over_predicted,under_predicted,small_sample
team_id,north_melbourne,Production,all,33,67,67.9,0.028,0.889,6,4,False
team_id,port_adelaide,Production,all,31,61,55.4,-0.181,0.728,6,3,False
team_id,richmond,Production,all,35,12,16.6,0.132,0.302,4,2,False
team_id,st_kilda,Production,all,34,71,70.2,-0.025,0.764,8,6,False
team_id,sydney,Production,all,32,102,103.5,0.047,0.86,11,8,False
team_id,west_coast,Production,all,34,31,25.7,-0.156,0.58,5,5,False
team_id,western_bulldogs,Production,all,34,62,70.1,0.238,0.819,6,2,False
team_id,ALL,Production,all,578,1237,1242.0,0.009,0.757,125,87,False
team_id,adelaide,Production,relevant (actual>=1 or EV>=1),15,82,81.6,-0.03,1.554,6,6,False
team_id,brisbane_lions,Production,relevant (actual>=1 or EV>=1),12,86,86.1,0.01,1.307,5,6,False
team_id,carlton,Production,relevant (actual>=1 or EV>=1),12,76,64.1,-0.995,1.941,4,7,False
team_id,collingwood,Production,relevant (actual>=1 or EV>=1),12,74,76.8,0.232,1.782,5,6,False
team_id,essendon,Production,relevant (actual>=1 or EV>=1),7,24,23.3,-0.105,1.693,1,3,True
team_id,fremantle,Production,relevant (actual>=1 or EV>=1),14,100,93.5,-0.461,2.034,7,4,False
team_id,geelong,Production,relevant (actual>=1 or EV>=1),13,87,86.8,-0.017,0.968,3,5,False
team_id,gold_coast,Production,relevant (actual>=1 or EV>=1),11,68,57.2,-0.979,1.267,1,6,False
team_id,greater_western_sydney,Production,relevant (actual>=1 or EV>=1),10,63,57.0,-0.597,1.998,3,2,False
team_id,hawthorn,Production,relevant (actual>=1 or EV>=1),19,86,82.0,-0.211,1.837,11,7,False
team_id,melbourne,Production,relevant (actual>=1 or EV>=1),12,85,78.6,-0.53,1.901,5,5,False
team_id,north_melbourne,Production,relevant (actual>=1 or EV>=1),12,67,65.2,-0.148,2.219,5,4,False
team_id,port_adelaide,Production,relevant (actual>=1 or EV>=1),9,61,52.3,-0.972,2.158,4,3,True
team_id,richmond,Production,relevant (actual>=1 or EV>=1),4,12,12.8,0.196,1.679,2,2,True
team_id,st_kilda,Production,relevant (actual>=1 or EV>=1),14,71,66.9,-0.294,1.621,6,6,False
team_id,sydney,Production,relevant (actual>=1 or EV>=1),15,102,98.9,-0.208,1.526,6,8,False
team_id,west_coast,Production,relevant (actual>=1 or EV>=1),8,31,22.6,-1.05,2.076,3,5,True
team_id,western_bulldogs,Production,relevant (actual>=1 or EV>=1),12,62,68.4,0.536,2.181,6,2,False
team_id,ALL,Production,relevant (actual>=1 or EV>=1),211,1237,1174.0,-0.298,1.751,83,87,False
team_id,adelaide,Objective,all,38,82,77.5,-0.117,0.666,5,7,False
team_id,brisbane_lions,Objective,all,34,86,76.5,-0.279,1.007,6,7,False
team_id,carlton,Objective,all,38,76,68.5,-0.197,0.673,7,6,False
team_id,collingwood,Objective,all,35,75,76.5,0.042,0.865,8,6,False
team_id,essendon,Objective,all,41,24,39.5,0.377,0.495,6,2,False
team_id,fremantle,Objective,all,32,100,89.7,-0.323,1.295,7,6,False
team_id,geelong,Objective,all,32,87,77.7,-0.291,1.026,6,10,False
team_id,gold_coast,Objective,all,36,68,63.4,-0.127,0.643,4,5,False
team_id,greater_western_sydney,Objective,all,37,63,63.2,0.005,0.565,7,5,False
team_id,hawthorn,Objective,all,40,86,73.0,-0.324,1.357,9,10,False
team_id,melbourne,Objective,all,36,86,79.2,-0.188,0.99,6,7,False
team_id,north_melbourne,Objective,all,36,67,72.9,0.163,1.033,8,5,False
team_id,port_adelaide,Objective,all,39,61,68.9,0.202,0.854,6,4,False
team_id,richmond,Objective,all,40,12,25.5,0.337,0.337,6,0,False
team_id,st_kilda,Objective,all,36,71,79.8,0.243,1.522,9,6,False
team_id,sydney,Objective,all,36,102,92.1,-0.275,1.28,9,8,False
team_id,west_coast,Objective,all,38,31,39.1,0.214,0.637,6,3,False
team_id,western_bulldogs,Objective,all,39,62,73.2,0.287,0.588,6,3,False
team_id,ALL,Objective,all,663,1239,1236.1,-0.004,0.869,121,100,False
team_id,adelaide,Objective,relevant (actual>=1 or EV>=1),13,82,74.0,-0.619,1.67,3,7,False
team_id,brisbane_lions,Objective,relevant (actual>=1 or EV>=1),13,86,73.9,-0.934,2.431,4,7,False
team_id,carlton,Objective,relevant (actual>=1 or EV>=1),10,76,63.4,-1.258,2.051,3,6,False
team_id,collingwood,Objective,relevant (actual>=1 or EV>=1),14,75,73.0,-0.139,1.918,5,6,False
team_id,essendon,Objective,relevant (actual>=1 or EV>=1),8,24,34.1,1.261,1.863,3,2,True
team_id,fremantle,Objective,relevant (actual>=1 or EV>=1),11,100,85.8,-1.293,3.414,4,6,False
team_id,geelong,Objective,relevant (actual>=1 or EV>=1),16,87,75.1,-0.744,1.891,5,10,False
team_id,gold_coast,Objective,relevant (actual>=1 or EV>=1),13,68,60.5,-0.577,1.554,4,5,False
team_id,greater_western_sydney,Objective,relevant (actual>=1 or EV>=1),12,63,58.6,-0.366,1.361,4,5,False
team_id,hawthorn,Objective,relevant (actual>=1 or EV>=1),18,86,69.9,-0.897,2.838,7,10,False
team_id,melbourne,Objective,relevant (actual>=1 or EV>=1),12,86,77.2,-0.736,2.8,5,7,False
team_id,north_melbourne,Objective,relevant (actual>=1 or EV>=1),13,67,70.4,0.259,2.67,6,5,False
team_id,port_adelaide,Objective,relevant (actual>=1 or EV>=1),11,61,66.7,0.52,2.831,6,4,False
team_id,richmond,Objective,relevant (actual>=1 or EV>=1),5,12,21.0,1.81,1.81,4,0,True
team_id,st_kilda,Objective,relevant (actual>=1 or EV>=1),15,71,77.6,0.437,3.506,8,6,False
team_id,sydney,Objective,relevant (actual>=1 or EV>=1),14,102,86.7,-1.093,2.907,4,8,False
team_id,west_coast,Objective,relevant (actual>=1 or EV>=1),8,31,37.0,0.746,2.752,5,3,True
team_id,western_bulldogs,Objective,relevant (actual>=1 or EV>=1),11,62,71.8,0.889,1.958,6,3,False
team_id,ALL,Objective,relevant (actual>=1 or EV>=1),217,1239,1176.5,-0.288,2.379,86,100,False
team_id,adelaide,Wheelo,all,38,82,82.6,0.015,0.741,8,7,False
team_id,brisbane_lions,Wheelo,all,34,86,88.1,0.061,0.586,7,5,False
team_id,carlton,Wheelo,all,38,76,72.1,-0.103,0.469,3,5,False
team_id,collingwood,Wheelo,all,35,75,80.0,0.143,0.665,7,6,False
team_id,essendon,Wheelo,all,41,24,25.6,0.039,0.345,4,3,False
