grouping,group,subset,bets,wins,pushes,losses,hit_rate,flat_unit_pnl,roi,avg_model_prob_conservative,avg_production_prob,avg_objective_prob,avg_implied_prob,avg_odds,small_sample
edge_band,<=0pp,all priced selections,433,144,1,288,0.3333333333333333,-142.76,-0.3297,0.1721,0.2435,0.3026,0.3825,60.219,False
edge_band,>15pp,all priced selections,76,34,0,42,0.4473684210526316,9.5967,0.1263,0.3736,0.6438,0.452,0.4086,3.65,False
edge_band,0-5pp,Bet Value selections only,56,21,0,35,0.375,-13.12,-0.2343,0.3196,0.3867,0.4153,0.3641,18.757,False
edge_band,5-15pp,Bet Value selections only,78,32,1,45,0.4155844155844156,3.03,0.0388,0.3509,0.4793,0.4401,0.3868,8.178,False
edge_band,<=0pp,Bet Value selections only,19,6,0,13,0.3157894736842105,-3.7,-0.1947,0.3141,0.3141,0.6459,0.4599,2.631,True
edge_band,>15pp,Bet Value selections only,70,32,0,38,0.45714285714285713,11.8567,0.1694,0.4029,0.6268,0.4881,0.3978,3.802,False
market_type x bet_value,EXACT_POSITION | Model Disagreement,all priced selections,2,1,0,1,0.5,27.0,13.5,0.0175,0.0175,0.1079,0.0887,18.0,True
market_type x bet_value,EXACT_POSITION | No Value,all priced selections,9,0,0,9,0.0,-9.0,-1.0,0.0179,0.045,0.0277,0.0932,44.611,True
market_type x bet_value,EXACT_POSITION | Speculative Bet Value,all priced selections,3,0,0,3,0.0,-3.0,-1.0,0.0483,0.1052,0.0483,0.0832,23.167,True
market_type x bet_value,EXACT_POSITION | Strong Bet Value + Wheelo Support,all priced selections,2,0,0,2,0.0,-2.0,-1.0,0.1152,0.1152,0.1556,0.0788,13.0,True
market_type x bet_value,PLAYER_H2H | Model Disagreement,all priced selections,11,4,1,6,0.4,-2.52,-0.2291,0.3494,0.3494,0.777,0.5251,1.917,True
market_type x bet_value,PLAYER_H2H | Moderate Bet Value,all priced selections,10,5,0,5,0.5,-1.08,-0.108,0.6649,0.7113,0.857,0.5244,1.937,True
market_type x bet_value,PLAYER_H2H | No Value,all priced selections,17,7,0,10,0.4117647058823529,-5.1,-0.3,0.1227,0.2509,0.2027,0.5453,1.853,True
market_type x bet_value,PLAYER_H2H | Speculative Bet Value,all priced selections,10,7,1,2,0.7777777777777778,3.78,0.378,0.2139,0.6936,0.2139,0.5392,1.862,True
market_type x bet_value,PLAYER_VOTES_OU | Model Disagreement,all priced selections,13,6,0,7,0.46153846153846156,-1.78,-0.1369,0.2676,0.2676,0.7578,0.5348,1.87,True
market_type x bet_value,PLAYER_VOTES_OU | Moderate Bet Value,all priced selections,5,3,0,2,0.6,0.61,0.122,0.6868,0.7255,0.8298,0.5348,1.87,True
market_type x bet_value,PLAYER_VOTES_OU | No Value,all priced selections,9,5,0,4,0.5555555555555556,0.35,0.0389,0.1474,0.357,0.1719,0.5348,1.87,True
market_type x bet_value,PLAYER_VOTES_OU | Speculative Bet Value,all priced selections,10,5,0,5,0.5,-0.65,-0.065,0.2749,0.795,0.2749,0.5348,1.87,True
market_type x bet_value,PLAYER_VOTES_OU | Strong Bet Value + Wheelo Support,all priced selections,1,0,0,1,0.0,-1.0,-1.0,0.7036,0.7308,0.7036,0.5348,1.87,True
market_type x bet_value,TEAM_VOTES_OU | Model Disagreement,all priced selections,26,14,0,12,0.5384615384615384,0.18,0.0069,0.2646,0.496,0.6045,0.5348,1.87,False
market_type x bet_value,TEAM_VOTES_OU | Moderate Bet Value,all priced selections,15,7,0,8,0.4666666666666667,-1.91,-0.1273,0.6528,0.6528,0.918,0.5309,1.885,True
market_type x bet_value,TEAM_VOTES_OU | No Value,all priced selections,27,14,0,13,0.5185185185185185,-0.99,-0.0367,0.1462,0.3818,0.1462,0.5367,1.864,False
market_type x bet_value,TEAM_VOTES_OU | Strong Bet Value,all priced selections,2,0,0,2,0.0,-2.0,-1.0,0.7661,0.7661,0.7827,0.5348,1.87,True
market_type x bet_value,TOP_N | Model Disagreement,all priced selections,35,5,0,30,0.14285714285714285,-26.15,-0.7471,0.1016,0.1016,0.3159,0.2056,27.374,False
